numrodeligne,source,sourcepath,sourcetype,year,exportsimports,marchandises,pays,value,origine,DoubleAccounts
1,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Exports,,Nord,2822831,,0
2,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Exports,,allemagne,1376649,,0
3,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Exports,,angleterre,3235012,,0
4,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Exports,,espagne,9227877,,0
5,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Exports,,flandre,3361833,,0
6,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Exports,,geneve,550062,,0
7,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Exports,,hollande,16657560,,0
8,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Exports,,ilesamer,2106899,,0
9,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Exports,,italie,1585938,,0
10,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Exports,,levant,704070,,0
11,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Exports,,portugal,308031,,0
12,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Exports,,savpie,1371349,,0
13,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Exports,,suisse,5857817,,0
14,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Imports,,allemagne,1184451,,0
15,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Imports,,angleterre,5745604,,0
16,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Imports,,espagne,10768771,,0
17,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Imports,,flandre,1727602,,0
18,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Imports,,hollande,5856458,,0
19,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Imports,,ilesamer,4484561,,0
20,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Imports,,indes,720216,,0
21,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Imports,,italie,997434,,0
22,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Imports,,levant,2224557,,0
23,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Imports,,nord,1512517,,0
24,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Imports,,portugal,222337,,0
25,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Imports,,savpie,3003365,,0
26,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1716,Imports,,suisse,143629,,0
27,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1717,Exports,,allemagne,2846046,,0
28,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1717,Exports,,angleterre,3345468,,0
29,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1717,Exports,,espagne,12745658,,0
30,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1717,Exports,,flandre,3594850,,0
31,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1717,Exports,,geneve,765796,,0
32,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1717,Exports,,hollande,11789764,,0
33,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1717,Exports,,ilesamer,5613999,,0
34,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1717,Exports,,indes,632091,,0
35,Romano1957+Velde+IIHS-128,National/Tableau Général/Tableau Général.csv,Tableau Général,1717,Exports,,italie,3266897,,0
