,"entré par","source","sourcepath","sourcetype","year","exportsimports","sheet","marchandises","pays","value"
1,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1726,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes","9643,344"
2,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1727,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes",13153231
3,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1728,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes",11433807
4,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1729,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes",9722611
5,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1730,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes",10661272
6,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1731,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes","9401,304"
7,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1732,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes",15146824
8,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1733,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes",14501689
9,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1734,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes",19421547
10,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1735,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes",18884448
