sources,product,orthographic_normalization,simplification,categorization,sitc_rev1,sitc_rev2,medicinal
toflit18,Acier,acier,acier,acier,6,6,
toflit18,Airain ; non ouvré,airain ; non ouvré,airain,airain,6,6,
toflit18,Airain ; ouvré,ouvrage ; d'airain,airain ; ouvré,airain ; ouvré,6,6,
toflit18,Baleine coupée,baleine ; coupée,baleine ; coupée,baleine,0,0a,
toflit18,Barracans,étoffe ; baracan,étoffe ; barracan,étoffe,6,,
toflit18,Bas ; de cotton et fil,bas ; de fil et coton,bas ; de fil et coton,bas,8,8,
toflit18,Bas ; de laine,bas ; de laine,bas ; de laine,bas,8,8,
toflit18,Bas ; de soye,bas ; de soie,bas ; de soie,bas,8,8,
toflit18,Bayette,bayette,bayette,,6,,
toflit18,Bazannes,basane,basane,basane,6,,
toflit18,Bazins,basin,basin,basin,6,6d,
toflit18,Beurre,beurre,beurre,beurre,0,0a,
toflit18,Bœufs ; en vie,bestiau ; bœuf ; en vie,,,,,
toflit18,Bœufs et langues salées ; de toutes sortes,bœuf et langue salée,bœuf et langue salée,,0,0a,
toflit18,Bombazins,bombasin,bombasin,basin,6,6d,
toflit18,Bray,bray,braule,braule,???,,
toflit18,Burail,burail,burail,,6,6c,
toflit18,Camelots ; d'Angleterre et Hollande,camelot ; d'Angleterre et Hollande,camelot ; d'Angleterre et Hollande,camelot,6,,
toflit18,Camelots ; de Lisle et autres,camelot ; de Lille et autre,camelot ; de Lille et autre,camelot,6,,
toflit18,Carisels ou creseaux,toile ; carisel ; ou créseau,,,,,
toflit18,Cendre ; de plomb,cendre ; de plomb,cendre ; de plomb,cendre,5,,
toflit18,Chamois ; passé en jaune,chamois ; passé en jaune,,,,,
toflit18,Chandelle ; de suif,chandelle ; de suif,chandelle ; de suif,,8,8,
toflit18,Chanvre,chanvre,chanvre,chanvre,2,,
toflit18,Charbon ; de terre,charbon ; de terre,charbon ; de terre,charbon ; de terre,3,3,
toflit18,Chevaux ; de bas pris,cheval ; de bas prix,,,,,
toflit18,Chevaux ; de haut prix,cheval ; de haut prix,,,,,
toflit18,Clouds et caboches de fer,clou et caboche de fer,clou et caboche de fer,,6,6,
toflit18,Colles,colle,colle,colle,5,,
toflit18,Cordages et ficelles,cordage et ficelle,cordage et ficelle,cordage,6,6,
toflit18,Cotton ; filé et non filé,coton,coton,coton,2,,
toflit18,Coutils,coutil,coutil,coutil,6,6a,
toflit18,Couvertures ; de laine et cotton,couverture ; de laine et coton,couverture ; de laine et coton,,6,6,
toflit18,Crain,crin,crin,crin,2,,
toflit18,Cuirs ; de bœuf ou vache,cuir ; de bœuf ou vache,,,,,
toflit18,Cuirs ; de Roussy,cuir ; de Russie,cuir ; de Russie,cuirs,???,,
toflit18,Cuirs ; dorez,cuir ; doré,cuir ; doré,,2,,
