country,orthographic_normalization,simplification,grouping
Isles françoises de l'amerique,Îles françaises de l'Amérique,Îles françaises,Colonies
L'Angleterre,Angleterre,Angleterre,Angleterre
Flandre Impérialle,Flandre impériale,Flandre,Flandre et autres états de l'Empereur
La Hollande,Hollande,Hollande,Hollande
Nord,Nord,Nord,Nord
Espagne,Espagne,Espagne,Espagne
Portugal,Portugal,Portugal,Portugal
Italie,Italie,Italie,Italie
Genève et la Suisse,Genève-Suisse,Genève-Suisse,Suisse
Loraine,Lorraine,Lorraine,Allemagne et Pologne (par terre)
Les Iles Françaises de l'Amérique,Îles françaises de l'Amérique,Îles françaises,Colonies
La Louisiane,Louisiane,Louisiane,États-Unis d'Amérique
La La Louisiane,Louisiane,Louisiane,États-Unis d'Amérique
Angleterre,Angleterre,Angleterre,Angleterre
Hollande,Hollande,Hollande,Hollande
Ile française des Amériques et du Canada,Îles françaises de l'Amérique et du Canada,Îles françaises,Colonies
Le Nord,Nord,Nord,Nord
Le Portugal,Portugal,Portugal,Portugal
L'Italie,Italie,Italie,Italie
La Flandre Impérialle,Flandre impériale,Flandre,Flandre et autres états de l'Empereur
L'Espagne,Espagne,Espagne,Espagne
Iles françaises de l'Amérique et du Canada,Îles françaises de l'Amérique et du Canada,Îles françaises,Colonies
Genève et Genève et la Genève et la Suisse,Genève-Suisse,Genève-Suisse,Suisse
La Lorraine,Lorraine,Lorraine,Allemagne et Pologne (par terre)
La Lorraine et l'Allemagne,Allemagne-Lorraine,Allemagne-Lorraine,Allemagne et Pologne (par terre)
La Guinée,Guinée,Guinée,Colonies
Isles francoises de l'amerique,Îles françaises de l'Amérique,Îles françaises,Colonies
la Hollande,Hollande,Hollande,Hollande
hollande,Hollande,Hollande,Hollande
Piemont,,,
levant,Levant,Levant,Levant
Iles Française de l'Amerique,,,
Pour la Hollande,,,
Pour l'Espagne,,,
Pour le Piedmont et geneve,,,
Pour l'Italie,,,
Pour le Levant,,,
Pour les Isles françoises de l'amerique,,,
Flandre Imperialle,,,
Des Isles françoises de l'amerique et de terre neuve,,,
Flandre impériale,Flandre impériale,Flandre,Flandre et autres états de l'Empereur
Isles françoises de l'Amérique,Îles françaises de l'Amérique,Îles françaises,Colonies
Levant,Levant,Levant,Levant
Isles de l'Amérique et de Terre neuve,Îles françaises de l'Amérique et Terre-Neuve,Îles françaises,Colonies
La Loraine et l'Allemagne,Allemagne-Lorraine,Allemagne-Lorraine,Allemagne et Pologne (par terre)
Iles Française de l'amerique,,,
Piemont et Geneve,,,
L'angleterre,Angleterre,Angleterre,Angleterre
Pour la Lorraine et l'Allemagne,Allemagne-Lorraine,Allemagne-Lorraine,Allemagne et Pologne (par terre)
Le Levant,Levant,Levant,Levant
Flandre imperialle,,,
Flandre Impériale,Flandre impériale,Flandre,Flandre et autres états de l'Empereur
Guinée,Guinée,Guinée,Colonies
Isles françoises de l'amérique,Îles françaises de l'Amérique,Îles françaises,Colonies
Le Dannemarc,Danemark,Danemark,Nord
Nord qui comprend les villes anscatiques,Nord qui comprend les villes hanséatiques,Villes hanséatiques-Nord,Nord
Danemark,Danemark,Danemark,Nord
Geneve et la Suisse,,,
Piemont et Savoye,,,
La Suède,Suède,Suède,Nord
La Suisse et la Genève,Genève-Suisse,Genève-Suisse,Suisse
Danemarc,Danemark,Danemark,Nord
Suéde,Suède,Suède,Nord
Holande,Hollande,Hollande,Hollande
Suede,Suède,Suède,Nord
Nord (dont Hanse et Russie),Nord ; dont hanséatiques et Russie,Villes hanséatiques-Nord,Nord
Dannemarc,Danemark,Danemark,Nord
Nord qui comprend les villes anscatiques a la Moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,Villes hanséatiques-Nord,Nord
Piémont et Savoye,,,
Nord qui comprend les villes ansceatiques et a Moscovie,,,
Suède,Suède,Suède,Nord
Flandre imperiale,,,
Piemont et la Savoye,,,
Le Flandre Impérialle,Flandre impériale,Flandre,Flandre et autres états de l'Empereur
Le Danemark,Danemark,Danemark,Nord
Iles Fraçaise de l'amerique,,,
Dannemarck,Danemark,Danemark,Nord
Pour la Flandre Impérialle,Flandre impériale,Flandre,Flandre et autres états de l'Empereur
Le Dannemark,Danemark,Danemark,Nord
La Franche compté,Franche Comté,Franche Comté,France
iles françaises de l'Amerique,,,
Pour le Piémont,,,
Nord qui comprend les villes ansceatiques et la Moscovie,,,
Dannemark,Danemark,Danemark,Nord
Suisse et Genève,Genève-Suisse,Genève-Suisse,Suisse
Lorraine et l'Allemagne,Allemagne-Lorraine,Allemagne-Lorraine,Allemagne et Pologne (par terre)
De Levant,Levant,Levant,Levant
Allemagne,Allemagne,Allemagne,Allemagne et Pologne (par terre)
Islkes françoises de l'Amérique et du Canada,Îles françaises de l'Amérique et du Canada,Îles françaises,Colonies
Du nord qui coprend les cilles anséattiques et la Moscovie,,,
La suede,,,
Iles Françaises de l'amerique,,,
Pour la Suede,,,
Pour la Suisse et Geneve,,,
Isles françois de l'Amérique,,,
Du nord,,,
La sued,,,
Savoye et Piemont,Savoie et Piémont,Savoie,Italie
Iles françaises de lamerique,,,
Suisse et geneve,,,
Isles francoises de l'amérique,,,
La Flandre Autrichiènne,Flandre Autrichienne,Flandre,Flandre et autres états de l'Empereur
L'Allemagne,Allemagne,Allemagne,Allemagne et Pologne (par terre)
Nord qui comprend les villes de anséatiques et la Moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,Villes hanséatiques-Nord,Nord
La Flandre Autrichienne,Flandre Autrichienne,Flandre,Flandre et autres états de l'Empereur
La Suisse,Suisse,Suisse,Suisse
Flandre autrichienne,Flandre Autrichienne,Flandre,Flandre et autres états de l'Empereur
Nord qui comprend les villes anseatiques et la moscovie,,,
Isles françaises de l'Amérique et pour Terre neuve,,,
D'Angleterre,,,
D'hollande,,,
Du Nord qui comprend les villes Anséatiques et la Moscovie,,,
de Dannemark,,,
De la Suede,,,
D'Espagne,,,
De Portugal,,,
Des Iles françoises de l'Amérique et de Terre-Neuve,,,
La Suisse et Genève,Genève-Suisse,Genève-Suisse,Suisse
Isles françoises de l'amerique et pour terre neuve,,,
d'Angleterre,,,
De Hollande,,,
Du Nord qui comprend les villes Anseatiques et la Moscovie,,,
de Russie,,,
De Danemarck,,,
de la Suede,,,
d'Espagne,,,
de Portugal,,,
Des Isles Françoises de l'Amérique & de Terreneuve,,,
Isles françaises de l'amérique,Îles françaises de l'Amérique,Îles françaises,Colonies
Rusie,Russie,Russie,Nord
La Flandre autrichienne,Flandre Autrichienne,Flandre,Flandre et autres états de l'Empereur
Flandre Autrichienne,Flandre Autrichienne,Flandre,Flandre et autres états de l'Empereur
Les Isles françaises,Îles françaises,Îles françaises,Colonies
Flandre,Flandre,Flandre,Flandre et autres états de l'Empereur
La Russie,Russie,Russie,Nord
La Suede,Suède,Suède,Nord
Isles françaises de l'ameriques,Îles françaises de l'Amérique,Îles françaises,Colonies
Russie,Russie,Russie,Nord
Isles francaises de l'amerique,Îles françaises de l'Amérique,Îles françaises,Colonies
La Suisse et la Geneve,Genève-Suisse,Genève-Suisse,Suisse
Les Isles françaises de l'Amérique,Îles françaises de l'Amérique,Îles françaises,Colonies
Nord qui comprend les villes ansceatiques,,,
Nord qui comprend les villes anséatiques,,,
La Savoye,Savoie,Savoie,Italie
Isles françoises de l'Amerique,Îles françaises de l'Amérique,Îles françaises,Colonies
Nord qui comprend les villes anscéatiques,,,
Pour les Isles Françaises de l'Amérique,Îles françaises de l'Amérique,Îles françaises,Colonies
Danemarck,Danemark,Danemark,Nord
Nord qui comprend les villes anseatiques,,,
La Flandre,Flandre,Flandre,Flandre et autres états de l'Empereur
Geneve,Genève,Genève,Suisse
La Genêve,Genève,Genève,Suisse
Genève,Genève,Genève,Suisse
Flandres,Flandre,Flandre,Flandre et autres états de l'Empereur
Isles françaises,,,
La Geneve,Genève,Genève,Suisse
Isles françoises,Îles françaises,Îles françaises,Colonies
Genes,Gênes,Gênes,Italie
Isles francoises de lamerique,Îles françaises de l'Amérique,Îles françaises,Colonies
Angletterre,Angleterre,Angleterre,Angleterre
Naples et Sicile,Naples-Sicile,Naples-Sicile,Italie
Isles Françoises de l'Amerique,,,
Isle françoises de l'Amérique,,,
Gennes,Gênes,Gênes,Italie
Suisse,Suisse,Suisse,Suisse
Isles françoises d'Amerique,,,
Le Porugal,Portugal,Portugal,Portugal
Nord y compris les villes anséatiques,,,
Le Danemarck,Danemark,Danemark,Nord
Isles Françoises de l'amerique,,,
Inde,Indes,Indes,Indes
Iles française de l'Amérique,Îles françaises de l'Amérique,Îles françaises,Colonies
L'Inde,Indes,Indes,Indes
L'Indes,Indes,Indes,Indes
Isles et Colonies françaises,Îles et colonies françaises,Îles françaises,Colonies
Indes Occidentales,,,
Indes Orientales,Indes Orientales,Indes,Indes
Savoye,Savoie,Savoie,Italie
Venise,Venise,Venise,Italie
Isles francoises de l'Amerique,Îles françaises de l'Amérique,Îles françaises,Colonies
Indes,Indes,Indes,Indes
Isles françaises de l'Amerique,Îles françaises de l'Amérique,Îles françaises,Colonies
Allemagne et Lorraine,Allemagne-Lorraine,Allemagne-Lorraine,Allemagne et Pologne (par terre)
