simplification,sitc_rev2,note
"alquifoux, mine de plomb ou graphite",,
alesne,,
aurcsats,,
aiglefin,,
œuillard ; de Brie,6,
œuf et volaille,0a,
œuf ; de poule,0a,
poisson ; œuf,,
œuf ; de faisan,0a,
œuf ; de composition,0a,
œuf,0a,
œillet,,
œil de bœuf ; garni de cuivre,,
œil de bœuf,6,
drogue ; médicinale ; œil d'écrevisse,,
évier,,
éventail et papier dito,,
éventail ; d'ivoire,8,
éventail ; fin,,
éventail ; de porcelaine,,
éventail ; de palme,8,
"éventail ; d'ivoire, nacre et écaille",8,
éventail,8,
étuve ; de fer,6,
étuve ; commune,,
étuve,,
"étui de bois, de paille et boite de papier",,
étui ; pour plume à écrire,,
étui,8,
étrier,7,
étoupe et corde de lin,,
étoupe ; à calfeutrer,6a,
étoupe ; de soie,6c,
étoupe ; de lin,6a,
étoupe ; de laine,,
étoupe ; de chanvre,6a,
étoupe,6a,
étoffe ; étrangère ; de jute,6a,
étoffe ; étrangère,,
étoffe ; voile,6a,
étoffe ; virez,6a,
étoffe ; velours,6c,
étoffe ; tricot,6,
étoffe ; tissée,,
étoffe ; soie et argent,6c,
étoffe ; soie et or,6c,
étoffe ; soie ; soie et coton,6c,
étoffe ; soie ; crêpe,6c,
étoffe ; soie,6c,
étoffe ; satin,6c,
étoffe ; riche en or et argent,,
étoffe ; riche,,
étoffe ; pour talits,,
étoffe ; poil et laine,,
étoffe ; poil,,
étoffe ; peluche ; commune,,
"étoffe ; or, argent et soie",6c,
étoffe ; or et soie,6c,
étoffe ; or et argent,,
étoffe ; noire,,
étoffe ; mêlée de soie ; éternelle,6c,
étoffe ; mêlée de soie ; velours de Gênes,6c,
étoffe ; mêlée de soie ; velours d'Utrecht,6c,
étoffe ; mêlée de soie ; tripe de velours,6c,
étoffe ; mêlée de soie ; soie et fil,6c,
étoffe ; mêlée de soie ; ripe de velours,6c,
étoffe ; mêlée de soie ; peluche,6c,
étoffe ; mêlée de soie ; papeline,6c,
étoffe ; mêlée de soie ; panne,6c,
étoffe ; mêlée de soie ; mi soie,6c,
étoffe ; mêlée de soie ; herbage,6c,
étoffe ; mêlée de soie ; grisette,6c,
étoffe ; mêlée de soie ; greek,6c,
étoffe ; mêlée de soie ; galet et soie,6c,
étoffe ; mêlée de soie ; fleuret et soie,6c,
étoffe ; mêlée de soie ; coton et soie,6c,
étoffe ; mêlée de soie ; au quart,6c,
étoffe ; mêlée de soie ; au fil,6c,
étoffe ; mêlée de soie ; au 6e,6c,
étoffe ; mêlée de soie ; au 4/5e,6c,
étoffe ; mêlée de soie ; au 1/3,6c,
étoffe ; mêlée de soie ; argent et soie,6c,
étoffe ; mêlée de soie,6c,
étoffe ; mêlée ; éternelle ; au ? de soie,6c,
drap ; serge et satin ; turc,,
drap ; serge ; large,,
étoffe ; mêlée ; serge et laine ; en prunelle ; étroite,,
étoffe ; mêlée ; mi soie,6c,
étoffe ; mêlée ; fil et soie,6c,
étoffe ; mêlée ; de soie,6c,
étoffe ; mêlée ; de bourre ; en molleton,6c,
étoffe ; mêlée ; de bourre ; de soie,6c,
étoffe ; mêlée ; buraille,,
étoffe ; mêlée,,
étoffe ; mélangée ; de soie,,
étoffe ; mitée ; mi soie,6c,
étoffe ; mi soie,6c,
étoffe ; manchette,,
étoffe ; impériale,,
etoffe ; flotte,,
étoffe ; finette,,
étoffe ; fil et laine ; moquette,,
étoffe ; fil et laine,,
étoffe ; fil et coton ; siamois ; broché,6d,
étoffe ; fil et coton,6d,
étoffe ; façonnée,,
étoffe ; dorure ; d'or et d'argent ; fin,,
étoffe ; dorure ; d'or et d'argent ; faux,,
étoffe ; dorure ; d'or et d'argent,,
étoffe ; dorure ; d'or faux,,
étoffe ; dorure ; d'or,,
étoffe ; dorure ; d'argent,,
étoffe ; diverse ; des Indes,,
étoffe ; diverse,,
étoffe ; de sutoze,,
"étoffe ; de soie, laine et coton",,
"étoffe ; de soie, fil et coton",,
étoffe ; de soie pure,,
étoffe ; de soie et laine ; prunelle,,
étoffe ; de soie et laine,6c,
étoffe ; de soie et filoselle,,
étoffe ; de soie et fil,6c,
étoffe ; de soie et dorure,6c,
étoffe ; de soie et coton ; des Indes,6c,
étoffe ; de soie et coton,,
étoffe ; de soie d'or et d'argent faux,,
étoffe ; de soie ; étrangère,6c,
étoffe ; de soie ; à peu de soie,6c,
étoffe ; de soie ; voile,6c,
étoffe ; de soie ; velours,6c,
étoffe ; de soie ; taffetas,6c,
étoffe ; de soie ; soucy,6c,
étoffe ; de soie ; satin,6c,
étoffe ; de soie ; riche,6c,
étoffe ; de soie ; raz de St Mans,6c,
étoffe ; de soie ; raz de Saint Maur,6c,
étoffe ; de soie ; prunelle,6c,
étoffe ; de soie ; panine,6c,
étoffe ; de soie ; en drap,6c,
étoffe ; de soie ; droguet,6c,
étoffe ; de soie ; diverse,6c,
étoffe ; de soie ; des Indes,6c,
étoffe ; de soie ; de crêpe,6c,
étoffe ; de soie ; de Saint Bours,6c,
étoffe ; de soie ; du Levant,6c,
étoffe ; de soie ; damas,6c,
étoffe ; de soie ; d'or et d'argent,6c,
étoffe ; de soie ; crêpe,6c,
étoffe ; de soie ; crue,6c,
etoffe ; de soie ; brodée,6c,
étoffe ; de soie ; basin ; brodé,6c,
étoffe ; de soie,6c,
étoffe ; de poil et laine ; velours ; d'Utrecht,,
étoffe ; de poil et laine ; velours,,
étoffe ; de laine et poil,,
étoffe ; de poil et fil,,
étoffe ; de poil de chameau,,
étoffe ; de poil ; velours,,
étoffe ; de poil ; tanillas,,
étoffe ; de poil ; prunelle,,
étoffe ; de poil ; polini,,
étoffe ; de poil ; philipichine,,
étoffe ; de poil ; panne,,
étoffe ; de poil ; nina,,
étoffe ; de poil ; ligature,,
étoffe ; de poil ; linnieuse,,
étoffe ; de poil ; de catalogne,,
étoffe ; de poil ; camelot,,
étoffe ; de poil ; callemande,,
étoffe ; de poil ; bouras,,
étoffe ; de poil ; allemande,,
étoffe ; de poil,,
étoffe ; de laine; satinette,,
"étoffe ; de laine, coton, fil et poil de chèvre",,
"étoffe ; de laine, coton et fil",,
étoffe ; de laine à faire mouffle,,
étoffe ; de laine imprimée,,
étoffe ; de laine fabrique de Tournai,,
étoffe ; de laine et poil ; panne,,
étoffe ; étamine ; burail,,
étoffe ; étamine,,
étoffe ; de laine ; à poil long,,
étoffe ; de laine ; à la valeur,,
étoffe ; de laine ; verlastine,,
étoffe ; de laine ; velverde,,
étoffe ; teint,6,
étoffe ; de laine ; tanier,,
étoffe ; de laine ; slin,,
étoffe ; de laine ; sigle ; vis,,
étoffe ; serge ; étroite,,
étoffe ; serge ; voile,,
étoffe ; serge ; sagati,,
étoffe ; de laine ; serge ; noire,,
étoffe ; serge ; large,,
étoffe ; serge ; imprimée,,
étoffe ; serge ; forte,,
étoffe ; serge ; étoffeée,,
étoffe ; serge ; divers,,
étoffe ; serge ; de Rouen,,
étoffe ; serge ; de Rome,,
étoffe ; serge,,
étoffe ; satin et serge,,
étoffe ; de laine ; satin ; de Roubaix,,
étoffe ; de laine ; satin ; Turc,,
étoffe ; de laine ; sagati,,
étoffe ; de laine ; russel,,
étoffe ; de laine ; reste,,
étoffe ; de laine ; prunelle ; raz ; de castor,,
étoffe ; de laine ; prunelle,,
étoffe ; de laine ; pinchinal,,
étoffe ; de laine ; perpetuanne,,
étoffe ; de laine ; peluche,,
étoffe ; de laine ; passepoil,,
étoffe ; de laine ; panne et peluche,,
étoffe ; de laine ; panne,,
étoffe ; de laine ; molleton,,
étoffe ; de laine ; lerfage,,
étoffe ; de laine ; lampareille,,
étoffe ; de laine ; futaine,,
étoffe ; de laine ; frisette,,
étoffe ; de laine ; frisade,,
étoffe ; de laine ; florentine,,
étoffe ; de laine ; fil grossier,,
étoffe ; serge ; Bilcourt,,
étoffe ; de laine ; en satin ; turc,,
étoffe ; de laine ; en satin,,
étoffe ; de laine ; en sarain,,
étoffe ; de laine ; en raz ; de castor,,
étoffe ; de laine ; en croisé,,
étoffe ; de laine ; en cachemire,,
étoffe ; de laine ; duroil,,
étoffe ; de laine ; droguet,,
étoffe ; de laine ; diverse,,
étoffe ; de laine ; bayette,,
étoffe ; de laine ; dareau,,
étoffe ; de laine ; crêpe,,
étoffe ; de laine ; couterie,,
étoffe ; de laine ; chaleur,,
étoffe ; de laine ; catalogne,,
étoffe ; de laine ; callemande ; noire,,
étoffe ; de laine ; callemande,,
étoffe ; de laine ; cadeligue,,
étoffe ; de laine ; bêche,,
étoffe ; de laine ; bluteau,,
étoffe ; de laine ; baye,,
étoffe ; de laine ; barreau,,
étoffe ; de laine ; amer,,
étoffe ; Turc,6,
étoffe ; Maroc,,
étoffe ; de laine ; Itaine,,
étoffe ; de laine,,
étoffe ; de fleuret et soie,6c,
étoffe ; de fleuret et laine,,
étoffe ; de fleuret et coton,6d,
étoffe ; de fleuret,6c,
étoffe ; de filoselle ; de soie,6c,
étoffe ; de filoselle,6c,
étoffe ; de fil et poil de chèvre,,
étoffe ; de fil et laine ; molleton,,
étoffe ; de fil et laine ; en tripe,,
étoffe ; de fil et laine,,
étoffe ; de fil et coton ; velours,6d,
étoffe ; de fil et coton ; en drap,6d,
étoffe ; de fil et coton,6d,
étoffe ; de fil,6a,
étoffe ; de coton et tapisserie,6d,
étoffe ; de coton et pellerie,,
étoffe ; de coton et mercerie,8,
étoffe ; de coton et laine,6d,
étoffe ; de coton et chapeau,8,
étoffe ; de coton et bonneterie,6d,
étoffe ; de coton ; éternelle,6d,
étoffe ; de coton ; velverette,6d,
étoffe ; de coton ; velours ; imprimé,6d,
étoffe ; de coton ; satinette,6d,
étoffe ; de coton ; molleton,6d,
étoffe ; de coton ; en drap ; teint,6d,
étoffe ; de coton ; en drap ; imprimé,6d,
étoffe ; de coton ; en drap,6d,
