country,orthographic_normalization,note
Guatémala,,
Côtes d'Afrique,,
Philippines,,
Mekel. Schw.,,
Chine,,
Indes hollandaises,,
N.-Grenade,,
Indes françaises,,
Merck.Schw.,,
Guatemala,,
Meckl.Schw.,,
Venezuela,,
Mexique,,
Chili,,
Norvège,,
Indes anglaises,,
Cuba et P.R.,,
Brésil,,
Guyane anglaise,,
Cayenne,,
Bourbon,,
St Thomas,,
Grèce,,
Ile Maurice,,
Pays-Bas,,
Haïti,,
R.de la Plata,,
Etats barbares,,
Sénégal,,
Turquie,,
Pérou,,
Martinique,,
Etats Sardes,,
Egypte,,
Deux-Siciles,,
Belgique,,
Autriche,,
Alger,,
eua,États-Unis d'Amérique,
guinee,Guinée,
savpie,Savoie,
ilesamer,?,
Empire de Portugal,Empire du Portugal,
Epaves et Echouements,Épaves et échouements,
Minales et Toscane,Milanais-Toscane,
République de Génes,République de Gênes,
Royaumes de Sardaigne,Royaume de Sardaigne,
Génés,Gênes,
Milanes et Toscane,Milanais-Toscane,
"Milanes, Toscane et Luques","Milanais, Toscane et Lucques",
Génes,Gênes,
Angleterre et ses colonies,Angleterre et ses colonies,
Royaume d'Espagne et les colonies,Royaume d'Espagne et ses colonies,
Origine Inconnue,origine inconnue,
Royaume de Suède et ses colonies,Royaume de Suède et ses colonies,
Royaume de Danemarck et ses colonies,Royaume de Danemark et ses colonies,
Destination Inconnue,destination inconnue,
Royaume des Pays-Bas et ses colonies,Royaume de Pays-Bas et ses colonies,
Angleterre et ses colonies de l'Inde,Angleterre et ses colonies de l'Inde,
Naples et sicile,Naples-Sicile,
Royaume de Portugal et ses colonies,Royaume du Portugal et ses colonies,
Royaume d'Espagne et ses colonies,Royaume d'Espagne et ses colonies,
Etats romains,États romains,
Etas de l'Allemagne,États de l'Allemagne,
Saint-Domingue,Saint-Domingue,
Port de Marseille,Port de Marseille,
Royaume de Pays-Bas,Royaume de Pays-Bas,
Royaumes de Danemarck,Royaume de Danemark,
Royaumes des Pays-Bas,Royaume de Pays-Bas,
Royaume des Pays-Bas,Royaume de Pays-Bas,
Etats Romains,États romains,
Royaume de Suisse,Royaume de Suisse,
Royaume du Portugal,Royaume du Portugal,
Etats -Unis de l'Amérique,États-Unis d'Amérique,
Empire Ottoman,Empire Ottoman,
Colonies françaises et hollandaises,Colonies françaises-hollandaises,
Villes Anséatiques et Hollande,Villes hanséatiques-Hollande,
Colonies Françaises et Hollandaises,Colonies françaises-hollandaises,
Royaume du Danemarck,Royaume de Danemark,
"Prises, saisies et Séquestres",Prises et saisies et séquestres,
Royaume d'italie,Royaume d'Italie,
Colonies Françaises des deux Indes,Colonies françaises des deux Indes,
"Angleterre, en vertu de licences",Angleterre en vertu de licences,
Prises saisies et séquestres,Prises et saisies et séquestres,
Colonies de l'Amérique et de l'Inde,Colonies d'Amérique et de l'Inde,
Epaves et échouemens,Épaves et échouements,
"Prises, saisies et séquestres",Prises et saisies et séquestres,
Colonies d'Amérique et de l'Inde,Colonies d'Amérique et de l'Inde,
Angleterre en vertu de licences,Angleterre en vertu de licences,
Empire Ottoman et barbarie,Empire Ottoman et Barbarie,
Destinations inconnues,destination inconnue,
Angleterre par bâtimens licenciés ou autre autorisation spéciale,Angleterre par bâtiments licenciés ou autre autorisation spéciale,
Entrepôt et port franc de Livourne,Entrepôt et port franc de Livourne,
Grand Duché de Toscane,Grand-Duché de Toscane,
Grand-Duché de Toscane,Grand-Duché de Toscane,
Royaume d'Hollande,Royaume de Hollande,
Epaves et Echouemens,Épaves et échouements,
Prises et saisies,Prises et saisies,
Royaume d'Étrurie,Royaume d'Étrurie,
Prises et Saisies,Prises et saisies,
Origine inconnue,origine inconnue,
Destination inconnue,destination inconnue,
Royaume d'Italie,Royaume d'Italie,
Royaume d'Etrurie,Royaume d'Étrurie,
Etats de Naples,État de Naples,
Empire de Sardaigne,Empire de Sardaigne,
Colonies Françaises,Colonies françaises,
Empire Ottoman et Barbarie,Empire Ottoman et Barbarie,
république de Suisse,République de Suisse,
Etats-Unis d'amerique,États-Unis d'Amérique,
Etats de rome,États de Rome,
Royaume de sue,Royaume de Suède,
Royaume de suède,Royaume de Suède,
Colonies françaises,Colonies françaises,
Milanie Toscane,Milanais-Toscane,
Royaume de Danemark,Royaume de Danemark,
Villes Anséatiques,Villes hanséatiques,
Etats-Unis d'Amerique,États-Unis d'Amérique,
Milane et toscane,Milanais-Toscane,
Royaume de suede,Royaume de Suède,
Villes anséatique,Villes hanséatiques,
Milanes et toscane et luques,"Milanais, Toscane et Lucques",
"Colonies francaises en Asie,Afrique en Amérique","Colonies françaises en Amérique, Asie et Afrique",
Royaume de Potugal,Royaume du Portugal,
Royaume de Suède,Royaume de Suède,
Etats-Unis d'amérique,États-Unis d'Amérique,
Etats de l'Allemagne,États de l'Allemagne,
Royaume de Hollande,Royaume de Hollande,
Etats-unis d'Amérique,États-Unis d'Amérique,
République de Suisse,République de Suisse,
Republique de suisse,République de Suisse,
République de genes,République de Gênes,
Royaume de portugal,Royaume du Portugal,
Empire d'autriche,Empire d'Autriche,
Empire de sardaigne,Empire de Sardaigne,
Empoire d'Autriche,Empire d'Autriche,
republique de Suisse,République de Suisse,
Royaume de Naple,Royaume de Naples,
empire d'Autriche,Empire d'Autriche,
empire d'Aurtiche,Empire d'Autriche,
Royaume de Sardaigne,Royaume de Sardaigne,
Milanes de Toscane,Milanais-Toscane,
Republique de genes,République de Gênes,
Republique de Gènes,République de Gênes,
Republique de Venise,République de Venise,
Republique de Suisse,République de Suisse,
Royaume de naples,Royaume de Naples,
Empire ottoman et babbarie,Empire Ottoman et Barbarie,
République de Gènes,République de Gênes,
Royaume de GENES,Royaume de Gênes,
Republique de Genes,République de Gênes,
Empire ottoman et toscane,Empire Ottoman et Toscane,
Royaume de Genes,Royaume de Gênes,
Empire ottoman et barbarie,Empire Ottoman et Barbarie,
Royaume de genes,Royaume de Gênes,
République de VENISE,République de Venise,
Royaume de Naples,Royaume de Naples,
Etats de Rome,États de Rome,
Royaume de Portugal,Royaume du Portugal,
Empire de Russie,Empire de Russie,
Empire d'Autriche,Empire d'Autriche,
Royaume de sardaigne,Royaume de Sardaigne,
Empire ottoman et Barbarie,Empire Ottoman et Barbarie,
République de Genes,République de Gênes,
Milanes et toscane,Milanais-Toscane,
Royaume de Suede,Royaume de Suède,
Royaume de Danemarck,Royaume de Danemark,
République de suisse,République de Suisse,
Etats d'Allemagne,États de l'Allemagne,
Royaume de Prusse,Royaume de Prusse,
Royaume d'Espagne,Royaume d'Espagne,
"Colonies francaises en Amérique,Asie et afrique","Colonies françaises en Amérique, Asie et Afrique",
Colonie française de l'Amérique,Colonies françaises de l'Amérique,
Guadeloupe,Guadeloupe,
Sénégal et Guinée,Guinée-Sénégal,
Tabago,Tobago,
Cayenne et Guyane,Cayenne-Guyane,
La Guadeloupe,Guadeloupe,
La Martinique,Martinique,
Saint Domingue,Saint-Domingue,
