orthographic_normalization,simplification,note
étoffe ; de soie et laine par aune,,
étoffe ; de soie en dorure par aune,,
étoffe ; de soie par pièce,,
étoffe ; de soie par aune,,
étoffe ; de poil de chameau,étoffe ; de poil de chameau,
étoffe ; de laine imprimée,étoffe ; de laine imprimée,
étoffe ; de laine fabrique de Tournai,étoffe ; de laine fabrique de Tournai,
étoffe de laine sans spécification blanche,,
étoffe de laine pure par aune,,
étoffe de laine pure,étoffe ; de laine,
épée ; montée en argent,épée ; montée en argent,
épée ; montée en acier,épée ; montée en acier,
épée ; masquinée,épée ; masquinée,
écuelle ; de terre,écuelle ; de terre,
échelle,échelle,
écarlate,ecarlate,
œuf et volaille,œuf et volaille,
œuf ; de poisson,poisson ; œuf,
œuf ; de composition,œuf ; de composition,
œuf ; de poule,œuf ; de poule,
œuf ; de faisan,œuf ; de faisan,
œuf ; de perdrix rouge,,
œillet,œillet,
? ; Licances,? ; Licances,
ivoire ; noir,ivoire ; noir,
œil de homard,drogue ; médicinale ; œil d'écrevisse,
wuinnes,wuinnes,
wollegoet ; teinte,wollegoet,
wollegoet ; mellée,wollegoet,
wollegoet ; blanche,wollegoet,
ouate ; de laine,ouate ; de laine,
ouate ; d'étoupe,ouate ; d'étoupe,
wathout ; en blocq,,
wagon ; artillerie,wagon ; artillerie,
wagheschot ; scié en planche,wagheschot ; scié en planche,
wagheschot ; en blocq,wagheschot ; en blocq,
volailles ; de toutes sortes,,
voitures ; neuves,,
voiture et tombereaux,,
vlottes,vlottes,
violende,,
vinaigre ; de fruits,,
vin ; Tinto,,
vin ; rouge ; de France,,
vin ; rouge ; d'Espagne,,
vin ; dit Bleckaert,vin ; dit Bleckaert,
vin ; de Canarie,,
vin ; de Bourgogne ; et Champagne,,
vin ; de Theaucour,vin ; de Thiaucourt,
vin ; de Rhin ; et de Moselle,,
vin ; de Murville,vin ; de Murville,
vin ; de montagne,vin ; de montagne,
vin ; de Metz,vin ; de Metz,
vin ; de Liège ; d'Hay ; etc,,
vin ; de Frontignac,vin ; de Frontignac,
vin ; de Béziers,vin ; de Béziers,
vin ; de Baar ; de Liège ; d'Hay ; etc,,
vin ; de Baar ; et de Metz,,
vin ; de Baar,vin ; de Bar,
vin ; d'Espagne ; et de liqueur,vin ; d'Espagne et de liqueur,
vin ; blanc ; de France,,
vin ; de liquens,,
vin ; Malvoisie,vin ; Malvoisie,
villes,,
vignes ; perches ; et plantes,,
vieux ; voile ; de moulin ; et autre,,
gouvernail ; vieux,gouvernail ; vieux,
viande ; de pate,,
viande ; de paste,,
vestes ; brodées,,
vessie,vessie,
vert moulu,vert moulu,
verrune,,
verre ; à vitres ; découpées ; en carreaux,,
verre ; à vitres ; de France ; d'Allemagne ; et autres,,
verre ; à vitres ; de France,,
verre ; à vitres ; d'Allemagne,,
verre ; à boire ; moutardiers ; etc,,
verre ; à boire ; et pots à moutarde,,
verre ; à boire ; de Venise,,
verre ; à boire ; de Bohème,,
verre ; pour montre,verre ; pour montre,
verre ; pour lunettes et montres,,
verre ; en gobelet,,
verre ; pour lustre,verre ; pour lustre,
verre ; filé,verre ; filé,
verre ; en cloches,,
vermeille,vermeille,
vergues,,
vergué ; de navire,,
verd ; d'Espagne,verd ; d'Espagne,
verd,verd,
velours ; de gueuze,,
velours ; noir ; de Gênes,,
velours ; de soie ; par aune,,
velours ; de coton ; par aune,,
velours ; cramoisi,,
veiles,veiles,
veches ; en jarbes,,
veches,,
veau ; de lait,,
vathout ; scié ; en planche,,
vaquette,,
vaisseaux ; montées,,
vaincs ; à vanner,,
ustensile ; de boulange,,
ustensile ; de sécheur,,
tête de cuir ; en poil,,
tuyau ; d'orgue,tuyau ; d'orgue,
tutic,tutic,
turquoise ; et turlutaines,,
turbot ; salé,poisson ; turbot ; salé,
tuile ; plate,tuile ; plate,
tuile ; courbée,tuile ; courbée,
truites ; et anguilles,,
truffes ; cul d'artichauts ; et autres sec,,
truffes,,
trot ; de vin,,
tripe ; sur soie,tripe ; sur soie,
tréteaux ; de chêne ; de 6 pouces,,
treillis ; bougran ; et canevas,,
treillis ; non lustrée,,
tavette ; de bois,,
tour ; pour tourneur,tour ; pour tourneur,
tonnine ; salée,,
tonneaux ; cuvelles et futailles,,
tonneaux ; vide,,
tonneau ; neuf,,
tonneau ; cerclé ; de fer,,
tonneau ; cerclé ; de bois,,
toile ; cassée,,
toile ; à tapisser,toile ; à tapisser,
toile ; à saquette ; dite talette,,
toile ; rayée ; pour mouchoir,,
toile ; pour mouchoir,toile,
toile ; pour essuie main,toile,
toile ; glacée,,
toile ; fil ; et coton ; pour mouchoirs,,
toile ; façonnée en sac,toile ; sac,
toile ; et treillis ; lustré,,
toile ; écrue ; pour essuie main,,
toile ; de lin ; teinte ; pour mouchoir,,
toile ; de lin ; teinte ; pour coiffes de chapeaux,,
toile ; de lin ; teinte ; haut prix,,
toile ; de lin ; teinte ; bas prix,,
toile ; de lin ; grise ; à 30 sols l'aune,,
toile ; de lin ; grise ; à 10 sols et en dessus,,
toile ; de lin ; grise ; à 10 sols et en dessous,,
toile ; de lin ; grise ; pour essuie main,,
toile ; de lin ; grise ; et ardoisée,,
toile ; de lin ; grise ; en dessous de 10 sols,,
toile ; de lin ; grise ; d'en dessus de 10 sols l'aune,,
toile ; de lin ; grise ; d'en dessous de 20 sols l'aune,,
toile ; de lin ; grise ; d'en dessous de 10 sols l'aune,,
toile ; de lin ; grise ; bas prix,,
toile ; de lin ; blanche ; haut prix,,
toile ; de coton ; teinte ; haut prix,,
toile ; de coton ; teinte ; bas prix,,
toile ; de coton ; pour mouchoirs,,
toile ; de coton ; à imprimer,,
toile ; de Bruges,toile ; de Bruges,
toile ; damassée ; de 3 aunes large,,
toile ; damassée ; de 2 aunes,,
toile ; damassée ; de 2 1/2 aunes,,
toile ; damassée ; de 1 aune,,
toile ; cirée ; et peinte,,
toile ; blanche ; à imprimer,,
toile ; blanche ; pour essuie main,,
toile ; blanche ; de Hollande,,
toilettes ; de lin ; grises,,
toilettes ; de lin ; blanche,,
toile ; pour crible,,
toile d'emballage,,
toile ; du Levant,,
toile ; écrue ; grise ; et ardoisée,,
toile ; tamies,,
toile ; à peindre,toile ; à peindre,
toile ; à bat,,
toile ; vernante,,
toile ; rousse ; ordre,,
toile ; rayée ; ardoisée ; et rayonnée,,
toile ; pour talliet,toile ; pour talliet,
toile ; pour tabac,toile ; pour tabac,
toile ; pour serviette,toile ; pour serviette,
toile ; pour nappe ; et serviette,,
toile ; pour nappe,,
toile ; pour matelas,toile ; à matelas,
toile ; pour ameublement ; toile cirée ; par aune,,
toile ; pour ameublement ; toile cirée,,
toile ; pour ameublement,toile ; pour ameublement,
toile ; étoupière,,
toile ; et coton ; en balles,,
toile ; dite drol ; et drouel,,
toile ; de rite,,
toile ; du Piémont,,
toile ; de nankin,,
toile ; de montage,,
toile ; de lin ; rayée ; et teinte,,
toile ; de lin ; blanche ; pour nappe ; et serviette,,
toile ; de lin ; blanche ; de 30 sols par aune,,
toile ; de lin ; blanche ; de 20 sols par aune,,
toile ; de lin ; blanche ; de 12 sols par aune,,
toile ; de lin ; blanche ; damassée ; pour nappe ; et serviette,,
toile ; de Kily,,
toile ; de fil ; et de coton ; dite siamoise,,
toile ; de coton ; peinte ; peignée ; et imprimée,,
toile ; de coton ; peinte ; et imprimée,,
toile ; de coton ; imprimé ; haut prix,,
toile ; de coton ; imprimé ; bas prix,,
toile ; de coton ; imprimé ; par aune,,
toile ; de coton ; imprimé,toile ; de coton ; imprimée,
toile ; de coton ; blanche ; bas prix,,
toile ; de coton ; blanc,toile ; de coton ; blanche,
toile ; de 3 aunes ; pour nappe,,
toile ; de 3 aunes de largeur et en dessus,toile,
toile ; d'étoupe ; et de chanvre,,
toile ; d'aimant,,
toile ; crue ; grise ; et ardoisée,,
toile ; cirée ; et lustrée,,
toile ; blanche ; ordre,,
toile ; batanony,,
toile ; ardoisée ; et rayonnée,,
tissu ; en laine ; à poil long,tissu ; de laine ; angora,
tiretaine ; et miselaine ; par aune,,
tiretaine ; et miselaine,,
tin ; canarie,,
tierçons ; en botte,,
tête ; de cabillauds,,
terre ; à potier ; et à fouler,,
terre ; à potier ; et à faire pipe,,
terre ; à fouler,terre ; à fouler,
terre ; à faire pipe,terre ; à faire pipe,
terre ; jaune ; ou herbe à teindre,,
terre ; houille,terre ; houille,
terre ; dite souda,terre ; dite souda,
terre ; de mulardeau,terre ; de mulardeau,
terre ; de myrte,,
terre ; de Rouen,terre ; de Rouen,
terre ; de Rome,terre ; de Rome,
terre ; d'ocre,,
terre ; d'ombre ; de Cologne ; et de roucou,,
terre ; commune,terre ; commune,
terraille ; de grès,,
terraille ; blanche,,
terixe,,
teraille ; noir,,
teraille ; de grès,,
teraille ; commune,,
teraille ; blanche,,
tentes ; et voiles ; en rolle ; ou pièces),,
tentes ; et voiles,,
tendeurs ; pour voiles,,
tendeurs ; de voile,,
teintures ; mêlées,,
tegers ; de cuivre,,
tayolle ; de soie,,
tapisseries ; simples,,
tapisseries ; de haute-lice ; en tentures,,
tapisseries ; de haute-lice,,
tapisseries ; de coton ; imprimées,,
tapisseries ; d'Audenarde,,
tapis ; indienne,,
tapis ; fabrique de Tournais,tapis ; fabrique de Tournais,
tapis ; de laine ; par pièce,,
tapis ; d'Angleterre,tapis ; d'Angleterre,
tapettes,,
tapette ; à mouches,,
tanches,,
tamis ; fait ; et à faire,,
tambour,tambour,
tambour ; de fer,,
taffia,,
taques ; de cheminée,,
tableau ; vieux,,
tableau ; commun,tableau ; commun,
tableau ; commun ; vieux,,
tableau ; commun ; sur toile,,
tables ; de marbre,,
tabatière ; étuis ; et autres bijouteries ; garnis d'or ; et d'argent,,
tabatière ; et étuis ; garnis d'or ; et d'argent,,
tabatière ; et étuis ; garnis d'or,,
tabatière ; et étuis ; garnis d'argent,,
tabatière ; émaillées,,
tabatière ; de pinchbeck,,
tabatière ; de cuir,tabatière ; de cuir,
tabatière ; de bois verni,tabatière ; de bois verni,
tabatière ; d'écailles,,
tabatière ; de bois blanc,,
tabac ; pressé d'Allemagne,tabac ; pressé d'Allemagne,
tabac ; haché ; et à fumer,,
tabac ; et son ; d'Espagne,,
tabac ; en rolle,tabac ; en role,
tabac ; en cotte,tabac ; en cotte,
tabac ; en carottes ; et rolles,,
tabac ; de Brésil ; de Virginie,,
sumac ; ou pastel,,
suif ; à faire des chandelles,,
suif ; pour raffiner le cuivre,suif ; pour raffiner le cuivre,
suif ; en masse,suif ; en masse,
sucre ; à devises ; et à casser,,
sucre ; teste ; de forme,,
sucre ; teste,,
sucre ; terré ; de Cayenne,,
sucre ; en poudre ; brun,,
sucre ; en poudre ; blanc ; de haut prix,,
sucre ; en poudre ; blanc,sucre ; en poudre blanc,
sucre ; en dragées,,
sucre ; dit Lompen,,
sucre ; brun ; bas prix,,
succade ; et confiture,,
suc ; en réglisse,,
stockfish ; et bakeliau,,
spirinck,spirinck,
spermaceti ; ou blanc de baleine,,
soie ; teinte ; et à coudre,,
soie ; ouvrée ; organsine,,
soie ; ouvrée ; ou organsine,,
soie ; organsine,,
soie ; floche,soie ; floche,
soie ; en étoupe,,
soie ; étoupe,,
