numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Tabago,,39,Amandes en coques,,20,25,Marseille,,livres,,,,,,,0
2,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,39,Amandes en coques,,978,1223,Marseille,,livres,,,,,,,0
3,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Tabago,,39,Ardoises,,300,6000,Nantes,,en nombre,,,,,,,0
4,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,39,Ardoises,,18,12,Nantes,,en nombre,,,,,,,0
5,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,39,Sabres de traitte,,600,300,Nantes,,en nombre,,,,,,,0
6,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,39,Sabres de traitte,,1000,400,Angleterre,,en nombre,,,,,,,0
7,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,39,Sabres de traitte,,8426,4213,Hollande,,en nombre,,,,,,,0
8,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,39,Sabres garnis en argent,,570,,Paris,,,,,,,,,0
9,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,39,Armes à feu,,45,,,,,,,,,,,0
10,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,39,Fusils de traitte,,101465,14495,Ostende,,en nombre,,,,,,,0
11,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,39,Fusils de traitte,,3360,112,Nantes,,en nombre,,,,,,,0
12,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,39,Fusils de traitte,,720,120,Angleterre,,en nombre,,,,,,,0
13,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,39,Fusils de chasse,,720,30,St Etienne,,en nombre,,,,,,,0
14,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,39,Fusils de chasse,,750,1,St Etienne,,caisses,,,,,,,0
15,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,39,Pistolets,,720,144,Ostende,,en nombre,,,,,,,0
16,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,39,Pistolets,,224,28,St Etienne,,en nombre,,,,,,,0
17,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,39,Bats à matelats,,3765,421,Le Havre,,en nombre,,,,,,,0
18,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Tabago,,39,Chevaux,,1450,3,Angleterre,,en nombre,,,,,,,0
19,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,39,Beurre salé,,14564,18205,Angleterre,,livres,437614,,,,,,0
20,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,39,Beurre salé,,300158,375198,Angleterre,,livres,437614,,,,,,0
21,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Guadeloupe,,39,Beurre salé,,105400,131750,Angleterre,,livres,437614,,,,,,0
22,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyanne,,39,Beurre salé,,794,993,Angleterre,,livres,437614,,,,,,0
23,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Tabago,,39,Beurre salé,,16698,20873,Angleterre,,livres,437614,,,,,,0
24,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Bourbon,,39,Beurre salé,,802,1003,Angleterre,,livres,,,,,,,0
25,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,39,Beurre salé,,19462,24327,Angleterre,,livres,,,,,,,0
26,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,39,Beurre,,118717,148396,Normandie,,livres,122069,,,,,,0
27,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,39,Beurre,,760,950,Normandie,,livres,122069,,,,,,0
28,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyanne,,39,Beurre,,2112,2640,Normandie,,livres,122069,,,,,,0
29,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Tabago,,39,Beurre,,480,600,Normandie,,livres,122069,,,,,,0
30,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,39,Beurre,,4901,6126,Normandie,,livres,,,,,,,0
31,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,39,Bière,,1080,15,Angleterre,,muids,8214,,,,,,0
32,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Tabago,,39,Bière,,7134,99,Angleterre,,muids,8214,,,,,,1
33,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Tabago,,39,Bière,,7134,26,Angleterre,,pintes,8214,,,,,,2
34,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Bourbon,,39,Bière,,180,"2,5",Angleterre,,muids,,,,,,,0
35,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,39,Bière,,3438,47,Angleterre,,muids,,,,,,,1
36,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,39,Bière,,3438,216,Angleterre,,pintes,,,,,,,2
37,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,39,Bière,,1710,23,Boulogne,,muids,,,,,,,1
38,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,39,Bière,,1710,216,Boulogne,,pintes,,,,,,,2
