numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,32,Amandes,,139,279,Bordeaux,,livres,,,,,,,0
2,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,32,Canon de fonte,,160,4,Nantes,,en nombre,,,,,,,0
3,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,32,Beurre,,1054,1622,Brême,,livres,,,,,,,0
4,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,32,Beurre,,773,1189,Angleterre,,livres,,,,,,,0
5,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,32,Beurre,,550,846,Morlaix,,livres,,,,,,,0
6,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,32,Beurre,,980,1507,Bordeaux,,livres,,,,,,,0
7,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,32,Bière,,100,1,Hollande,,muids,,,,,,,1
8,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,32,Bière,,100,248,Hollande,,pintes,,,,,,,2
9,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,32,Bière,,204,5,Bordeaux,,muids,,,,,,,1
10,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,32,Bière,,204,60,Bordeaux,,pintes,,,,,,,2
11,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,32,Bois à brûler et autres,,661,,,,,,,,,,,0
12,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,32,Bois en bordages de chêne,,375,75,Rochefort,,en nombre,,,,,,,0
13,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,32,Bois de sapin en planche,,332,237,Isle de Ré,,en nombre,,,,,,,0
14,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,32,Bois de sapin en planche,,1756,2935,Vibourg,,en nombre,,,,,,,0
15,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,32,Bois de pin en planche,,5701,5908,Isle de Ré,,,,,,,,,0
16,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,32,Bray sec,,7818,78176,Bayonne,,livres,,,,,,,0
17,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,32,Goudron,,5220,52200,Bayonne,,livres,,,,,,,0
18,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,32,Résine,,479,3833,Bayonne,,livres,,,,,,,0
19,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,Chairs de bœuf salé,,11467,38222,Angleterre,,livres,,,,,,,0
20,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,bœuf salé,,537,1791,Charente,,livres,,,,,,,0
21,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,bœuf salé,,6,20,Rochefort,,livres,,,,,,,0
22,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,Jambon,,371,618,Hambourg,,livres,,,,,,,0
23,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,Jambon,,447,745,Brême,,livres,,,,,,,0
24,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,Jambon,,456,760,Bordeaux,,livres,,,,,,,0
25,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,Lard salé,,189,473,Angleterre,,livres,,,,,,,0
26,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,Chapeau divers,,333,144,Rochefort,,en nombre,,,,,,,0
27,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,Cordages divers,,570,,,,livres,,,,,,,0
28,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,Cordages,,285,950,Isle de Ré,,livres,,,,,,,0
29,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,Cuivre en planches,,2414,2012,Hambourg,,livres,,,,,,,0
30,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,Draperie de Carcassonne,,640,32,Bordeaux,,aunes,,,,,,,0
31,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,Eau de vie simple,,3276,21,Isle de Ré,,muids,,,,,,,1
32,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,Eau de vie simple,,3276,92,Isle de Ré,,pintes,,,,,,,2
33,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,Eau de vie simple,,7678,50,Oléron,,muids,,,,,,,1
34,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,Eau de vie simple,,7678,224,Oléron,,pintes,,,,,,,2
35,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,Eau de vie simple,,32,60,Charente,,pintes,,,,,,,0
36,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,Etoffe de laine (prunelle),,154,22,Bordeaux,,aunes,,,,,,,0
37,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,Etoffe de soye,,1045,215,Rochefort,,aunes,,,,,,,0
38,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,33,Etoffe de soye,,467,31,Bordeaux,,aunes,,,,,,,0
39,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,35,Farine,,10001,60005,Bordeaux,,livres,,,,,,,0
40,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,35,Fer en barres,,4375,26875,Petesbourg,,livres,,,,,,,0
41,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,35,Fer en barres,,800,4000,Bordeaux,,livres,,,,,,,0
42,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,35,Fer feuillard,,4320,24000,Hollande,,livres,,,,,,,0
43,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,35,Fer en ancres,,270,900,Rochefort,,livres,,,,,,,0
44,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,35,Fil de lin,,289,193,Nantes,,livres,,,,,,,0
45,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,35,Gaze de soye,,240,,Angoulême,,livres,,,,,,,0
46,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,35,Glaces,,25770,138,Paris,,en nombre,,,,,,,0
47,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,35,Hardes diverses,,290,,Bordeaux,,,,,,,,,0
48,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,35,Lingerie diverse,,1044,,,,,,,,,,,0
49,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,35,Liqueur (anisette),,96,48,Bordeaux,,Pots,,,,,,,0
50,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,35,Marchandises à la valeur,,365,,,,,,,,,,,0
51,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,35,Ouvrages divers,,346,,,,,,,,,,,0
52,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,36,Papier bleu,,241,1607,Hollande,,livres,,,,,,,0
53,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,36,Pierre à fusils,,29,294,Charente,,livres,,,,,,,0
54,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,36,Plomb en saumon,,690,2300,Hambourg,,livres,,,,,,,0
55,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,36,Plomb en saumon,,1914,6381,Angleterre,,livres,,,,,,,0
56,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,36,Plomb en saumon,,2633,8776,Rochefort,,livres,,,,,,,0
57,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,36,Quincaillerie diverse,,1183,,,,,,,,,,,0
58,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,36,Clous de fer,,738,777,Bordeaux,,livres,,,,,,,0
59,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,36,Clous de fer,,1100,2750,Nantes,,livres,,,,,,,0
60,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,36,Clous de fer,,1069,1069,Dunkerque,,livres,,,,,,,0
61,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,36,Marmites de fer,,2810,7025,Rouen,,livres,,,,,,,0
62,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,36,Savon,,2573,3958,Marseille,,livres,,,,,,,0
