numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,1,1775,Imports,Avoine,Marseille,Angleterre,140000,livres,"0,15",21000,0,
2,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,1,1775,Imports,Bœuf salé,Marseille,Angleterre,2541790,livres,"0,4",1016716,0,
3,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,1,1775,Imports,Bled froment,Marseille,Angleterre,173950,livres,"0,1",17395,0,
4,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,1,1775,Imports,Bois merrain,Marseille,Angleterre,20400,douzaines,2,40800,0,
5,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,1,1775,Imports,Chanvre cru,Marseille,Angleterre,8000,livres,"0,2",1600,0,
6,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,1,1775,Imports,Charbon de terre,Marseille,Angleterre,2490000,livres,"0,03",74700,0,
7,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,1,1775,Imports,Cire jaune,Marseille,Angleterre,53694,livres,"1,5",80541,0,
8,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,1,1775,Imports,Couperose,Marseille,Angleterre,108100,livres,"0,08",8648,0,
9,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,1,1775,Imports,Cuirs en poil,Marseille,Angleterre,125100,livres,"0,15",18765,0,
10,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,1,1775,Imports,Farine,Marseille,Angleterre,168600,livres,"0,2",33620,-100,
11,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,1,1775,Imports,Gomme sandarac,Marseille,Angleterre,1800,livres,"1,5",2700,0,
12,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,1,1775,Imports, Huille de vitriol,Marseille,Angleterre,81000,livres,4,324000,0,
13,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,1,1775,Imports,Legumes,Marseille,Angleterre,260000,livres,"0,1",26000,0,
14,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,1,1775,Imports,Mine de plomb,Marseille,Angleterre,52000,livres,"0,05",2600,0,
15,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,1,1775,Imports,Orge,Marseille,Angleterre,41670,livres,"0,15",6250,"-0,5",
16,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,1,1775,Imports,Planches de sapin,Marseille,Angleterre,135,douzaines,9,1215,0,
17,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Plomb en saumon,Marseille,Angleterre,2510700,livres,"0,2",502140,0,
18,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Porc salé,Marseille,Angleterre,25000,livres,"0,25",6250,0,
19,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Ris,Marseille,Angleterre,756400,livres,"0,2",151280,0,
20,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Saumon salé,Marseille,Angleterre,132000,livres,"0,2",26400,0,
21,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Souffre,Marseille,Angleterre,12000,livres,"0,15",1800,0,
22,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Tabac en feuilles,Marseille,Angleterre,130000,livres,"0,25",32500,0,
23,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Acier,Marseille,Espagne,10000,livres,"0,35",3500,0,
24,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Alun,Marseille,Espagne,58360,livres,"0,2",11672,0,
25,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Amandes,Marseille,Espagne,103170,livres,"0,2",20634,0,
26,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Anchoix,Marseille,Espagne,114740,livres,"0,5",57370,0,
27,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Anis,Marseille,Espagne,100290,livres,"0,2",20058,0,
28,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Antimoine,Marseille,Espagne,8800,livres,"0,1",880,0,
29,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Arquifou,Marseille,Espagne,699750,livres,"0,15",104962,"-0,5",
30,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Auf,Marseille,Espagne,32000,livres,"0,35",11200,0,
31,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Balais de palme,Marseille,Espagne,7512,douzaines,"0,9",6760,"-0,8",
32,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Bled froment,Marseille,Espagne,688330,livres,"0,1",68833,0,
33,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Bois a bruler,Marseille,Espagne,140000,livres,"0,009",1260,0,
34,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Bois de campeche,Marseille,Espagne,360500,livres,"0,15",54075,0,
35,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Bois de fernambourg,Marseille,Espagne,60000,livres,"0,5",30000,0,
36,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Bouchons de liege,Marseille,Espagne,9851,livres,"0,2",1970,"-0,2",le prix semble trop bas
37,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Bourdes,Marseille,Espagne,60000,livres,"0,08",4800,0,
38,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Bouteilles de verre,Marseille,Espagne,10635,livres,"0,2",2127,0,
39,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Bray,Marseille,Espagne,210000,livres,"0,05",10500,0,
40,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Brun rouge,Marseille,Espagne,32000,livres,"0,025",800,0,
41,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Cacao,Marseille,Espagne,43392,livres,"1,3",56409,"-0,6",
42,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Capres,Marseille,Espagne,2000,livres,"0,5",1000,0,
43,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Charbon de bois,Marseille,Espagne,60000,livres,"0,035",2100,0,
44,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1775.csv,Local,2,1775,Imports,Chocolat,Marseille,Espagne,852,livres,2,1704,0,
