numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Alun,Marseille,Angleterre,88920,livres,"0,2",17784,0,
2,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Amandes,Marseille,Angleterre,2685,livres,"0,2",537,0,
3,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Arquifou,Marseille,Angleterre,501400,livres,"0,15",75210,0,
4,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Bœuf ; salé,Marseille,Angleterre,1049,barils,40,41960,0,
5,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Bœuf ; salé,Marseille,Angleterre,2000,livres,"0,3",600,0,
6,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Beurre,Marseille,Angleterre,20000,livres,"0,35",6000,-1000,erreur de calcul
7,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Bleu ; de Prusse,Marseille,Angleterre,560,livres,1,560,0,
8,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Bois ; d'accajou,Marseille,Angleterre,137,pièces,10,1370,0,
9,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Bois ; de campeche,Marseille,Angleterre,117150,livres,"0,15",17122,"-450,5",erreur de calcul
10,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Bois ; de construction,Marseille,Angleterre,300,pièces,12,3600,0,
11,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Bois ; jaune,Marseille,Angleterre,26880,livres,"0,1",2688,0,
12,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Chapeaux,Marseille,Angleterre,156,tonneaux,300,46800,0,
13,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Chapeaux,Marseille,Angleterre,13216,chapeaux,5,66080,0,
14,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Cire ; jaune,Marseille,Angleterre,50100,livres,"1,5",75150,0,
15,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Couperose,Marseille,Angleterre,672060,livres,"0,08",53764,"-0,8",
16,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Cuirs ; de bœuf ; en poil,Marseille,Angleterre,375,en nombre,12,4500,0,
17,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Escayolles,Marseille,Angleterre,2500,livres,"0,1",250,0,
18,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Etain ; en bloc,Marseille,Angleterre,269240,livres,"0,75",201930,0,
19,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,2,1773,Farine,Marseille,Angleterre,102500,livres,"0,2",20500,0,
20,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,2,1773,Gomme ; arabique,Marseille,Angleterre,480,livres,"0,75",360,0,
21,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,2,1773,Gomme ; sandarac,Marseille,Angleterre,2352,livres,"0,5",1176,0,
22,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,2,1773,Gomme ; thurique,Marseille,Angleterre,5000,livres,"0,6",3000,0,
23,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,2,1773,Granille ; de cochenille,Marseille,Angleterre,1340,livres,5,6700,0,
24,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,2,1773,Harangs ; blancs,Marseille,Angleterre,76,barils,50,3800,0,
25,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,2,1773,Huile ; de vitriol,Marseille,Angleterre,215,livres,4,860,0,
26,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,2,1773,Indigo,Marseille,Angleterre,12175,livres,5,60875,0,
27,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,2,1773,Legumes,Marseille,Angleterre,28,livres,"0,15",4,"-0,2",
28,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,2,1773,Librairie,Marseille,Angleterre,750,livres,2,1500,0,
29,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,2,1773,Litarge,Marseille,Angleterre,6720,livres,"0,2",1344,0,
30,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,2,1773,Orge,Marseille,Angleterre,2157,charges,12,25884,0,
