numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Alun,Marseille,Angleterre,258175,livres,"0,2",51635,0,
2,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Arquifou,Marseille,Angleterre,25280,livres,"0,15",3792,0,
3,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Bœuf salé,Marseille,Angleterre,2500,livres,"0,2",500,0,
4,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Bœuf salé,Marseille,Angleterre,654,barils,50,32500,-200,erreur de calcul
5,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Beurre,Marseille,Angleterre,1250,livres,"0,35",437,"-0,5",
6,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Bled froment,Marseille,Angleterre,11463,charges,32,366816,0,
7,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Bois bresillet,Marseille,Angleterre,11200,livres,"0,4",4480,0,
8,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Bois de campeche,Marseille,Angleterre,1382385,livres,"0,15",207357,"-0,75",
9,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Chandelle,Marseille,Angleterre,1545,livres,"0,4",618,0,
10,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Charbon de terre,Marseille,Angleterre,6792,livres,"0,015",101,"-0,88",
11,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Cire jaune,Marseille,Angleterre,12278,livres,"1,5",18417,0,
12,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Cochenille silvestre,Marseille,Angleterre,8960,livres,16,143360,0,
13,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Cornes de mouton,Marseille,Angleterre,800,paires,"0,1",80,0,
14,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Couperose,Marseille,Angleterre,214125,livres,"0,09",19271,"-0,25",
15,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Draperie petite,Marseille,Angleterre,400,livres,3,1200,0,
16,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Etain en bloc,Marseille,Angleterre,136200,livres,"0,75",102150,0,
17,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Farine,Marseille,Angleterre,56500,livres,"0,12",6780,0,
18,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Feves,Marseille,Angleterre,872,charges,15,13050,-30,erreur de calcul
19,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Gaudron,Marseille,Angleterre,5000,livres,"0,25",1250,0,
20,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,1,1767,Harangs blancs,Marseille,Angleterre,50,barils,40,2000,0,
21,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,2,1767,Huile de vitriol,Marseille,Angleterre,11508,livres,3,34524,0,
22,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,2,1767,Legumes,Marseille,Angleterre,134000,livres,"0,15",20100,0,
23,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1767.csv,Local,Imports,2,1767,Miel,Marseille,Angleterre,500,livres,"0,15",75,0,
