numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1755.csv,Local,1,1755,Exports,Ajamis,Marseille,Angleterre,"109,000",pièces,"9,00000","981,00","0,00",
2,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1755.csv,Local,1,1755,Exports,Alun,Marseille,Angleterre,"15 922,000",livres,"0,12000","1910,00","-0,64",
3,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1755.csv,Local,1,1755,Exports,Amandes,Marseille,Angleterre,"540,000",livres,"0,20000","108,00","0,00",
4,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1755.csv,Local,1,1755,Exports,Amidon,Marseille,Angleterre,"1 179,000",livres,"0,25000","294,00","-0,75",
5,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1755.csv,Local,1,1755,Exports,Anis,Marseille,Angleterre,"2 442,000",livres,"0,20000","488,00","-0,40",
6,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1755.csv,Local,1,1755,Exports,Bas de cotton,Marseille,Angleterre,"60,000",douzaines,"60,00000","3600,00","0,00",
7,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1755.csv,Local,1,1755,Exports,Batanonnis,Marseille,Angleterre,"237,000",livres,"2,50000","592,00","-0,50",
8,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1755.csv,Local,1,1755,Exports,Bois de Bresil,Marseille,Angleterre,"230,000",livres,"0,25000","57,00","-0,50",
9,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1755.csv,Local,1,1755,Exports,Bouteilles de verre,Marseille,Angleterre,"1 350,000",livres,"0,20000","270,00","0,00",
10,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1755.csv,Local,1,1755,Exports,Cacao,Marseille,Angleterre,"7 210,000",livres,"1,40000","10094,00","0,00",
11,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1755.csv,Local,1,1755,Exports,Chandelle,Marseille,Angleterre,"1 050,000",livres,"0,45000","472,00","-0,50",
12,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1755.csv,Local,1,1755,Exports,Chanvre cru,Marseille,Angleterre,"5 000,000",livres,"0,20000","1000,00","0,00",
13,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1755.csv,Local,1,1755,Exports,Cire blanche,Marseille,Angleterre,"320,000",livres,"2,10000","672,00","0,00",
14,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1755.csv,Local,1,1755,Exports,Cotton filé,Marseille,Angleterre,"50,000",livres,"1,10000","55,00","0,00",
15,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1755.csv,Local,1,1755,Exports,Cotton en laine,Marseille,Angleterre,"154,000",livres,"0,50000","77,00","0,00",
