"Data entry by","Source","Year","Sheet","Marchandises","Quantité",,"value","leurvaleursubtotal_1","leurvaleursubtotal₂","leurvaleursubtotal_1","Total",
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; acier","23 900 et 1 507 550",,536400,,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; arbres et arbrisseaux","value",,12000,,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; ardoises",545960,,19000,,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; divers","value",,454600,9263500,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; de construction ; divers","value",,4317100,5580500,9263500,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; de construction ; en planches","value",,1263400,5580500,9263500,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; feuillard et cercles",6304200,,322800,9263500,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; Merein",4092300,,1069300,9263500,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; divers","value","6 934 800 ET 191 900",191900,1836300,9263500,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; de bresil",119200,"6 934 800 ET 191 900",29200,1836300,9263500,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; de campeche",4262000,"6 934 800 ET 191 900",812900,1836300,9263500,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; de coco",629000,"6 934 800 ET 191 900",10900,1836300,9263500,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; de fornambourg",479700,"6 934 800 ET 191 900",376800,1836300,9263500,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; de fustel",215500,"6 934 800 ET 191 900",38600,1836300,9263500,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; jaune",225100,"6 934 800 ET 191 900",40200,1836300,9263500,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; de Palissandre",490900,"6 934 800 ET 191 900",141100,1836300,9263500,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; rouge",151300,"6 934 800 ET 191 900",58400,1836300,9263500,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; des S marthe",362100,"6 934 800 ET 191 900",136300,1836300,9263500,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bray Goudron",5981000,,601400,,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cendres ; divers","value","24 818 400 ET 1 875 800",1875800,5464400,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cendres ; barille",10731800,"24 818 400 ET 1 875 800",1311900,5464400,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cendres ; Bourde",2988900,"24 818 400 ET 1 875 800",298800,5464400,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cendres ; de bois",168000,"24 818 400 ET 1 875 800",12400,5464400,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cendres ; gravelée",296100,"24 818 400 ET 1 875 800",44300,5464400,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cendres ; de ABER",2027900,"24 818 400 ET 1 875 800",26300,5464400,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cendres ; Potasse et soude",6440600,"24 818 400 ET 1 875 800",1678400,5464400,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cendres ; à savon",2165100,"24 818 400 ET 1 875 800",216500,5464400,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; charbon ; de bois",4730200,489915100,130000,6845300,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; charbon ; de terre",485184900,489915100,6715300,6845300,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; chaux","value",,75400,,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cuivre ; divers",7469900,7779300,9066400,9255300,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cuivre ; Potin",309400,7779300,188900,9255300,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Ecorce de bois","value",,29600,,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Etain",1267300,,1251800,,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; fers ; divers","39 000 ET 36 674 600","37 293 700 et 214 800",6892700,8028500,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; fers ; ouvré","value","38 293 700 et 214 800",175800,8028500,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; fers ; blanc",1619100,"39 293 700 et 214 800",960000,8028500,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; fleur d'orange",35600,,35600,,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Graines ; diverses","value","3 851 900 ET 222 700",222700,1115000,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Graines ; de pres treffle et luzerne",31500,"3 851 900 ET 222 700",40500,1115000,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Graines ; de lin ",3683500,"3 851 900 ET 222 700",831300,1115000,,,51810700,
"Fatima Zahra",,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Graines ; longue",136900,"3 851 900 ET 222 700",20500,1115000,,,51810700,
"Fatima Zahra",,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Graisse",52100,,16400,,,,51810700,
"Fatima Zahra",,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; houblon",1085300,,725800,,,,51810700,
"Fatima Zahra",,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; laiton",228600,,314200,,,,51810700,
"Fatima Zahra",,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; marbre brut","value",,353000,,,,51810700,
"Fatima Zahra",,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; meules à moulins","value",,34300,,,,51810700,
"Fatima Zahra",,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Moeules à taillandier","value",,55700,,,,51810700,
"Fatima Zahra",,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Pierres ; à batir","value","124 840 ET 30 600",30600,137300,,,51810700,
"Fatima Zahra",,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Pierres ; à éguiser",61040,"124 840 ET 30 600",56100,137300,,,51810700,
"Fatima Zahra",,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Pierres ; à fourx",63800,"124 840 ET 30 600",50600,137300,,,51810700,
"Fatima Zahra",,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Plomb",8443600,,2361300,,,,51810700,
"Fatima Zahra",,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; salpetre",51400,,30800,,,,51810700,
"Fatima Zahra",,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; souffre",7873700,,539100,,,,51810700,
"Fatima Zahra",,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Suif en pain",8951700,,4612200,,,,51810700,
"Fatima Zahra",,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Terre ; divers","value","10 580 400 ET 13 000",13000,97400,,,51810700,
"Fatima Zahra",,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Terre ; pozolane",10580400,"10 580 400 ET 13 000",84400,97400,,,51810700,
"Fatima Zahra",,1788,12,"Matières premieres ; Baleine",151830,,456600,,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; Bourre de Soye ",39950,,175400,,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; Chanvre ; brut",18671200,18807100,7147200,7246000,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; Chanvre ; peigné",135900,18807100,98800,7246000,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; cire ; jaune",766850,,1472800,,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; cornes diverses","value",,131600,,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; coton ; en laine",9818100,11112000,13663700,17803400,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; coton ; filé",1293900,11112000,4139700,17803400,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; crin ",175250,,148300,,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; cuirs en poil ; divers","value","118 128 et 2 666 560 et 13 700",13700,4563800,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; cuirs en poil ; de beuf","117 198 ET 2 666 560","118 128 et 2 666 560 et 13 700",4539200,4563800,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; cuirs en poil ; de vache",930,"118 128 et 2 666 560 et 13 700",10900,4563800,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; Engrais",574400,,45900,,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; ecaille",2700,,26400,,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; Etoupe",106000,,25000,,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; fils ; divers",1240780,"1 248 398 E T14",3397200,3617900,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; fils ; à dentelle",692,"1 248 398 E T14",72900,3617900,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; fils ; de mulquinerie",6926,"1 248 398 E T14",147800,3617900,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; huile ; de grains",1233450,"3 717 450 ET 232 900",532400,1801400,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; huile ; de lin",57000,"3 717 450 ET 232 900",25100,1801400,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; huile ; de poisson ",2390200,"3 717 450 ET 232 900",998800,1801400,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; huile ; de loareng",36800,"3 717 450 ET 232 900",12200,1801400,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; huile ; de balerine","value","3 717 450 ET 232 900",199200,1801400,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; huile ; de morue","value","3 717 450 ET 232 900",22800,1801400,,,81388700,
"Fatima Zahra",,1788,12,"Matières premieres ; huile ; de spermacelé","value","3 717 450 ET 232 900",10900,1801400,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Ivoire",22060,,48800,,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Jayet brut",73900,,27000,,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Jonc","value",,23200,,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Laine ; diverse","2 462 ET 10 730 800","13 646 680 ET 2 462",9387100,17399300,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Laine ; filée",705870,"13 646 680 ET 2 462",2388200,17399300,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Laine ; fine",2210010,"13 646 680 ET 2 462",5624000,17399300,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; liége en planches",468800,,74000,,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; lin en Rame",3032480,,2028400,,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Peaux en poil ; diverses","value","145 560 ET 66 000 ET 802 800",346900,1272400,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Peaux en poil ; d'agneaux",24900,"135 560 ET 66 000 ET 802 800",15700,1272400,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Peaux en poil ; de chevres","value","135 560 ET 66 000 ET 802 800",425900,1272400,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Peaux en poil ; de cheveuils",2500,"135 560 ET 66 000 ET 802 800",10100,1272400,,,81388700,
