line number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6604,Local,1758,Marseille,,Angleterre,Exports,huile d’olive,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605,Local,1758,Marseille,,Angleterre,Exports,Vin rouge,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6606,Local,1758,Marseille,,Espagne,Exports,acier,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6607,Local,1758,Marseille,,Espagne,Exports,ajamis,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6608,Local,1758,Marseille,,Espagne,Exports,alun,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6609,Local,1758,Marseille,,Espagne,Exports,amidon,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6610,Local,1758,Marseille,,Espagne,Exports,amandes,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6611,Local,1758,Marseille,,Espagne,Exports,anis,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6612,Local,1758,Marseille,,Espagne,Exports,arcenic,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6613,Local,1758,Marseille,,Espagne,Exports,aristoloche,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6614,Local,1758,Marseille,,Espagne,Exports,avoine,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6615,Local,1758,Marseille,,Espagne,Exports,bas de coton,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6616,Local,1758,Marseille,,Espagne,Exports,bas de fil,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6617,Local,1758,Marseille,,Espagne,Exports,ban de filozelle,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6618,Local,1758,Marseille,,Espagne,Exports,bas de laine,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6619,Local,1758,Marseille,,Espagne,Exports,bas de soye,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6620,Local,1758,Marseille,,Espagne,Exports,batanonis,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6621,Local,1758,Marseille,,Espagne,Exports,bazannes tannées,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6622,Local,1758,Marseille,,Espagne,Exports,bazin,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6623,Local,1758,Marseille,,Espagne,Exports,beuf salé,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6624,Local,1758,Marseille,,Espagne,Exports,bierre,,,,,,,,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
