"line number","source_type","year","customs_region","customs_office","partner","export_import","product","origin","width_in_line","value","value_part_of_bundle","quantity","quantity_unit","value_per_unit","filepath","source","sheet","value_total","value_sub_total_1","value_sub_total_2","value_sub_total_3","data_collector","unverified","remarks","value_minus_unit_val_x_qty","absurd_observation","trade_deficit","trade_surplus","duty_quantity","duty_quantity_unit","duty_by_unit","duty_total","duty_part_of_bundle","duty_remarks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6604,"Local",1758,"Marseille",,"Angleterre","Exports","huile d’olive",,,29722,,1157,"muids",,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605,"Local",1758,"Marseille",,"Angleterre","Exports","Vin rouge",,,"NA",,4075,"livres",,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6606,"Local",1758,"Marseille",,"Espagne","Exports","acier",,,299299,,69716,"Marinettes","1s","Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6607,"Local",1758,"Marseille",,"Espagne","Exports","ajamis",,,108584,,50,7,3,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6608,"Local",1758,"Marseille",,"Espagne","Exports","alun",,,216,,728,"q",,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6609,"Local",1758,"Marseille",,"Espagne","Exports","amidon",,,252,,475,"08/09/25",9,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6610,"Local",1758,"Marseille",,"Espagne","Exports","amandes",,,28655,,2505,20,,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6611,"Local",1758,"Marseille",,"Espagne","Exports","anis",,,3157,,457,5,,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6612,"Local",1758,"Marseille",,"Espagne","Exports","arcenic",,,407,,10848,4,,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6613,"Local",1758,"Marseille",,"Espagne","Exports","aristoloche",,,3366,,15863,4,,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6614,"Local",1758,"Marseille",,"Espagne","Exports","avoine",,,2702,,1500,4,,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6615,"Local",1758,"Marseille",,"Espagne","Exports","bas de coton",,,240,,500,"charges",,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6616,"Local",1758,"Marseille",,"Espagne","Exports","bas de fil",,,70,,60,"£",15,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6617,"Local",1758,"Marseille",,"Espagne","Exports","ban de filozelle",,,900,,81,150,430,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6618,"Local",1758,"Marseille",,"Espagne","Exports","bas de laine",,,3480,,"4q",45,,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6619,"Local",1758,"Marseille",,"Espagne","Exports","bas de soye",,,2200,,538,12,,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6620,"Local",1758,"Marseille",,"Espagne","Exports","batanonis",,,2675,,120000,"livres",,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6621,"Local",1758,"Marseille",,"Espagne","Exports","bazannes tannées",,,120000,,14868,"pieces",40,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6622,"Local",1758,"Marseille",,"Espagne","Exports","bazin",,,99472,,20,12,30,"6}",,2,,,,,,,,";",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6623,"Local",1758,"Marseille",,"Espagne","Exports","beuf salé",,,600,,468,"pieces",,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6624,"Local",1758,"Marseille",,"Espagne","Exports","bierre",,,240,,"{196",5,30,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6625,"Local",1758,"Marseille",,"Espagne","Exports","bijouterie",,,3780,,10420,"livres",,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6626,"Local",1758,"Marseille",,"Espagne","Exports","biscuit",,,310,,8000,"livres",25,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6627,"Local",1758,"Marseille",,"Espagne","Exports","bled froment",,,400,,100,35,100,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6628,"Local",1758,"Marseille",,"Espagne","Exports","bois de Brezil",,,10000,,11800,"charges",,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6629,"Local",1758,"Marseille",,"Espagne","Exports","bois a bruler",,,1720,,3629,50,50,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6630,"Local",1758,"Marseille",,"Espagne","Exports","bois de campeche",,,1855,,3451,15,,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6631,"Local",1758,"Marseille",,"Espagne","Exports","bois de chene",,,1245,,38970,6,,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6632,"Local",1758,"Marseille",,"Espagne","Exports","Bois de Construction",,,2870,,31799,20,,"Marseille --  1758 -- Exports -- CCI_Marseille_I_23",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
