marchandises,détails
articles réunis,d'une valeur moindre de 2000 francs chacun
bêtes de somme,principalement en mules et mulets
bêtes de somme,ânes
bêtes de somme,chevaux
bêtes de somme,"mules, mulets et chevaux"
bêtes de somme,mulets
drogues diverses,drogues diverses réunies
drogues diverses,drogues réunies
drogues diverses,gommes diverses
drogues diverses,huile et essence de térébenthine
drogues diverses,sels chimiques
drogues médicinales,drogues médicinales réunies
drogues médicinales,drogues réunies
drogues médicinales,ipécacuanha
drogues médicinales,jus de réglisse
drogues médicinales,manne
drogues médicinales,quinquina
drogues médicinales,safran
drogues médicinales,salsepareille
drogues médicinales,séné
industrie étrangère,articles réunis
industrie étrangère,bouchons de liège
industrie étrangère,cauris
industrie étrangère,colle de toute sorte
industrie étrangère,colles de toute sorte
industrie étrangère,faïence et poterie
industrie étrangère,habillement et lingerie
industrie étrangère,horlogerie
industrie étrangère,librairie
industrie étrangère,marbres
industrie étrangère,merceries
industrie étrangère,meubles et miroirs
industrie étrangère,ouvrages de jonc
industrie étrangère,ouvrages divers
industrie étrangère,peaux et pelleteries
industrie étrangère,plumes à écrire
industrie étrangère,plumes d'autruche
industrie étrangère,plumes de toute sorte
industrie étrangère,"porcelaine, faïence et poterie"
industrie étrangère,quincailleries diverses
industrie étrangère,"quincailleries diverses ; faux, faucilles, fil de laiton et limes…"
industrie étrangère,savons
industrie étrangère,voitures
industrie générale,armes
industrie générale,articles d'industrie réunis
industrie générale,bijouterie
industrie générale,bougie
industrie générale,cauris
industrie générale,chandelle
industrie générale,chandelles
industrie générale,cordages
industrie générale,dorures fines
industrie générale,esprit de vin
industrie générale,faïence et poterie
industrie générale,gants de peau
industrie générale,habillements et lingerie
industrie générale,habillements et lingeries
industrie générale,horlogerie
industrie générale,jeux de voiles
industrie générale,librairie
industrie générale,marchandises des indes
industrie générale,merceries
industrie générale,meubles et glaces
industrie générale,ouvrages de cuivre doré et argenté
industrie générale,ouvrages de cuir en cordonnerie et sellerie
industrie générale,ouvrages de modes et fleurs artificielles
