marchandises,marchandises_norm_ortho,mériteplusdetravail,imprimatur,nbr_dans_bdc,source_bdc
0,???,,Pierre Gervais,,1
?,???,,Pierre Gervais,2,1
? ; blanc,??? blanc,,Pierre Gervais,2,1
? ; brun,??? brun,,Pierre Gervais,2,1
? ; diverses,??? diverses,,Pierre Gervais,4,1
? et lances/piquets,??? et lancespiquets,,Pierre Gervais,,1
??,???,,Pierre Gervais,,1
?? (le douzaine),??? la douzaine,,Pierre Gervais,,1
???,???,,Pierre Gervais,,1
??? Ferre en carte,???,,Pierre Gervais,5,1
.,???,,Pierre Gervais,,1
...caille de Tortue,écaille de tortue,,Pierre Gervais,6,1
...copes,écope,,Pierre Gervais,1,1
...corces de citron,écorce de citron,,Pierre Gervais,,1
...gouttoir à Fondre,égouttoirs à fondre,,Pierre Gervais,1,1
…Licanes,licanias,,Pierre Gervais,,1
...pars,espars,,Pierre Gervais,6,1
...pars de Sapin,espars de sapin,,Pierre Gervais,1,1
...parts,espars,,Pierre Gervais,1,1
...pée,épée,,Pierre Gervais,,1
...pées,épée,,Pierre Gervais,,1
...pées d’argent,épée d’argent,,Pierre Gervais,,1
...pées pour combat,épée pour combat,,Pierre Gervais,,1
...perons,éperons,,Pierre Gervais,,1
...pice,épice,,Pierre Gervais,1,1
...pice de Curons,épice de Curons,,Pierre Gervais,1,1
...pice Douce,épice douce,,Pierre Gervais,1,1
...pices,épice,,Pierre Gervais,,1
...pingles,épingles,,Pierre Gervais,,1
...pitaphe,épitaphe,,Pierre Gervais,,1
...quipement de navire,équipement de navire,,Pierre Gervais,,1
...tain,étain,,Pierre Gervais,2,1
...tain en bloc,étain en bloc,,Pierre Gervais,2,1
...tain Ouvre,étain ouvré,,Pierre Gervais,3,1
...tain vieux,étain vieux,,Pierre Gervais,2,1
...tains vieux,étain vieux,,Pierre Gervais,1,1
...tamine,étamine,,Pierre Gervais,1,1
...toffes,étoffe,,Pierre Gervais,,1
...toffes tissées,étoffe tissée,,Pierre Gervais,,1
...toupe,étoupes,,Pierre Gervais,2,1
...toupe de lin,étoupes de lin,,Pierre Gervais,,1
"//////Betes de somme, principalement en mules et mulets",bêtes de somme principalement en mules et mulets,,Pierre Gervais,5,1
"//////Betes,principalement en mules et mulets",bêtes principalement en mules et mulets,,Pierre Gervais,6,1
//////Passementerie,passementerie,,Pierre Gervais,1,1
///Articles réunis///D'une valeur moindre de 2000 fr chacun,articles réunis d'une valeur moindre de 2000 francs chacun,,Pierre Gervais,63,1
///Articles réunis///D'une valeur moindre de 2000 francs chacun,articles réunis d'une valeur moindre de 2000 francs chacun,,Pierre Gervais,42,1
///Betes de somme///Anes,bêtes de somme ânes,,Pierre Gervais,1,1
///Bêtes de Somme///Anes,bêtes de somme ânes,,Pierre Gervais,1,1
///Betes de somme///Chevaux,bêtes de somme chevaux,,Pierre Gervais,8,1
///Bêtes de Somme///Chevaux,bêtes de somme chevaux,,Pierre Gervais,6,1
///Betes de somme///Cheveaux,bêtes de somme chevaux,,Pierre Gervais,7,1
"///Bêtes de Somme///Mules, mulets et chevaux",bêtes de somme mules mulets et chevaux,,Pierre Gervais,4,1
///Betes de somme///Mulets,bêtes de somme mulets,,Pierre Gervais,3,1
///Bêtes de Somme///Mulets,bêtes de somme mulets,,Pierre Gervais,1,1
///Drogues diverses///Drogues diverses réunies,drogues diverses drogues diverses réunies,,Pierre Gervais,45,1
///Drogues Diverses///Drogues réunies,drogues diverses drogues réunies,,Pierre Gervais,17,1
///Drogues diverses///Drogues réunies,drogues diverses drogues réunies,,Pierre Gervais,16,1
///Drogues Diverses///Gommes diverses,drogues diverses gommes diverses,,Pierre Gervais,12,1
///Drogues diverses///Gommes diverses,drogues diverses gomme diverse,,Pierre Gervais,43,1
///Drogues diverses///Huile et essence de Térébenthine,drogues diverses huile et essence de térébenthine,,Pierre Gervais,6,1
///Drogues diverses///Huile et essence de térébenthine,drogues diverses huile et essence de térébenthine,,Pierre Gervais,18,1
///Drogues Diverses///Sels chimiques,drogues diverses sel chimique,,Pierre Gervais,6,1
///Drogues diverses///Sels chimiques,drogues diverses sel chimique,,Pierre Gervais,9,1
///Drogues Médicinales///Drogues médicinales réunies,drogues médicinales drogues médicinales réunies,,Pierre Gervais,17,1
///Drogues médicinales///Drogues médicinales réunies,drogues médicinales drogues médicinales réunies,,Pierre Gervais,29,1
///Drogues Médicinales///Drogues réunies,drogues médicinales drogues réunies,,Pierre Gervais,16,1
///Drogues médicinales///Drogues réunies,drogues médicinales drogues réunies,,Pierre Gervais,12,1
///Drogues Médicinales///Ipécacuanha,drogues médicinales ipécacuanha,,Pierre Gervais,4,1
///Drogues médicinales///Ipécacuanha,drogues médicinales ipécacuanha,,Pierre Gervais,1,1
///Drogues Médicinales///Jus de réglisse,drogues médicinales jus de réglisse,,Pierre Gervais,5,1
///Drogues médicinales///Jus de réglisse,drogues médicinales jus de réglisse,,Pierre Gervais,5,1
///Drogues Médicinales///Manne,drogues médicinales manne,,Pierre Gervais,4,1
///Drogues médicinales///Manne,drogues médicinales manne,,Pierre Gervais,3,1
///Drogues Médicinales///Quinquina,drogues médicinales quinquina,,Pierre Gervais,6,1
///Drogues médicinales///Quinquina,drogues médicinales quinquina,,Pierre Gervais,10,1
///Drogues Médicinales///Safran,drogues médicinales safran,,Pierre Gervais,5,1
///Drogues médicinales///Safran,drogues médicinales safran,,Pierre Gervais,16,1
///Drogues Médicinales///Salsepareille,drogues médicinales salsepareille,,Pierre Gervais,2,1
///Drogues médicinales///Salsepareille,drogues médicinales salsepareille,,Pierre Gervais,2,1
///Drogues Médicinales///Séné,drogues médicinales séné,,Pierre Gervais,4,1
///Drogues médicinales///Séné,drogues médicinales séné,,Pierre Gervais,3,1
