quantity_unit,marchandises_normalisees,N2_quantity_unit_ajustees,N2_u_conv,N2_q_conv,N2_Remarque_unit,source_hambourg,incertitude_unit,need_geo
barils,Poisson ; de mer; salé ; sardine,,,,Comme chez Werner (Baril d'anchoix à Londres ?),0,,
barils,Poisson ; frais,,,,Comme chez Werner (Baril d'anchoix à Londres ?),0,,
barils,Poisson ; frit,,,,Comme chez Werner (Baril d'anchoix à Londres ?),0,,
barils,Poisson ; salé,,,,Comme chez Werner (Baril d'anchoix à Londres ?),0,,
barils,Pomme,,,,,0,,
barils,Porc ; salé,,,,,0,,
barils,Poudre à tirer,,,,,0,,
barils,Rogne,,,,p546 doursther,0,,
barils,Saumon ; salé,,,,p546 doursther,0,,
barils,Sirop ; de vinaigre,,,,,0,,
barils,Tafia,,,,,,,
barils,Verroterie,,,,,0,,
barils,Vin ; de Champagne,,,,,0,,
barils,Vin ; de Lyon,,,,,0,,
barils,Vin ; de Malvoisie,,,,,0,,
barils,Vin ; de Navarre,,,,,0,,
barils,Vin ; muscat,,,,,0,,
barils,Vinaigre,,,,,0,,
barriques,Beurre ; ordinaire,,kg,,,0,,
barriques,Brai et goudron,,,,,0,,
barriques,Bœuf ; salé,,,,,0,,
barriques,Cendre ; à orfèvre,,kg,,,0,,
barriques,Chair ; salée,,,,,0,,
barriques,Charbon ; de bois,,,,,0,,
barriques,Charbon ; de terre,,,,,0,,
barriques,Chaux,,kg,,,0,,
barriques,Drogue ; pour la peinture et la teinture ; ocre ; rouge,,,,,0,,
barriques,Fromage ; commun,,,,,0,,
barriques,Fèves,,,,,0,,
barriques,Goudron,,,,,0,,
barriques,Gruau,,,,,0,,
barriques,Merrain,,,,,0,,
barriques,Miel,,,,,0,,
barriques,Plâtre,,,,,0,,
barriques,Poisson ; de mer ; morue ; Rave,,kg,,,0,,
barriques,Poisson ; de mer; salé ; sardine,,kg,,,0,,
barriques,Poisson ; de mer; sardine,,,,,0,,
barriques,Poix ; secs,,,,,0,,
barriques,Raves,,,,,0,,
barriques,Rognes,,kg,,,0,,
barriques,Sel,,,,,0,,
barriques,Terre ; du Limousin,,kg,,,0,,
barriques,Terre ; à sucre,,,,,0,,
bottes,Bois,bottes pour les solides,,,p81 doursther,0,,
bottes,Bois ; d'osier,bottes pour les solides,,,p81 doursther,0,,
bottes,Bois ; en tailles ; à couvrir,bottes pour les solides,,,p81 doursther,0,,
bottes,Confitures,bottes pour les solides,,,p81 doursther,0,,
bottes,Drogue ; pour la peinture et teinture ; gande,bottes pour les solides de londres,kg,5.0483298,"p11 doursther, 1 load=16 bottes=181.74",,,
bottes,Faux ; à faucher,bottes pour les solides,,,p81 doursther,0,,
bottes,Fourrages ; paille,bottes pour les solides,,,p81 doursther,0,,
bottes,Herbe ; gaudes,bottes pour les solides,,,p81 doursther,0,,
bottes,Herbe ; pérelles,bottes pour les solides,,,p81 doursther,0,,
bottes,Herbe ; vaudes,bottes pour les solides,,,p81 doursther,0,,
bottes,Laine ; d'Espagne,bottes pour les solides,,,p81 doursther,0,,
bottes,Lamproie,bottes pour les solides,,,p81 doursther,0,,
bottes,Latte,bottes pour les solides,,,p81 doursther,0,,
bottes,Oignon,bottes pour les solides,,,p81 doursther,0,,
bottes,Osier,bottes pour les solides,,,p81 doursther,0,,
bottes,Paille,bottes pour les solides,,,p81 doursther,0,,
bottes,Roseau ; champêtre,bottes pour les solides,,,p81 doursther,0,,
bottes,Toile ; de lin ; blanche,bottes pour les solides,,,p81 doursther,0,,
bottes,Toile ; de lin ; de Laval,bottes pour les solides,,,p81 doursther,0,,
bottes,Vaudes,bottes pour les solides,,,p81 doursther,0,,
bottes,Étamine ; de laine,bottes pour les solides,,,p81 doursther,0,,
bouteilles,Drogue ; pour la peinture et la teinture ; Vernis,,,,,0,,
faix,Cercles ; à tonneaux,,,,,0,,
faix,Cercles et feuillard ; en bois,,,,,0,,
muids,???,????,,,,0,1,
muids,Fèves,,,,,0,,
poinçons,Noix,,,,p447 doursther,0,,
poinçons,Terre ; à poterie,,,,p447 doursther,0,,
poinçons,Terre ; à sucre,,,,p447 doursther,0,,
pots,Confitures,,,,,0,,
pots,Fruits ; confits ; à l'eau de vie,,,,,0,,
pots,Fruits ; à l'eau de vie,,,,,0,,
pots,Fèves,,,,,0,,
pots,Guildive,,,,,0,,
pots,Quincaillerie ; de fer,,,,,0,,
pots,Vestes ; brodées,,,,,0,,
quartiers,Noix,,,,,0,,
queues,Poisson ; de mer ; morue ; Verte,,,,,0,,
razières,Cendre ; de bois,,,,p474/5 doursther,0,,
razières,Charbon ; de bois,,,,p474/5 doursther,0,,
razières,Charbon ; de terre,,,,p474/5 doursther,0,,
razières,Engrais,,,,,0,,
razières,Graine ; de lin,,,,p474/5 doursther,0,,
razières,Graines ; de genièvre,,,,p474/5 doursther,0,,
razières,Sel ; blanc,,,,p474/5 doursther,0,,
rouleaux,Papier ; gris,,,,,0,,
