original,fixed
Amiens,Amiens
Amiens et Soissons,Amiens et Soissons
Bayonne,Bayonne
Bayonne et Arzac,Bayonne et Arzac
Bordeaux,Bordeaux
Bourges et Moulins,Bourges et Moulins
Bourgogne,Bourgogne
Bourgognes,Bourgogne
Brest,Brest
Caen,Caen
Caën,Caen
Caën par Mer,Caen par Mer
Caën par Terre,Caen par Terre
Chaalons,Châlons
Chaalons et Troyes,Châlons et Troyes
Charleville,Charleville
Convoy de Bordeaux,Convoi de Bordeaux
Cordages,Cordages
Dieppe,Dieppe
Dijon et Chalons-sur_saone,Dijon et Châlons-sur-Saône
Dunkerque,Dunkerque
Flandre,Flandre
Honfleur,Honfleur
La Rochelle,La Rochelle
La rochelle,La Rochelle
Langres,Langres
"Languedoc, Provence et Roussillon","Languedoc, Provence et Roussillon"
Le Havre,Le Havre
Lyon,Lyon
"Lyon, Grenoble et Valence","Lyon, Grenoble et Valence"
"Lyon, Valence et Bresse","Lyon, Valence et Bresse"
Marseille,Marseille
Mayne et Anjou,Maine et Anjou
Montpellier,Montpellier
Nantes,Nantes
Narbonne,Narbonne
Paris,Paris
Poitou,Poitou
Rennes,Rennes
Rethelois,Rethelois
Rochefort,Rochefort
Rouen,Rouen
Roüen,Rouen
Saint Malo,Saint-Malo
Saint Quentin,Saint-Quentin
Saint Servan,Saint-Servan
Saint-Quentin,Saint-Quentin
St. Quentin,Saint-Quentin
Tonne-Charente,Tonne-Charente
Toulon,Toulon
la Rochelle,La Rochelle
