marchandises_simplifiees,marchandises_tres_simplifiees,sitc_rev1,sitc_rev2,classificationproduitsmdicinaux,remarques_marchandises,wallislist,exclusion_not_medical_primarily,nom_wallis,large,narrow,sitc1digit,sitc18thc,nbr_lignes_fr_bis,classification_hambourg_etroite,classification_hambourg_large,ajouts_565860,commestibles_eur_grainsetsubstit,grains_ou_farine,categories_de_grains,v9,source_bdc,nbr_bdc_marchandises_simplifiees
,?,???,???,,,,,,,,,,,,,,,,,,1,31324
"""""""""""""""""""""""""""""""""""""""""""""""""",?,???,???,,,,,,,,,,,,,,,,,,1,4
? ; Licances,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1
???,?,???,???,0,,0,,,0,0,,,132,,,,0,0,0,,1,90
??? Tanabare,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1
??? bois ;,bois,2,2,0,,0,,,0,0,,,,Bois ; de Pernambouc,Bois ; de Pernambouc,,0,0,0,,0,0
??? bois ; de buis,bois,2,2,0,,0,,,0,0,,,,,,,0,0,0,,1,1
??? toile ; de Pologne,toile,6,6b,0,,0,,,0,0,,,,,,,0,0,0,,0,0
abaci,abaque,8,8,0,"Abaque (Abacus en latin, Abaci au pluriel)Abaque (Abacus en latin, Abaci au pluriel)",0,,,0,0,,,1,,,,0,0,0,,1,1
acacia,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,0,0
acacia ; germanica,bois,2,2,,,,,,,,,,,,,,,,,,1,1
accorus,,,,,,,,,,,,,,,,,,,,,1,1
achia,,0,0b,0,"Savary, volume 1, 1748 : «  Achia : sorte de canne qui croît dans les Indes Orientales, que l'on confit en verd dans le pays avec du fort vinaigre, du poivre quelques épices et autres ingrédients. »",0,,,0,0,,,4,,,,0,0,0,,1,5
acier,acier,6,6,0,,0,,,0,0,,,296,,,,0,0,0,,1,797
acier ; brun,acier,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1
acier ; brut,acier,6,6,0,,0,,,0,0,,,3,,,,0,0,0,,0,0
acier ; en barre,acier,6,6,0,,0,,,0,0,,,4,,,,0,0,0,,1,3
acier ; ouvré,acier,6,6,0,,0,,,0,0,,,3,,,,0,0,0,,1,6
acon démonté,acon démonté,7,7,0,Embarcation à fond plat utilisé pour charger ou décharger des bateaux ou pour aller sur les vases (source : Wikitionnaire),0,,,0,0,,,2,,,,0,0,0,,1,8
