numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value
1,Stephen Jackson,AN F12 245,National toutes directions sans produits/1777.csv,National toutes directions sans produits,1777,Imports,3,"Allemagne, Lorraine et pais de Liege",Amiens,22590
2,Stephen Jackson,AN F12 245,National toutes directions sans produits/1777.csv,National toutes directions sans produits,1777,Imports,3,"Allemagne, Lorraine et pais de Liege",Bourgogne,569016
3,Stephen Jackson,AN F12 245,National toutes directions sans produits/1777.csv,National toutes directions sans produits,1777,Imports,3,"Allemagne, Lorraine et pais de Liege",Châlons,3571785
4,Stephen Jackson,AN F12 245,National toutes directions sans produits/1777.csv,National toutes directions sans produits,1777,Imports,3,"Allemagne, Lorraine et pais de Liege",Charleville,3284381
5,Stephen Jackson,AN F12 245,National toutes directions sans produits/1777.csv,National toutes directions sans produits,1777,Imports,3,"Allemagne, Lorraine et pais de Liege",Flandre,94658
6,Stephen Jackson,AN F12 245,National toutes directions sans produits/1777.csv,National toutes directions sans produits,1777,Imports,3,"Allemagne, Lorraine et pais de Liege",Langres,767613
7,Stephen Jackson,AN F12 245,National toutes directions sans produits/1777.csv,National toutes directions sans produits,1777,Imports,3,"Allemagne, Lorraine et pais de Liege",La Rochelle,89769
8,Stephen Jackson,AN F12 245,National toutes directions sans produits/1777.csv,National toutes directions sans produits,1777,Imports,3,"Allemagne, Lorraine et pais de Liege",Paris,9165
9,Stephen Jackson,AN F12 245,National toutes directions sans produits/1777.csv,National toutes directions sans produits,1777,Imports,3,"Allemagne, Lorraine et pais de Liege",Saint Quentin,2905
10,Stephen Jackson,AN F12 245,National toutes directions sans produits/1777.csv,National toutes directions sans produits,1777,Exports,4,"Allemagne, Lorraine et pais de Liege",Amiens,609877
11,Stephen Jackson,AN F12 245,National toutes directions sans produits/1777.csv,National toutes directions sans produits,1777,Exports,4,"Allemagne, Lorraine et pais de Liege",Bourgogne,2445265
12,Stephen Jackson,AN F12 245,National toutes directions sans produits/1777.csv,National toutes directions sans produits,1777,Exports,4,"Allemagne, Lorraine et pais de Liege",Châlons,3538596
13,Stephen Jackson,AN F12 245,National toutes directions sans produits/1777.csv,National toutes directions sans produits,1777,Exports,4,"Allemagne, Lorraine et pais de Liege",Charleville,189302
14,Stephen Jackson,AN F12 245,National toutes directions sans produits/1777.csv,National toutes directions sans produits,1777,Exports,4,"Allemagne, Lorraine et pais de Liege",Flandre,327670
