numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value,,
1,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,3,"Allemagne, Lorraine et pais de Liege",Amiens,31910,,
2,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,3,"Allemagne, Lorraine et pais de Liege",Bourgogne,316074,,
3,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,3,"Allemagne, Lorraine et pais de Liege",Châlons,2439943,,
4,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,3,"Allemagne, Lorraine et pais de Liege",Charleville,3171949,,
5,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,3,"Allemagne, Lorraine et pais de Liege",Flandre,161811,,
6,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,3,"Allemagne, Lorraine et pais de Liege",Langres,439862,,
7,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,3,"Allemagne, Lorraine et pais de Liege",Amiens,742928,,
8,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,3,"Allemagne, Lorraine et pais de Liege",Bourgogne,1179256,,
9,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,3,"Allemagne, Lorraine et pais de Liege",Châlons,6629350,,
10,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,3,"Allemagne, Lorraine et pais de Liege",Charleville,146092,,
11,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,3,"Allemagne, Lorraine et pais de Liege",Flandre,517005,,
12,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,3,"Allemagne, Lorraine et pais de Liege",Langres,828408,,
13,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,3,"Allemagne, Lorraine et pais de Liege",Lyon,20175142,,
14,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,3,"Allemagne, Lorraine et pais de Liege",Montpellier,21859,,
15,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,3,"Allemagne, Lorraine et pais de Liege",Roüen,688100,,
16,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,3,"Allemagne, Lorraine et pais de Liege",Saint Quentin,823687,,
17,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,4,Angleterre,Amiens,533784,,
18,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,4,Angleterre,Bayonne,1400,,
19,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,4,Angleterre,Bordeaux,1548432,,
20,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,4,Angleterre,Caën,112018,,
21,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,4,Angleterre,La Rochelle,537100,,
22,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,4,Angleterre,Marseille,631801,,
23,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,4,Angleterre,Montpellier,9240,,
24,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,4,Angleterre,Nantes,252351,,
25,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,4,Angleterre,Rennes,1276798,,
26,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,4,Angleterre,Roüen,3023581,,
27,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,4,Angleterre,Amiens,4063746,,
28,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,4,Angleterre,Bordeaux,591269,,
29,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,4,Angleterre,Bourgogne,1734,,
30,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,4,Angleterre,Caën,337169,,
31,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,4,Angleterre,Châlons,29230,,
32,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,4,Angleterre,Flandre,45216,,
33,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,4,Angleterre,La Rochelle,825435,,
34,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,4,Angleterre,Marseille,456442,,
35,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,4,Angleterre,Montpellier,391868,,
36,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,4,Angleterre,Nantes,417316,,
37,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,4,Angleterre,Rennes,592274,,
38,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,4,Angleterre,Roüen,2803756,,
39,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,4,Angleterre,Saint Quentin,149502,,
