numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value,
1,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,3,"Allemagne, Lorraine et pais de Liege",Amiens,5431,0
2,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,3,"Allemagne, Lorraine et pais de Liege",Bourgogne,258052,9
3,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,3,"Allemagne, Lorraine et pais de Liege",Châlons,3115267,3
4,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,3,"Allemagne, Lorraine et pais de Liege",Charleville,2743241,19
5,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,3,"Allemagne, Lorraine et pais de Liege",Flandre,71939,12
6,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,3,"Allemagne, Lorraine et pais de Liege",Langres,156106,4
7,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,3,"Allemagne, Lorraine et pais de Liege",Saint Quentin,15213,17
8,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,3,"Allemagne, Lorraine et pais de Liege",Amiens,272425,7
9,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,3,"Allemagne, Lorraine et pais de Liege",Bourgogne,758397,11
10,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,3,"Allemagne, Lorraine et pais de Liege",Châlons,5881949,3
11,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,3,"Allemagne, Lorraine et pais de Liege",Charleville,81387,15
12,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,3,"Allemagne, Lorraine et pais de Liege",Flandre,103184,15
13,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,3,"Allemagne, Lorraine et pais de Liege",Langres,676261,17
14,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,3,"Allemagne, Lorraine et pais de Liege",La Rochelle,300969,9
15,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,3,"Allemagne, Lorraine et pais de Liege",Lyon,16078607,10
16,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,3,"Allemagne, Lorraine et pais de Liege",Roüen,226206,2
17,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,3,"Allemagne, Lorraine et pais de Liege",Saint Quentin,1008661,0
18,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,4,Angleterre,Amiens,341755,16
19,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,4,Angleterre,Bayonne,32932,10
20,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,4,Angleterre,Bordeaux,2764022,1
21,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,4,Angleterre,Caën,194829,16
22,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,4,Angleterre,La Rochelle,902545,9
23,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,4,Angleterre,Marseille,1220999,4
24,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,4,Angleterre,Montpellier,9904,2
25,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,4,Angleterre,Nantes,881878,11
26,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,4,Angleterre,Rennes,582724,19
27,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,4,Angleterre,Roüen,4472823,6
28,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,4,Angleterre,Saint Quentin,436,0
29,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,4,Angleterre,Amiens,2925118,8
30,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,4,Angleterre,Bayonne,20048,0
31,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,4,Angleterre,Bordeaux,6174230,17
32,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,4,Angleterre,Bourgogne,5624,0
33,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,4,Angleterre,Caën,96067,1
34,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,4,Angleterre,Châlons,143491,0
35,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,4,Angleterre,Langres,2586,0
36,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,4,Angleterre,Marseille,957789,4
37,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,4,Angleterre,Lyon,118190,0
38,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,4,Angleterre,Marseille,278371,3
39,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,4,Angleterre,Montpellier,83133,15
40,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,4,Angleterre,Nantes,449706,10
41,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,4,Angleterre,Narbonne,2770,0
42,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,4,Angleterre,Rennes,548662,6
43,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,4,Angleterre,Roüen,789802,13
44,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,4,Angleterre,Saint Quentin,595962,10
45,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,5,Danemark,Amiens,120346,7
46,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,5,Danemark,Bordeaux,194550,3
47,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,5,Danemark,Caën,12839,11
48,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,5,Danemark,La Rochelle,287157,2
49,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,5,Danemark,Nantes,66252,1
50,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,5,Danemark,Rennes,362942,5
51,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,5,Danemark,Roüen,97597,10
52,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,5,Danemark,Saint Quentin,1200,0
53,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,5,Danemark,Amiens,7865,0
54,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,5,Danemark,Bayonne,22234,0
55,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,5,Danemark,Bordeaux,1951975,1
56,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,5,Danemark,Bourgogne,5532,0
57,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,5,Danemark,Caën,557,5
58,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,5,Danemark,La Rochelle,411733,18
59,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,5,Danemark,Nantes,130807,13
60,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,5,Danemark,Rennes,11582,10
