numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value,,,
1,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,66,"Allemagne, Lorraine et pais de Liege",Amiens,18060,,
2,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,66,"Allemagne, Lorraine et pais de Liege",Bourgogne,614811,,
3,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,66,"Allemagne, Lorraine et pais de Liege",Châlons,3107870,,
4,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,66,"Allemagne, Lorraine et pais de Liege",Charleville,3087435,,
5,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,66,"Allemagne, Lorraine et pais de Liege",Flandre,89024,,
6,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,66,"Allemagne, Lorraine et pais de Liege",Langres,387333,,
7,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,66,"Allemagne, Lorraine et pais de Liege",Paris,7060,,
8,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,66,"Allemagne, Lorraine et pais de Liege",Amiens,659803,,
9,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,66,"Allemagne, Lorraine et pais de Liege",Bourgogne,2014270,,
10,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,66,"Allemagne, Lorraine et pais de Liege",Châlons,2757506,,
11,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,66,"Allemagne, Lorraine et pais de Liege",Charleville,256465,,
12,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,66,"Allemagne, Lorraine et pais de Liege",Flandre,300567,,
13,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,66,"Allemagne, Lorraine et pais de Liege",Langres,688601,,
14,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,66,"Allemagne, Lorraine et pais de Liege",Lyon,17762039,,
15,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,66,"Allemagne, Lorraine et pais de Liege",Montpellier,2122922,,
16,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,66,"Allemagne, Lorraine et pais de Liege",Paris,3391364,,
17,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,66,"Allemagne, Lorraine et pais de Liege",Roüen,777212,,
18,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,66,"Allemagne, Lorraine et pais de Liege",Saint Quentin,684518,,
19,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,67,Angleterre,Amiens,822263,,
20,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,67,Angleterre,Bayonne,17912,,
21,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,67,Angleterre,Bordeaux,4500297,,
22,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,67,Angleterre,Caën,86838,,
23,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,67,Angleterre,La Rochelle,534080,,
24,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,67,Angleterre,Marseille,2247394,,
25,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,67,Angleterre,Montpellier,11320,,
26,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,67,Angleterre,Nantes,810194,,
27,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,67,Angleterre,Paris,42396,,
28,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,67,Angleterre,Rennes,1254016,,
29,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,67,Angleterre,Roüen,2882785,,
30,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,67,Angleterre,Amiens,3155892,,
31,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,67,Angleterre,Bayonne,42816,,
32,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,67,Angleterre,Bordeaux,892538,,
33,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,67,Angleterre,Bourgogne,11325,,
34,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,67,Angleterre,Caën,151694,,
35,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,67,Angleterre,Châlons,30759,,
36,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,67,Angleterre,Flandre,241321,,
37,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,67,Angleterre,La Rochelle,560582,,
38,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,67,Angleterre,Lyon,108000,,
39,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,67,Angleterre,Marseille,234675,,
40,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,67,Angleterre,Montpellier,280320,,
41,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,67,Angleterre,Nantes,32216,,
42,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,67,Angleterre,Paris,585795,,
43,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,67,Angleterre,Rennes,1691990,,
44,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,67,Angleterre,Roüen,1311462,,
45,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,67,Angleterre,Saint Quentin,12920,,
46,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,68,Danemark,Amiens,106388,,
47,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,68,Danemark,Bayonne,816,,
48,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,68,Danemark,Bordeaux,706829,,
49,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,68,Danemark,Caën,27074,,
