numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value
1,Stephen Jackson,IIHS-123,National toutes directions sans produits/1774.csv,National toutes directions sans produits,1774,Imports,88,"Allemagne, Lorraine et pais de Liege",Amiens,17856
2,Stephen Jackson,IIHS-123,National toutes directions sans produits/1774.csv,National toutes directions sans produits,1774,Imports,88,"Allemagne, Lorraine et pais de Liege",Bourgogne,847812
3,Stephen Jackson,IIHS-123,National toutes directions sans produits/1774.csv,National toutes directions sans produits,1774,Imports,88,"Allemagne, Lorraine et pais de Liege",Châlons,3470485
4,Stephen Jackson,IIHS-123,National toutes directions sans produits/1774.csv,National toutes directions sans produits,1774,Imports,88,"Allemagne, Lorraine et pais de Liege",Charleville,3323232
5,Stephen Jackson,IIHS-123,National toutes directions sans produits/1774.csv,National toutes directions sans produits,1774,Imports,88,"Allemagne, Lorraine et pais de Liege",Flandre,53428
6,Stephen Jackson,IIHS-123,National toutes directions sans produits/1774.csv,National toutes directions sans produits,1774,Imports,88,"Allemagne, Lorraine et pais de Liege",Langres,500078
7,Stephen Jackson,IIHS-123,National toutes directions sans produits/1774.csv,National toutes directions sans produits,1774,Imports,88,"Allemagne, Lorraine et pais de Liege",Paris,40470
8,Stephen Jackson,IIHS-123,National toutes directions sans produits/1774.csv,National toutes directions sans produits,1774,Imports,88,"Allemagne, Lorraine et pais de Liege",Saint Quentin,13275
9,Stephen Jackson,IIHS-123,National toutes directions sans produits/1774.csv,National toutes directions sans produits,1774,Exports,88,"Allemagne, Lorraine et pais de Liege",Amiens,643218
10,Stephen Jackson,IIHS-123,National toutes directions sans produits/1774.csv,National toutes directions sans produits,1774,Exports,88,"Allemagne, Lorraine et pais de Liege",Bourgogne,2059078
11,Stephen Jackson,IIHS-123,National toutes directions sans produits/1774.csv,National toutes directions sans produits,1774,Exports,88,"Allemagne, Lorraine et pais de Liege",Châlons,2628520
12,Stephen Jackson,IIHS-123,National toutes directions sans produits/1774.csv,National toutes directions sans produits,1774,Exports,88,"Allemagne, Lorraine et pais de Liege",Charleville,209098
13,Stephen Jackson,IIHS-123,National toutes directions sans produits/1774.csv,National toutes directions sans produits,1774,Exports,88,"Allemagne, Lorraine et pais de Liege",Flandre,287825
14,Stephen Jackson,IIHS-123,National toutes directions sans produits/1774.csv,National toutes directions sans produits,1774,Exports,88,"Allemagne, Lorraine et pais de Liege",Langres,507815
15,Stephen Jackson,IIHS-123,National toutes directions sans produits/1774.csv,National toutes directions sans produits,1774,Exports,88,"Allemagne, Lorraine et pais de Liege",Lyon,19535970
