numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value
1,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Imports,3,"Allemagne, Lorraine et pais de Liege",Amiens,40394
2,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Imports,3,"Allemagne, Lorraine et pais de Liege",Bourgogne,1978029
3,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Imports,3,"Allemagne, Lorraine et pais de Liege",Châlons,6054462
4,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Imports,3,"Allemagne, Lorraine et pais de Liege",Charleville,3179309
5,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Imports,3,"Allemagne, Lorraine et pais de Liege",Flandre,163196
6,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Imports,3,"Allemagne, Lorraine et pais de Liege",Langres,676095
7,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Imports,3,"Allemagne, Lorraine et pais de Liege",Lyon,17636
8,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Imports,3,"Allemagne, Lorraine et pais de Liege",Nantes,575495
9,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Imports,3,"Allemagne, Lorraine et pais de Liege",Paris,49920
10,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Imports,3,"Allemagne, Lorraine et pais de Liege",Rennes,15057
11,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Imports,3,"Allemagne, Lorraine et pais de Liege",Saint Quentin,4859
12,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,4,"Allemagne, Lorraine et pais de Liege",Amiens,517818
13,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,4,"Allemagne, Lorraine et pais de Liege",Bourgogne,1677762
14,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,4,"Allemagne, Lorraine et pais de Liege",Châlons,2254104
15,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,4,"Allemagne, Lorraine et pais de Liege",Charleville,240104
16,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,4,"Allemagne, Lorraine et pais de Liege",Flandre,360609
17,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,4,"Allemagne, Lorraine et pais de Liege",Langres,350762
18,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,4,"Allemagne, Lorraine et pais de Liege",Langres,11592
19,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,4,"Allemagne, Lorraine et pais de Liege",Lyon,26843003
20,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,4,"Allemagne, Lorraine et pais de Liege",Montpellier,1229918
21,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,4,"Allemagne, Lorraine et pais de Liege",Nantes,1403599
22,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,4,"Allemagne, Lorraine et pais de Liege",Paris,1797813
23,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,4,"Allemagne, Lorraine et pais de Liege",Rennes,7873
24,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,4,"Allemagne, Lorraine et pais de Liege",Roüen,859200
25,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,4,"Allemagne, Lorraine et pais de Liege",Saint Quentin,1301264
26,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Imports,5,Angleterre,Amiens,83733
27,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Imports,5,Angleterre,Bordeaux,219839
28,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Imports,5,Angleterre,La Rochelle,6038
29,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Imports,5,Angleterre,Paris,16577
30,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Imports,5,Angleterre,Rennes,41100
31,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Imports,5,Angleterre,Roüen,75886
32,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,6,Angleterre,Amiens,1879056
33,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,6,Angleterre,Bordeaux,58739
34,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,6,Angleterre,Caën,24928
35,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,6,Angleterre,Châlons,4314
36,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,6,Angleterre,Flandre,466778
37,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,6,Angleterre,Lyon,71190
38,Stephen Jackson,AN F12 248,National toutes directions sans produits/1780.csv,National toutes directions sans produits,1780,Exports,6,Angleterre,Paris,684583
