numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value,,
1,Stephen Jackson,IIHS-123,National toutes directions sans produits/1770.csv,National toutes directions sans produits,1770,Imports,24,"Allemagne, Lorraine et pais de Liege",Amiens,16677,,
2,Stephen Jackson,IIHS-123,National toutes directions sans produits/1770.csv,National toutes directions sans produits,1770,Imports,24,"Allemagne, Lorraine et pais de Liege",Bourgogne,407455,,
3,Stephen Jackson,IIHS-123,National toutes directions sans produits/1770.csv,National toutes directions sans produits,1770,Imports,24,"Allemagne, Lorraine et pais de Liege",Châlons,3470545,,
4,Stephen Jackson,IIHS-123,National toutes directions sans produits/1770.csv,National toutes directions sans produits,1770,Imports,24,"Allemagne, Lorraine et pais de Liege",Charleville,2550559,,
5,Stephen Jackson,IIHS-123,National toutes directions sans produits/1770.csv,National toutes directions sans produits,1770,Imports,24,"Allemagne, Lorraine et pais de Liege",Flandre,121343,,
6,Stephen Jackson,IIHS-123,National toutes directions sans produits/1770.csv,National toutes directions sans produits,1770,Imports,24,"Allemagne, Lorraine et pais de Liege",Langres,359324,,
7,Stephen Jackson,IIHS-123,National toutes directions sans produits/1770.csv,National toutes directions sans produits,1770,Exports,24,"Allemagne, Lorraine et pais de Liege",Amiens,695563,,
8,Stephen Jackson,IIHS-123,National toutes directions sans produits/1770.csv,National toutes directions sans produits,1770,Exports,24,"Allemagne, Lorraine et pais de Liege",Bourgogne,1542969,,
9,Stephen Jackson,IIHS-123,National toutes directions sans produits/1770.csv,National toutes directions sans produits,1770,Exports,24,"Allemagne, Lorraine et pais de Liege",Châlons,7881342,,
10,Stephen Jackson,IIHS-123,National toutes directions sans produits/1770.csv,National toutes directions sans produits,1770,Exports,24,"Allemagne, Lorraine et pais de Liege",Charleville,135063,,
11,Stephen Jackson,IIHS-123,National toutes directions sans produits/1770.csv,National toutes directions sans produits,1770,Exports,24,"Allemagne, Lorraine et pais de Liege",Flandre,1213305,,
