numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value
1,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Allemagne, Lorraine et pais de Liege",Amiens,16744
2,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Allemagne, Lorraine et pais de Liege",Bourgogne,2037299
3,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Allemagne, Lorraine et pais de Liege",Châlons,5800377
4,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Allemagne, Lorraine et pais de Liege",Charleville,3237397
5,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Allemagne, Lorraine et pais de Liege",Flandre,89789
6,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Allemagne, Lorraine et pais de Liege",Langres,764135
7,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Allemagne, Lorraine et pais de Liege",Lyon,32426
8,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Allemagne, Lorraine et pais de Liege",Nantes,276260
9,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Allemagne, Lorraine et pais de Liege",Paris,76986
10,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Allemagne, Lorraine et pais de Liege",Saint Quentin,6520
11,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Allemagne, Lorraine et pais de Liege",Amiens,647685
12,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Allemagne, Lorraine et pais de Liege",Bourgogne,2187273
13,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Allemagne, Lorraine et pais de Liege",Châlons,3319868
14,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Allemagne, Lorraine et pais de Liege",Charleville,254892
15,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Allemagne, Lorraine et pais de Liege",Flandre,377718
16,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Allemagne, Lorraine et pais de Liege",Langres,567689
17,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Allemagne, Lorraine et pais de Liege",La Rochelle,100076
18,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Allemagne, Lorraine et pais de Liege",Lyon,23830880
19,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Allemagne, Lorraine et pais de Liege",Montpellier,691637
20,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Allemagne, Lorraine et pais de Liege",Nantes,2609948
21,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Allemagne, Lorraine et pais de Liege",Paris,2175616
22,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Allemagne, Lorraine et pais de Liege",Rennes,204029
23,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Allemagne, Lorraine et pais de Liege",Roüen,893677
24,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Allemagne, Lorraine et pais de Liege",Saint Quentin,1159618
25,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Angleterre,Amiens,329149
26,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Angleterre,Bordeaux,1952494
27,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Angleterre,Caën,3975
28,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Angleterre,La Rochelle,9889
29,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Angleterre,Paris,48415
30,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Angleterre,Rennes,1200
31,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Angleterre,Roüen,338576
32,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Angleterre,Amiens,2389243
33,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Angleterre,Bordeaux,847456
34,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Angleterre,Caën,12573
35,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Angleterre,Châlons,43313
36,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Angleterre,Flandre,456956
37,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Angleterre,Lyon,25335
38,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Angleterre,Paris,624328
39,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Angleterre,Roüen,52966
40,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Angleterre,Saint Quentin,2520
41,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Danemark,Amiens,56870
42,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Danemark,Bordeaux,1271210
43,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Danemark,La Rochelle,434840
44,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Danemark,Marseille,36602
45,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Danemark,Montpellier,2531
46,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Danemark,Nantes,152815
47,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Danemark,Rennes,168291
48,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Danemark,Roüen,628706
49,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Danemark,Bayonne,178666
50,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Danemark,Bordeaux,1915290
51,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Danemark,La Rochelle,600412
52,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Danemark,Marseille,282487
53,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Danemark,Montpellier,784691
54,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Danemark,Nantes,220611
55,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Danemark,Paris,9267
56,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Danemark,Roüen,166901
57,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Espagne, Canaries et Indes Occidentalles",Amiens,1416711
58,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Espagne, Canaries et Indes Occidentalles",Bayonne,9697150
59,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Espagne, Canaries et Indes Occidentalles",Bordeaux,1094812
60,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Espagne, Canaries et Indes Occidentalles",Marseille,6530301
61,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Espagne, Canaries et Indes Occidentalles",Montpellier,689999
62,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Espagne, Canaries et Indes Occidentalles",Nantes,457028
63,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Espagne, Canaries et Indes Occidentalles",Narbonne,206113
64,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Espagne, Canaries et Indes Occidentalles",Paris,4430
65,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Espagne, Canaries et Indes Occidentalles",Rennes,165997
66,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Espagne, Canaries et Indes Occidentalles",Roüen,8394611
67,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Espagne, Canaries et Indes Occidentalles",Saint Quentin,9248
68,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Espagne, Canaries et Indes Occidentalles",Amiens,2987192
69,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Espagne, Canaries et Indes Occidentalles",Bayonne,10457884
70,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Espagne, Canaries et Indes Occidentalles",Bordeaux,1771321
71,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Espagne, Canaries et Indes Occidentalles",Châlons,380702
72,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Espagne, Canaries et Indes Occidentalles",Flandre,596073
73,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Espagne, Canaries et Indes Occidentalles",La Rochelle,2287
74,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Espagne, Canaries et Indes Occidentalles",Lyon,5638037
75,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Espagne, Canaries et Indes Occidentalles",Marseille,1527018
76,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Espagne, Canaries et Indes Occidentalles",Montpellier,515854
77,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Espagne, Canaries et Indes Occidentalles",Nantes,1041646
78,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Espagne, Canaries et Indes Occidentalles",Narbonne,336029
79,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Espagne, Canaries et Indes Occidentalles",Paris,1850232
80,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Espagne, Canaries et Indes Occidentalles",Rennes,5705571
81,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Espagne, Canaries et Indes Occidentalles",Roüen,977083
82,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,"Espagne, Canaries et Indes Occidentalles",Saint Quentin,1528520
83,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Flandre Autrichienne,Amiens,3160
84,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Flandre Autrichienne,Bayonne,22220
85,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Flandre Autrichienne,Bordeaux,573992
86,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Flandre Autrichienne,Caën,33897
87,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Flandre Autrichienne,Charleville,79289
88,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Flandre Autrichienne,Flandre,14114239
89,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Flandre Autrichienne,La Rochelle,21835
90,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Flandre Autrichienne,Nantes,234888
91,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Flandre Autrichienne,Paris,6485
92,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Flandre Autrichienne,Rennes,154286
93,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Flandre Autrichienne,Roüen,1378773
94,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Flandre Autrichienne,Saint Quentin,142488
95,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Flandre Autrichienne,Amiens,500214
96,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Flandre Autrichienne,Bayonne,516744
97,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Flandre Autrichienne,Bordeaux,668280
98,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Flandre Autrichienne,Bourgogne,69183
99,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Flandre Autrichienne,Caën,4250
100,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Flandre Autrichienne,Châlons,427894
101,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Flandre Autrichienne,Charleville,66303
102,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Flandre Autrichienne,Flandre,10208140
103,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Flandre Autrichienne,Langres,3000
104,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Flandre Autrichienne,La Rochelle,132142
105,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Flandre Autrichienne,Lyon,865795
106,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Flandre Autrichienne,Montpellier,30800
107,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Flandre Autrichienne,Nantes,319207
108,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Flandre Autrichienne,Paris,468197
109,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Flandre Autrichienne,Rennes,523659
110,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Flandre Autrichienne,Roüen,726398
111,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Flandre Autrichienne,Saint Quentin,280301
112,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Geneve,Bourgogne,9677
113,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Geneve,Lyon,422800
114,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Geneve,Bordeaux,411633
115,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Geneve,Bourgogne,146245
116,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Geneve,Flandre,34968
117,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Geneve,La Rochelle,24304
118,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Geneve,Lyon,2101798
119,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Geneve,Marseille,4826
120,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Geneve,Montpellier,7934
121,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Geneve,Paris,1440
122,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Geneve,Roüen,167451
123,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Geneve,Saint Quentin,5180
124,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Hollande,Amiens,1534840
125,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Hollande,Bayonne,542136
126,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Hollande,Bordeaux,5049143
127,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Hollande,Bourgogne,4528
128,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Hollande,Caën,242805
129,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Hollande,Charleville,1200
130,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Hollande,Flandre,750939
131,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Hollande,La Rochelle,871616
132,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Hollande,Marseille,4265397
133,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Hollande,Montpellier,15572
134,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Hollande,Nantes,1348352
