numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value
1,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1766.csv,National toutes directions sans produits,1766,Imports,3,"Allemagne, Lorraine et pais de Liege",Amiens,46892
2,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1766.csv,National toutes directions sans produits,1766,Imports,3,"Allemagne, Lorraine et pais de Liege",Bourgogne,354995
3,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1766.csv,National toutes directions sans produits,1766,Imports,3,"Allemagne, Lorraine et pais de Liege",Châlons,3138730
4,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1766.csv,National toutes directions sans produits,1766,Imports,3,"Allemagne, Lorraine et pais de Liege",Charleville,2530295
5,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1766.csv,National toutes directions sans produits,1766,Imports,3,"Allemagne, Lorraine et pais de Liege",Flandre,156565
6,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1766.csv,National toutes directions sans produits,1766,Imports,3,"Allemagne, Lorraine et pais de Liege",Langres,369536
7,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1766.csv,National toutes directions sans produits,1766,Imports,3,"Allemagne, Lorraine et pais de Liege",Saint Quentin,412
8,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1766.csv,National toutes directions sans produits,1766,Exports,3,"Allemagne, Lorraine et pais de Liege",Amiens,795735
9,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1766.csv,National toutes directions sans produits,1766,Exports,3,"Allemagne, Lorraine et pais de Liege",Bourgogne,1522702
10,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1766.csv,National toutes directions sans produits,1766,Exports,3,"Allemagne, Lorraine et pais de Liege",Châlons,7653880
11,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1766.csv,National toutes directions sans produits,1766,Exports,3,"Allemagne, Lorraine et pais de Liege",Charleville,259621
