numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value
1,Stephen Jackson,AN F12 246,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1778,Imports,3,"Allemagne, Lorraine et pais de Liege",Amiens,12266
2,Stephen Jackson,AN F12 246,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1778,Imports,3,"Allemagne, Lorraine et pais de Liege",Bourgogne,2027187
3,Stephen Jackson,AN F12 246,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1778,Imports,3,"Allemagne, Lorraine et pais de Liege",Châlons,3372400
4,Stephen Jackson,AN F12 246,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1778,Imports,3,"Allemagne, Lorraine et pais de Liege",Charleville,3318819
5,Stephen Jackson,AN F12 246,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1778,Imports,3,"Allemagne, Lorraine et pais de Liege",Flandre,150203
6,Stephen Jackson,AN F12 246,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1778,Imports,3,"Allemagne, Lorraine et pais de Liege",Langres,1094079
7,Stephen Jackson,AN F12 246,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1778,Imports,3,"Allemagne, Lorraine et pais de Liege",La Rochelle,4421
8,Stephen Jackson,AN F12 246,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1778,Imports,3,"Allemagne, Lorraine et pais de Liege",Nantes,446720
9,Stephen Jackson,AN F12 246,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1778,Imports,3,"Allemagne, Lorraine et pais de Liege",Paris,6432
10,Stephen Jackson,AN F12 246,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1778,Imports,3,"Allemagne, Lorraine et pais de Liege",Rennes,14580
11,Stephen Jackson,AN F12 246,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1778,Exports,4,"Allemagne, Lorraine et pais de Liege",Amiens,643298
12,Stephen Jackson,AN F12 246,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1778,Exports,4,"Allemagne, Lorraine et pais de Liege",Bourgogne,1956199
