numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1766.csv,Local,1766,Imports,Nantes,1,Bœuf salé,Angleterre,2237,Barils,38,,-85006,,,,
2,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1766.csv,Local,1766,Imports,Nantes,1,Bœuf salé,Angleterre,1366384,livres,"0,175",,"-239117,2",,,,
3,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1766.csv,Local,1766,Imports,Nantes,1,Beurre,Angleterre,166746,livres,"0,35",,"-58361,1",,,,
4,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1766.csv,Local,1766,Imports,Nantes,1,Chandelle,Angleterre,24446,livres,"0,5",,-12223,,,,
5,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1766.csv,Local,1766,Imports,Nantes,1,Chevaux,Angleterre,3,Nombre,500,,-1500,,,,
6,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1766.csv,Local,1766,Imports,Nantes,1,Cochon salé,Angleterre,9,Barils,40,,-360,,,,
7,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1766.csv,Local,1766,Imports,Nantes,1,Cuirs de bœuf en poil,Angleterre,6665,Pieces,27,,-179955,,,,
8,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1766.csv,Local,1766,Imports,Nantes,1,Etain en bloc,Angleterre,1988,Livres,"0,75",,-1491,,,,
9,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1766.csv,Local,1766,Imports,Nantes,1,Graine de foin,Angleterre,150,Livres,"0,5",,-75,,,,
10,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1766.csv,Local,1766,Imports,Nantes,1,Langues salée,Angleterre,15,Barils,30,,-450,,,,
11,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1766.csv,Local,1766,Imports,Nantes,1,Langues salée,Angleterre,942,Livres,"0,3",,"-282,6",,,,
12,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1766.csv,Local,1766,Imports,Nantes,1,Lard,Angleterre,9827,Livres,"0,2",,"-1965,4",,,,
