numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Beuf salé,Angleterre,"313 275,00",Livres,"0,2250000","70486,85","-0,02",erreur de calcul,,,
2,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Langues salées,Angleterre,"10,00",Barils,"30,0000000","300,00","0,00",,,,
3,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Lard ,Angleterre,"4 240,00",Livres,"0,2750000","1166,00","0,00",,,,
4,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Marchandises meslées,Angleterre,,valeurs,"0,0000000","155,00","155,00",,,,
5,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Plomb en saumon,Angleterre,"41 775,00",Livres,"0,2500000","10446,25","2,50",,,,
6,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Ris ,Angleterre,"474 760,00",Livres,"0,2000000","94952,00","0,00",,,,
7,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Suif,Angleterre,"950,00",Livres,"0,5250000","498,75","0,00",,,,
8,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Avirons,Dannemark,"76,00",Nombre,"2,0000000","152,00","0,00",,,,
9,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Bled seigle,Dannemark,"180 000,00",Livres,"0,1000000","18000,00","0,00",,,,
10,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Bois espars,Dannemark,"116,00",Nombre,"0,7500000","87,00","0,00",,,,
11,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Bois merrain,Dannemark,"420,00",Douelles,"0,1000000","42,00","0,00",,,,
12,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Fer en barres,Dannemark,"63 650,00",Livres,"0,2250000","14321,25","0,00",,,,
13,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Marchandises a l'estimation,Dannemark,,valeurs,"0,0000000","139,00","139,00",,,,
14,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Planches de sapin,Dannemark,"21 060,00",Nombre,"1,0000000","21060,00","0,00",,,,
15,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Rogue,Dannemark,"104,00",Barils,"50,0000000","5200,00","0,00",,,,
16,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Amandes en coque,Espagne,"3 780,00",Livres,"0,3000000","1134,00","0,00",,,,
17,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Amandes cassées,Espagne,"1 120,00",Livres,"0,6000000","672,00","0,00",,,,
18,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Anchois,Espagne,"426,00",Livres,"1,0000000","426,00","0,00",,,,
19,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Bois a teindre,Espagne,"88 380,00",Livres,"0,0875000","7733,25","0,00",,,,
20,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Canon de fusils,Espagne,"14,00",Livres,"1,0000000","14,00","0,00",,,,
21,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Capres,Espagne,"312,00",Livres,"0,7500000","159,00","-75,00",erreur calcul,,,
22,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Chocolat,Espagne,"80,00",Livres,"1,7000000","136,00","0,00",,,,
23,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Citrons et oranges,Espagne,"55,00",Caisse,"10,0000000","550,00","0,00",,,,
24,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Couteaux flamands,Espagne,"230,00",Douzaines,"1,5000000","345,00","0,00",,,,
25,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Cuirs en poil,Espagne,"2 667,00",Pieces,"6,0000000","16002,00","0,00",,,,
26,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Dents de morphil,Espagne,"270,00",Livres,"2,0000000","540,00","0,00",,,,
27,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Eau de vie,Espagne,"486,00",pipes,"320,0000000","155520,00","0,00",,,,
28,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1770.csv,Local,1770,Imports,Nantes,1,Fayance,Espagne,"60,00",Douzaines,"4,0000000","240,00","0,00",,,,
