"numrodeligne","dataentryby","source","sourcepath","sourcetype","year","exportsimports","direction","sheet","marchandises","pays","quantit","quantity_unit","prix_unitaire","value","probleme","remarks","Droits totaux indiqués","Droits unitaires","remarks pour les droits"
1,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Beuf salé","Angleterre",313275,"Livres","0,225","70486,85","-0,02","erreur de calcul",,,
2,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Langues salées","Angleterre",10,"Barils",30,300,0,,,,
3,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Lard ","Angleterre",4240,"Livres","0,275",1166,0,,,,
4,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Marchandises meslées","Angleterre",,"valeurs",0,155,155,,,,
5,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Plomb en saumon","Angleterre",41775,"Livres","0,25","10446,25","2,5",,,,
6,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Ris ","Angleterre",474760,"Livres","0,2",94952,0,,,,
7,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Suif","Angleterre",950,"Livres","0,525","498,75",0,,,,
8,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Avirons","Dannemark",76,"Nombre",2,152,0,,,,
9,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Bled seigle","Dannemark",180000,"Livres","0,1",18000,0,,,,
10,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Bois espars","Dannemark",116,"Nombre","0,75",87,0,,,,
11,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Bois merrain","Dannemark",420,"Douelles","0,1",42,0,,,,
12,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Fer en barres","Dannemark",63650,"Livres","0,225","14321,25",0,,,,
13,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Marchandises a l'estimation","Dannemark",,"valeurs",0,139,139,,,,
14,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Planches de sapin","Dannemark",21060,"Nombre",1,21060,0,,,,
15,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Rogue","Dannemark",104,"Barils",50,5200,0,,,,
16,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Amandes en coque","Espagne",3780,"Livres","0,3",1134,0,,,,
17,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Amandes cassées","Espagne",1120,"Livres","0,6",672,0,,,,
18,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Anchois","Espagne",426,"Livres",1,426,0,,,,
19,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Bois a teindre","Espagne",88380,"Livres","0,0875","7733,25",0,,,,
20,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Canon de fusils","Espagne",14,"Livres",1,14,0,,,,
21,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Capres","Espagne",312,"Livres","0,75",159,-75,"erreur calcul",,,
22,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Chocolat","Espagne",80,"Livres","1,7",136,0,,,,
23,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Citrons et oranges","Espagne",55,"Caisse",10,550,0,,,,
24,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Couteaux flamands","Espagne",230,"Douzaines","1,5",345,0,,,,
25,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Cuirs en poil","Espagne",2667,"Pieces",6,16002,0,,,,
26,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Dents de morphil","Espagne",270,"Livres",2,540,0,,,,
27,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1770.csv","Local",1770,"Imports","Nantes",1,"Eau de vie","Espagne",486,"pipes",320,155520,0,,,,
