numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,unverified
1,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,1,bœuf salé,Danemark,7,barils,33,,,absence de prix total,1
2,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,1,beure,Danemark,558,livres,"0,35",,,absence de prix total,1
3,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,1,cabillaus,Danemark,63110,livres,"0,1",,,absence de prix total,1
4,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,1,espart,Danemark,252,livres,"1,5",,,absence de prix total,1
5,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,1,moruë seche,Danemark,236419,livres,"0,25",,,absence de prix total,1
6,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,1,planches de sapin,Danemark,13163,livres,"0,75",,,absence de prix total,1
7,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,1,saumon salé,Danemark,50,tierçons,40,,,absence de prix total,1
8,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,1,stockfish,Danemark,72487,livres,"0,15",,,absence de prix total,1
9,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,1,alun,Espagne,9240,livres,"0,2",,,absence de prix total,1
10,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,1,amandes cassées,Espagne,1470,livres,"0,2",,,absence de prix total,1
11,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,1,avirons,Espagne,98,traques,"4,5",,,absence de prix total,1
12,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,1,ballais de jonc,Espagne,40,douzaines,1,,,absence de prix total,1
13,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,1,cabillaus,Espagne,13396,livres,"0,1",,,absence de prix total,1
14,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,1,caffé,Espagne,8679,livres,"0,6",,,absence de prix total,1
15,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,canefice,Espagne,706,livres,"0,36",,,absence de prix total,1
16,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,chocolat,Espagne,31,livres,"1,25",,,absence de prix total,1
17,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,clouds de fer,Espagne,8470,livres,"0,2",,,absence de prix total,1
18,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,couperose,Espagne,24000,livres,"0,075",,,absence de prix total,1
19,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,cuirs en poil,Espagne,1080,livres,"0,3",,,absence de prix total,1
20,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,degras de peau,Espagne,27658,livres,"0,2",,,absence de prix total,1
21,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,fer en barres,Espagne,85915,livres,"0,15",,,absence de prix total,1
22,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,fer blanc,Espagne,34294,livres,"0,75",,,absence de prix total,1
23,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,fer plat,Espagne,868141,livres,"0,15",,,absence de prix total,1
24,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,figues,Espagne,7182,livres,"0,1",,,absence de prix total,1
25,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,goudron,Espagne,99,bariques,36,,,absence de prix total,1
26,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,huile d'olive,Espagne,40557,livres,"0,4",,,absence de prix total,1
27,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,jambons,Espagne,1577,livres,"0,4",,,absence de prix total,1
28,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,laine d'Espagne,Espagne,1000015,livres,"1,15",,,absence de prix total,1
29,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,laine peignée,Espagne,4653,livres,"1,15",,,absence de prix total,1
30,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,meules batardes,Espagne,333,livres,3,,,absence de prix total,1
31,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,moruë seche,Espagne,286717,livres,"0,25",,,absence de prix total,1
32,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,oranges,Espagne,2000,livres,3,,,absence de prix total,1
33,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,poivre,Espagne,16471,livres,"1,2",,,absence de prix total,1
34,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,poussiere de raisine,Espagne,25533,livres,"1,25",,,absence de prix total,1
35,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,raisin sec,Espagne,46846,livres,"0,2",,,absence de prix total,1
36,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,reglisse,Espagne,12664,livres,"0,15",,,absence de prix total,1
37,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,resine,Espagne,865878,livres,"0,05",,,absence de prix total,1
38,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,sardine,Espagne,90,barils,20,,,absence de prix total,1
39,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,sucre en pain,Espagne,1195,livres,"0,8",,,absence de prix total,1
40,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,sucre terré,Espagne,85211,livres,"0,44",,,absence de prix total,1
41,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,2,sucre tête,Espagne,40442,livres,"0,35",,,absence de prix total,1
42,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,3,vin,Espagne,5,tonneaux,400,,,absence de prix total,1
43,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1759.csv,Local,1759,Imports,Nantes,3,vin muscat,Espagne,28,bariques,150,,,absence de prix total,1
