numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,1,Azur,Allemagne,"754,00",Livres,"0,7500000","565,50","0,00",,,,
2,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,1,Bas de laine,Allemagne,"400,00",Douzaine,"18,0000000","7200,00","0,00",,,,
3,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,1,Bœuf salé,Allemagne,"216 962,00",Livres,"0,2500000","62240,50","8 000,00",erreur de calcul,,,
4,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,1,Bœuf fumé,Allemagne,"791,00",Livres,"1,0000000","791,00","0,00",,,,
5,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,1,Bois merrain,Allemagne,"4 102,00",Pieces,"0,1700000","697,35","0,01",erreur de calcul,,,
6,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,1,Chanvre cru,Allemagne,"80 000,00",Livres,"0,3800000","30400,00","0,00",,,,
7,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,1,Couperose,Allemagne,"1 680,00",Livres,"0,1000000","168,00","0,00",,,,
8,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,1,Couverture de laine,Allemagne,"12,00",Nombre,"14,0000000","172,00","4,00",erreur de calcul,,,
9,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,1,Cuivre ; en fourure,Allemagne,"2 650,00",Livres,"1,4000000","3710,00","0,00","valeur glogal 4856,6 livres",,,
10,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,1,Cuivre ; en planche,Allemagne,"819,00",Livres,"1,4000000","1146,60","0,00",,,,
11,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,1,Fer blanc,Allemagne,"52 106,00",Livres,"0,7500000","39079,50","0,00",,,,
12,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,1,Gaudron,Allemagne,"200,00",Barils,"33,0000000","6600,00","0,00",,,,
13,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,1,Laine d'Allemagne,Allemagne,"39 662,00",Livres,"1,5000000","59493,00","0,00",,,,
14,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,1,Peaux de taupes,Allemagne,"22 500,00",Nombre,"0,1500000","3375,00","0,00",,,,
15,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,1,Planches de sapin,Allemagne,"1 613,00",Nombre,"1,0000000","1613,00","0,00",,,,
16,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,2,Plomb,Allemagne,"96 298,00",Livres,"0,2500000","2215,00","-21 859,50",erreur de calcul,,,
17,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,2,Plumes ; a ecrire,Allemagne,"32,00",Livres,"0,2500000","8,00","0,00",,,,
18,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,2,Plumes ; a lit,Allemagne,"1 273,00",Livres,"1,2500000","1591,25","0,00",,,,
19,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,2,Toile ; de bazin,Allemagne,"277,00",Pieces,"24,0000000","6648,00","0,00",,,,
20,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,2,Toile ; platille,Allemagne,"3 000,00",Pieces,"5,0000000","15000,00","0,00",,,,
21,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,2,Toile ; a voile,Allemagne,"17 248,00",Livres,"1,2500000","21560,00","0,00",,,,
22,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,2,Verres a boire,Allemagne,"4 807,00",Livres,"1,0000000","4807,00","0,00",,,,
23,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,2,Alun,Dannemarck,"122 511,00",Livres,"0,2000000","24302,20","-200,00",erreur de calcul,,,
24,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,2,Bœuf salé,Dannemarck,"52 125,00",Livres,"0,2500000","13031,25","0,00",,,,
25,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,2,Bois ; anspect,Dannemarck,"312,00",Barres,"0,5000000","156,00","0,00",,,,
26,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,2,Bois ; esparts,Dannemarck,"222,00",Nombre,"0,2000000","44,40","0,00",,,,
27,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,2,Bray et gaudron,Dannemarck,"32,00",Barils,"33,0000000","1056,00","0,00",,,,
28,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,2,Cabillauds,Dannemarck,"35 049,00",Livres,"0,2500000","8762,25","0,00",,,,
29,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,2,Chevrons,Dannemarck,"400,00",Nombre,"3,0000000","1200,00","0,00",,,,
30,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,2,Cuirs de Russie,Dannemarck,"1 025,00",Livres,"1,5000000","1537,50","0,00",,,,
31,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1779.csv,Local,1779,Imports,Nantes,2,Fer en barres,Dannemarck,"33 230,00",Livres,"0,2000000","6646,00","0,00",,,,
