numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,unverified
1,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bœuf salé,Angleterre,11446,barils,21,,,absence de prix,1
2,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bœuf salé,Angleterre,363,tierçons,32,,,absence de prix,1
3,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,beure,Angleterre,456645,livres,"0,28",,,absence de prix,1
4,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,chandelle,Angleterre,15624,livres,"0,45",,,absence de prix,1
5,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,charbon de terre,Angleterre,1123,bariques,"0,55",,,absence de prix,1
6,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,crin de cheval,Angleterre,2103,livres,"0,6",,,absence de prix,1
7,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,cuirs verts en poil,Angleterre,1301,livres,18,,,absence de prix,1
8,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,etaim en bloc,Angleterre,2700,livres,"1,05",,,absence de prix,1
9,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,fromage,Angleterre,56797,livres,"0,12",,,absence de prix,1
10,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,gaudron,Angleterre,325,barils,16,,,absence de prix,1
11,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,laine peignée,Angleterre,3869,livres,"1,4",,,absence de prix,1
12,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,quincaille de fer,Angleterre,15,livres,"1,4",,,absence de prix,1
13,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,saumon salé,Angleterre,23,tierçons,60,,,absence de prix,1
14,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,suif,Flandre,38050,livres,"0,4",,,absence de prix,1
15,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,biere,Flandre,79,bariques,24,,,absence de prix,1
16,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,charbon de terre,Flandre,110,tonneaux,18,,,absence de prix,1
17,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,stocfiche,Hollande,32985,livres,"0,14",,,absence de prix,1
18,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,acier,Hollande,11875,livres,"0,24",,,absence de prix,1
19,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,alun ,Hollande,19600,livres,"0,16",,,absence de prix,1
20,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,amidon,Hollande,46375,livres,"0,2",,,absence de prix,1
21,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,anabas,Hollande,6515,pieces,"1,2",,,absence de prix,1
22,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,ancres de fer,Hollande,24184,livres,"0,3",,,absence de prix,1
23,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,antichiabanis,Hollande,385,pieces,11,,,absence de prix,1
24,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,armes a fer,Hollande,4400,livres,"0,2",,,absence de prix,1
25,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,arsenic,Hollande,425,livres,"0,24",,,absence de prix,1
26,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,azur commun,Hollande,1780,livres,"0,64",,,absence de prix,1
27,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bajutapau,Hollande,55,pieces,22,,,absence de prix,1
28,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,baleine coupée,Hollande,3192,livres,3,,,absence de prix,1
29,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,baleine en fanon,Hollande,1913,livres,"2,5",,,absence de prix,1
30,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,barbançons de terre,Hollande,1130,livres,"0,2",,,absence de prix,1
31,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,barils vuides,Hollande,160,nombre,1,,,absence de prix,1
32,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,barres d'anspects,Hollande,600,nombre,"0,3",,,absence de prix,1
33,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bassins de cuivre,Hollande,25522,livres,"1,1",,,absence de prix,1
34,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,batons de sapin,Hollande,4170,livres,"0,25",,,absence de prix,1
35,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bayette,Hollande,29,pieces,62,,,absence de prix,1
36,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bayette,Hollande,315,aunes,5,,,absence de prix,1
37,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bœuf salé,Hollande,4005,barils,21,,,absence de prix,1
38,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bœuf salé,Hollande,316,tierçons,91,,,absence de prix,1
39,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,beure,Hollande,260222,livres,"0,28",,,absence de prix,1
40,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,biere,Hollande,1090,barriques,25,,,absence de prix,1
41,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,boites de sapin peintes,Hollande,190,livres,"0,15",,,absence de prix,1
42,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bois de brezil,Hollande,61275,livres,"0,15",,,absence de prix,1
43,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bois de caliatour,Hollande,590,livres,"0,28",,,absence de prix,1
44,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bois de campêche en buche,Hollande,160750,livres,"0,15",,,absence de prix,1
45,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bois de campêche rapé,Hollande,3250,livres,"0,19",,,absence de prix,1
46,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,bois de fermnanbourg,Hollande,150,livres,"0,46",,,absence de prix,1
47,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,bois d'inde en buches,Hollande,15750,livres,"0,13",,,absence de prix,1
48,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,bois d'inde rapé,Hollande,7775,livres,"0,15",,,absence de prix,1
49,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,bois de teinture en buches,Hollande,85000,livres,"0,15",,,absence de prix,1
50,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,bois de teinture rapé,Hollande,7600,livres,"0,17",,,absence de prix,1
51,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,boulange,Hollande,350,pieces,8,,,absence de prix,1
52,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,boulets de canon,Hollande,47500,livres,"1,25",,,absence de prix,1
53,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,bouteilles de verre,Hollande,450,livres,"0,09",,,absence de prix,1
54,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,brandins,Hollande,50,pieces,7,,,absence de prix,1
55,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,brenle ?,Hollande,323,pieces,"5,5",,,absence de prix,1
56,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,brosserie,Hollande,3445,livres,1,,,absence de prix,1
57,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,cabilleaux,Hollande,40,barils,30,,,absence de prix,1
58,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,cabilleaux,Hollande,103785,livres,"0,15",,,absence de prix,1
59,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,caffetieres de metail,Hollande,12,livres,"1,5",,,absence de prix,1
60,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,camphre,Hollande,15,livres,11,,,absence de prix,1
61,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,canette,Hollande,3575,livres,5,,,absence de prix,1
62,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,canettes de grez,Hollande,4263,nombre,"0,3",,,absence de prix,1
63,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,canettes de grez,Hollande,3450,livres,"0,07",,,absence de prix,1
64,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,cannes a main,Hollande,47,livres,10,,,absence de prix,1
65,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,canons de fer,Hollande,10535,livres,"0,2",,,absence de prix,1
66,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,caves garnies,Hollande,598,9 flacons,4,,,absence de prix,1
67,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,caves garnies,Hollande,1836,6 flacons,"0,05",,,absence de prix,1
68,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,caves garnies,Hollande,7177,livres,"0,2",,,absence de prix,1
69,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,cauris,Hollande,10000,livres,"0,7",,,absence de prix,1
70,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,ceruze,Hollande,17425,livres,"0,2",,,absence de prix,1
71,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,chaises de commodité,Hollande,75,pieces,6,,,absence de prix,1
72,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,chasselas,Hollande,125,pieces,"1,05",,,absence de prix,1
73,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,chandelle,Hollande,5169,livres,"0,45",,,absence de prix,1
74,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,charbon de terre,Hollande,395,bariques,10,,,absence de prix,1
75,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,chaudieres de fonte,Hollande,1200,livres,"0,12",,,absence de prix,1
76,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,chauffe pieds,Hollande,51,nombre,"0,75",,,absence de prix,1
77,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,chevrons de sapin,Hollande,32,nombre,"0,7",,,absence de prix,1
78,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,chitte,Hollande,150,pieces,30,,,absence de prix,1
79,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,cinabre,Hollande,50,livres,5,,,absence de prix,1
80,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,clous de fer,Hollande,22750,livres,"0,22",,,absence de prix,1
81,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,coffres forts,Hollande,4,nombre,90,,,absence de prix,1
82,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,colle forte,Hollande,4576,livres,"0,4",,,absence de prix,1
83,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,colle de poisson,Hollande,200,livres,"2,5",,,absence de prix,1
84,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,commodes de sapin vernier,Hollande,10,nombre,32,,,absence de prix,1
