"Ville";"Exports_imports";"Partner";"year";"Index_value";"Part_value";"Part_flux"
"Nantes";"Imports";"All";1730;100;0,932837742985593;0,618037135278515
"Nantes";"Imports";"All";1731;110,641045289235;0,942255262484538;0,673024523160763
"Nantes";"Imports";"All";1732;96,401276230561;0,924431919148039;0,660194174757282
"Nantes";"Imports";"All";1733;NA;NA;NA
"Nantes";"Imports";"All";1734;94,9083016254247;0,909095060399394;0,609137055837564
"Nantes";"Imports";"All";1735;90,6439736072034;0,940497519840829;0,695906432748538
"Nantes";"Imports";"All";1736;85,410230285359;0,822842562339922;0,63
"Nantes";"Imports";"All";1737;86,6884771579974;0,772172165687482;0,672268907563025
"Nantes";"Imports";"All";1738;85,4362609552849;0,940237177617185;0,666666666666667
"Nantes";"Imports";"All";1739;92,4848785255029;0,371146743660858;0,613053613053613
"Nantes";"Imports";"All";1740;105,664637403745;0,966298806826941;0,691747572815534
"Nantes";"Imports";"All";1741;99,6400314501584;0,466660901036245;0,618951612903226
"Nantes";"Imports";"All";1742;98,8896659057419;0,499530598914437;0,618348623853211
"Nantes";"Imports";"All";1743;99,0374208608281;0,765385619597593;0,611829944547135
"Nantes";"Imports";"All";1744;101,957642650244;0,768379587593017;0,621621621621622
"Nantes";"Imports";"All";1745;106,778469753137;0,889334464216882;0,640127388535032
"Nantes";"Imports";"All";1746;111,227351252364;0,956899100114531;0,597597597597598
"Nantes";"Imports";"All";1747;NA;NA;NA
"Nantes";"Imports";"All";1748;NA;NA;NA
"Nantes";"Imports";"All";1749;109,634841940755;0,610520582305903;0,645951035781544
"Nantes";"Imports";"All";1750;101,791100749896;0,935952846089561;0,546370967741935
"Nantes";"Imports";"All";1751;NA;NA;NA
"Nantes";"Imports";"All";1752;NA;NA;NA
"Nantes";"Imports";"All";1753;NA;NA;NA
"Nantes";"Imports";"All";1754;NA;NA;NA
"Nantes";"Imports";"All";1755;96,1058917799487;0,956014331409646;0,604868913857678
"Nantes";"Imports";"All";1756;77,2796448710851;0,854300859006039;0,582191780821918
"Nantes";"Imports";"All";1757;NA;NA;NA
"Nantes";"Imports";"All";1758;147,593450447709;0,753579209114221;0,638297872340426
"Nantes";"Imports";"All";1759;98,8306076642798;0,953998293773128;0,6
