Ville;Type;product_simplification;Product_selection
Nantes;Exports;acier;
Nantes;Exports;alibanies;
Nantes;Exports;amandes;
Nantes;Exports;amandes en coque;
Nantes;Exports;anabasse;
Nantes;Exports;ancres de fer;
Nantes;Exports;ardoise;
Nantes;Exports;argenterie;
Nantes;Exports;armes à feu;
Nantes;Exports;armes blanches;
Nantes;Exports;armoisin;
Nantes;Exports;bajutapau;
Nantes;Exports;barres de fer;
Nantes;Exports;bas de fil;1
Nantes;Exports;bas de laine;
Nantes;Exports;bas de soie;1
Nantes;Exports;basin;
Nantes;Exports;bassin de cuivre;
Nantes;Exports;beurre;
Nantes;Exports;bière;
Nantes;Exports;bœuf salé;
Nantes;Exports;bois de gaïac;
Nantes;Exports;bois rouge;
Nantes;Exports;bougie;
Nantes;Exports;bougie blanche;
Nantes;Exports;bouteilles de verre;
Nantes;Exports;brai gras;1
Nantes;Exports;brai sec;1
Nantes;Exports;briques;
Nantes;Exports;cabarets vernis;
Nantes;Exports;cacao;1
Nantes;Exports;café;1
Nantes;Exports;café de Bourbon;
Nantes;Exports;café de Moka;
Nantes;Exports;café des Indes;
Nantes;Exports;caladaris;
Nantes;Exports;cannelle;
Nantes;Exports;carreaux de terre cuite;
Nantes;Exports;cartes à jouer;1
Nantes;Exports;cauris;
Nantes;Exports;caves de 6 flacons;
Nantes;Exports;chaises de paille;
Nantes;Exports;chandelle;
Nantes;Exports;chapeaux à nègre;
Nantes;Exports;chapeaux communs;
Nantes;Exports;chapeaux de castor;
Nantes;Exports;chapeaux de demi-castor;
Nantes;Exports;charbon de terre;1
Nantes;Exports;châtaignes;
Nantes;Exports;chemises garnies;
Nantes;Exports;chitte;
Nantes;Exports;chocolat;
Nantes;Exports;cire jaune;
Nantes;Exports;cirsaca;
Nantes;Exports;citrons confits;
Nantes;Exports;clous de fer;1
Nantes;Exports;confitures;
Nantes;Exports;cordage;
Nantes;Exports;cordage de chanvre;
Nantes;Exports;coton;1
Nantes;Exports;cotonnades;
Nantes;Exports;coupis;
Nantes;Exports;coutil;
Nantes;Exports;couvertures de laine;
Nantes;Exports;crin;
Nantes;Exports;cuirs de bœuf tannés;
Nantes;Exports;cuirs secs en poil;
Nantes;Exports;cuirs tannés de vache;
Nantes;Exports;damas;
Nantes;Exports;dorure fine;
Nantes;Exports;drap;
Nantes;Exports;drap d'Elbeuf;1
Nantes;Exports;drap de Carcassonne;
Nantes;Exports;drap de Languedoc;1
Nantes;Exports;drap de Sedan;1
Nantes;Exports;drogues;
Nantes;Exports;eau-de-vie;1
Nantes;Exports;épicerie;
Nantes;Exports;essieux de fer;
Nantes;Exports;étamine de laine;1
Nantes;Exports;étoffe de soie;
Nantes;Exports;faïence;
Nantes;Exports;farine;
Nantes;Exports;ferrements;
Nantes;Exports;fèves;
Nantes;Exports;fil à coudre;1
Nantes;Exports;fil de coton;
Nantes;Exports;fil de Rennes;
Nantes;Exports;fil pour voile;1
Nantes;Exports;fottes;
Nantes;Exports;fromage;
Nantes;Exports;fromage de Gruyère;
Nantes;Exports;fromage de Hollande;
Nantes;Exports;fruits cuits;
Nantes;Exports;ganivelles;
Nantes;Exports;gants communs;1
Nantes;Exports;gingembre;
Nantes;Exports;gomme du Sénégal;
Nantes;Exports;goudron;
Nantes;Exports;gourgouran;
Nantes;Exports;graine de jardin;
Nantes;Exports;grains froment;1
Nantes;Exports;grains riz;1
Nantes;Exports;grains seigle;
Nantes;Exports;grilles de fer;
Nantes;Exports;guinée;
Nantes;Exports;guinée blanche;
Nantes;Exports;guinée bleue;
Nantes;Exports;hamacs;
Nantes;Exports;harengs blancs;1
Nantes;Exports;huile d'olive;1
Nantes;Exports;huile de graine;
Nantes;Exports;huile de lin;
Nantes;Exports;huile de noix;
Nantes;Exports;huile de poisson;
Nantes;Exports;indienne;
Nantes;Exports;indigo;1
Nantes;Exports;jambon;
Nantes;Exports;lamproies;
Nantes;Exports;lard;
Nantes;Exports;lattes;
Nantes;Exports;librairie;
Nantes;Exports;liège en bouchons;
Nantes;Exports;lignes à pêcher;
Nantes;Exports;limeneas;
Nantes;Exports;marmites de fer;
Nantes;Exports;marmites en fer;
Nantes;Exports;mercerie;
Nantes;Exports;meules à aiguiser;
Nantes;Exports;miel;1
Nantes;Exports;morue sèche;1
Nantes;Exports;mouchoirs de Bengale;
Nantes;Exports;mouchoirs de Cholet;
Nantes;Exports;mouchoirs de Pondichéry;
Nantes;Exports;mouchoirs des Indes;
Nantes;Exports;mouchoirs peints;
Nantes;Exports;mousseline;
Nantes;Exports;Nankin;
Nantes;Exports;neganepeau;
Nantes;Exports;nicanéas;
Nantes;Exports;noix;
Nantes;Exports;ocre;
Nantes;Exports;ouvrages d'étain;
Nantes;Exports;ouvrages de corail;
Nantes;Exports;ouvrages de cuivre;
Nantes;Exports;ouvrages de fer;1
Nantes;Exports;papier;
Nantes;Exports;papier à écrire;
Nantes;Exports;papier blanc;
Nantes;Exports;peaux apprêtées de mouton;
Nantes;Exports;peaux corroyées de veau;
Nantes;Exports;peintures;
Nantes;Exports;Pékin;
Nantes;Exports;pierres à fusils;
Nantes;Exports;pierres de grison;
Nantes;Exports;pipes à fumer;1
Nantes;Exports;planches de sapin;
Nantes;Exports;platille;
Nantes;Exports;plomb en grenaille;
Nantes;Exports;plomb en rouleau;
Nantes;Exports;plomb en saumon;
Nantes;Exports;plumes à lit;
Nantes;Exports;poids de fer;
Nantes;Exports;poivre;
Nantes;Exports;porcelaine;
Nantes;Exports;porcelaine des Indes;
Nantes;Exports;porcs salés;
Nantes;Exports;poudre à poudrer;
Nantes;Exports;pruneaux;
Nantes;Exports;pruneaux communs;
Nantes;Exports;pruneaux d'Amont;
Nantes;Exports;pruneaux de Sainte-Catherine;
Nantes;Exports;prunes;
Nantes;Exports;prunes de Sainte-Catherine;
Nantes;Exports;quincaillerie;
Nantes;Exports;raisin sec;1
Nantes;Exports;rassades;
Nantes;Exports;rhubarbe;
Nantes;Exports;rocou;
Nantes;Exports;ruban de soie;
Nantes;Exports;safran;1
Nantes;Exports;salemporis;
Nantes;Exports;satin;
Nantes;Exports;savon;1
Nantes;Exports;sel;1
Nantes;Exports;sel de Bourgneuf;1
Nantes;Exports;sel du Croisic;1
