marchandises_simplification,sitc18_rev3,imprimatur,status,beforeitems,afteritems,obsolete,urgent
? Licances,???,,ambiguous,,[...Licanes],yes,
???,???,,ambiguous,"[?] [? ; blanc] [? ; brun] [? ; diverses] [??] [?? (le douzaine)] [???] [Etc.] [G,,,?] [Origine Inconnue] [Nom flou] [Non indiqué]",[Not a product] [Drogues ; Medecinales en plantes ; ***] [?] [??] [???] [Etc.] [Origine Inconnue] [Nom flou] [Non indiqué] [??? Ferre en carte],yes,1
??? blanc,???,,ambiguous,,[? ; blanc],no,1
??? brun,???,,,,,no,
??? d'Anjou et de Touraine,???,,new,,,no,
??? d'une valeur moindre de deux mille francs chacun,???,,ambiguous,,"[D'une valeur moindre de 2 000 Fr chacun] [D'une valeur moindre de 2 000 chacun] [D'une valeur moindre de 2 000 francs chacun] [D'une valeur moindre de 2,000 fr chacun] [D'une valeur moindre de 2,000 fr. chacun] [D'une valeur moindre de 2,000 francs chacun] [D'une valeur moindre de 2000 fr chacun] [D'une valeur moindre de 2000 francs chacun]",no,1
??? des ci-devant provinces d'Alsace,???,,new,,,no,
??? des ci-devant provinces de Bourgogne,???,,new,,,no,
??? des ci-devant provinces de Provence,???,,new,,,no,
??? des ci-devant provinces du Languedoc,???,,new,,,no,
??? diverses,???,,ambiguous,,[? ; diverses],no,
??? douzaines de,???,,new,,,yes,
??? et lancespiquets,???,,new,,,yes,
??? la douzaine,???,,ambiguous,,[?? (le douzaine)],yes,
??? lin,???,,ambiguous,,[P.N. lin],yes,
??? Tanabare,???,,ambiguous,[Tanabare [?]],[Tanabare [?]],no,
????,???,,,,,no,
???? particulièrement en cheval,???,,ambiguous,,[Particulièrement en chevaux],no,
abaci,8,,existing,,,yes,
abafine,???,,new,,,no,
abassis,8,,new,,,no,
abats,0a,,new,,,no,
abattis de morue,0a,,new,,,no,
abricots confits,0a,,new,,,no,
absinthe,1,,new,,,no,
acacia,6,,ambiguous,,[Acacia] [Accacia] [Agacia] [acacia],no,
acacia ; germanica,2,,existing,,,yes,
acacia germanica,2,,ambiguous,,[Acacia ; germanica],no,
acétates de plomb,5,,new,,,no,
achia,0b,,ambiguous,[Achia],[Akia ; espèce de salade] [Akia] [Achia],no,
acide vitrioliques et huile de vitriol,5,,new,,,no,
acier,6j,,ambiguous,[Acier] [Aciers] [Assié] [acier],[Fers ; aciers] [Fers aciers] [Acier] [Aciers] [Assié] [acier],no,
acier ; brun,6j,,existing,,,yes,
acier ; en barre,6j,,existing,,,yes,
acier ; ouvré,6j,,existing,,,yes,
acier brun,6j,,ambiguous,,[Acier brun],no,
acier brut,6j,,new,,,no,
acier de fer,6j,,ambiguous,,[Fers en acier],no,
acier et clous,6j,,new,,,yes,
acier et fer,6j,,ambiguous,,[Fer et acier] [Fers et aciers] [Métaux ;Fers et aciers] [///Métaux///Fers et aciers] [Fers divers et aciers] [Fers divers et Acier] [Fers divers et acier],no,
acon démonté,7,,existing,,,yes,
acons,7,,ambiguous,,[Acon],no,
acons démontés,7,,new,,,no,
acons démontés en gabare,7,,ambiguous,,[Acons ; en gabares ; démontés] [Acons gabares démontés],no,
acorus,2,,ambiguous,[Accorus] [Acore (herbe)] [Acorus],[Accorus] [Acore (herbe)] [Acorus],no,
acuirson,???,,ambiguous,[Acuirson],[Acuirson],no,
acume de cuivre,6j,,new,,,no,
affût de canon,8,,existing,,,yes,
affût de fusil,8,,existing,,,yes,
affûts de canons,8,,ambiguous,,[Affuts ; de canon] [Affuts de canon] [Affût de canon] [Affuts de canons],no,
affûts de fusils,8,,ambiguous,,[Affuts ; de fusils],no,
affûts de fûts à canons,8,,ambiguous,,[Afust de fut a canon],no,
agaric,5,,ambiguous,,[Agaric] [Agaric brut et préparé] [Agarie] [agaric] [agarics],no,
agaric et amadouvier,5,,new,,,no,
agaric gros,5,,ambiguous,,[Drogues ; médecinales ; agaric ; gros],no,
agate,6k,,ambiguous,,[Agathe],no,
agate fine,6k,,ambiguous,,[agates fins],yes,
agate montée,6k,,new,,,yes,
agneau,0a,,existing,,,yes,
agneaux,0a,,ambiguous,,[Bestiaux ; agneaux] [Bestiaux ; en agneaux] [Bestiaux en agneaux] [Agneaux] [Bestiaux divers; Agneaux] [Bestiaux et bêtes ; de somme ; agneaux] [Bestiaux; Agneaux],no,
agneaux et cabris,0a,,new,,,yes,
agnelines et crottelins,0a,,ambiguous,,[agnelines et crottelins],yes,
agoutals,6b,,ambiguous,,[Agoutals] [agoutats],no,
agoutals de bois,6b,,ambiguous,,[Agoutals de bois] [agourats de bois],no,
agrément,8,,ambiguous,[Agremens] [Agrements] [Agrémens] [Agréments],[Agremens] [Agrements] [Agrémens] [Agréments],no,
agrément ; au quart,8,,existing,,,yes,
agrément ; d'argent,8,,existing,,,yes,
agrément ; d'or et d'argent,8,,existing,,,yes,
agrément ; de fil,8,,existing,,,yes,
agrément ; de fleur,8,,existing,,,yes,
agrément ; de soie,8,,existing,,,yes,
agrément ; de soie et d'argent,8,,existing,,,yes,
agrément ; de soie et fil,8,,existing,,,yes,
agrément ; de soie or et argent ; faux,8,,existing,,,yes,
agrément au quart,8,,ambiguous,,[Agrémens ; au quart] [Agrement ; au quart] [Agrémens ; auquart],no,
agrément d'argent,8,,ambiguous,,[Agrémens; d'argent] [Agrément ; d'argent],no,
agrément d'or,8,,ambiguous,,[Agrements ; d'or],no,
agrément d'or et d'argent,8,,ambiguous,,[Agremens ; or et argent] [Agrements ; or et argent] [Agrémens ; or et argent] [Agréments ; or et arg],no,
agrément de fil,8,,ambiguous,,[Agrements ; de fil] [Agrémens ; de fil] [Agrémens; de fil] [Agrément ; de fil] [Agrements de fil],no,
agrément de fil et de soie,8,,,,,no,
agrément de fleur,8,,ambiguous,,[Agrémens ; de fleurs],no,
agrément de soie,8,,ambiguous,,[Agremens ; de soye] [Agremens; de soye] [Agrement ; de soye] [Agrement de Soye] [Agrements ; de soye] [Agrémens ; de soye] [Agrément ; de soye] [Agréments ; de soye] [Agréments de soye] [Agrements de soye] [Agremens de soye],no,
agrément de soie et d'argent,8,,ambiguous,,[Agremens ; de soye et d'argent],no,
agrément de soie et fil,8,,ambiguous,,[Agremens ; de soye et fil],no,
agrément de soie or et argent faux,8,,ambiguous,,[Agremens ; de soye or et argent faux],no,
agrès,6h,,ambiguous,[Agrets],[Agrets],no,
agrès de navire,6h,,ambiguous,,[Agrais ; de navires] [Agrès ; de navire] [Agrès de navires] [Agrés ; de navire] [Agrès de navire] [Agrès de vaisseaux],no,
agrès de navire en voile,6h,,ambiguous,,[Agrès ; de navire ; en voiles],no,
agrès de navire et jeux de voile,6h,,new,,,no,
agrès et apparaux,6h,,new,,,no,
agrès et voiles de navire,6h,,,,,no,
aigle,0a,,existing,,,yes,
aiglefin,0a,,existing,,,yes,
aiglefin séché,0a,,new,,,yes,
aigre de cidre,5,,new,,,no,
aigre de vitriol,5,,ambiguous,,[Aigre ; de vitriol] [Aigre de vitriol],no,
aigrette,8,,existing,,,yes,
aigrette ; de fil ; d'or et d'argent,8,,existing,,,yes,
aigrettes,8,,ambiguous,,[Aigrettes] [Egrettes],no,
aigrettes de fil d'or et d'argent,8,,ambiguous,,[Egrettes de fil or et argent],no,
aigrettes de soie,8,,new,,,no,
aigrettes de soie et argent,8,,new,,,no,
aigrettes et bavolets,0a,,new,,,no,
aiguières d'étain,6j,,new,,,no,
aiguille,6j,,ambiguous,[Aiguiles] [Aiguille] [Aiguiller] [Aiguilles] [Eguilles] [aiguilles],[Aiguiles] [Aiguille] [Aiguiller] [Aiguilles] [Eguilles] [aiguilles],no,
aiguille ; à coudre,6j,,existing,,,yes,
aiguille ; à tabac,6j,,existing,,,yes,
aiguille ; à toile,6j,,existing,,,yes,
aiguille ; d'emballage,6j,,existing,,,yes,
aiguille epars de sapin,6j,,existing,,,yes,
aiguilles,6j,,ambiguous,,[Mercerie ; en aiguilles] [Mercerie ; fine ; aiguilles] [Merceries ; Fines ; Aiguilles],no,
aiguilles à boîte,6j,,ambiguous,,[eguille a boite],yes,
aiguilles à boîtes,6j,,,,,,
aiguilles à coudre,6j,,ambiguous,,[Mercerie ; en aiguilles ; à coudre] [Merceries ; aiguilles ; à coudre] [Mercerie ; aiguilles ; à coudre] [Mercerie ; Fine ; Aiguille à coudre] [Merceries ; Fines ; Aiguilles à coudre] [Aiguille A coudre] [Aiguille a coude] [Aiguille a coudre] [Aiguille à coudre] [Aiguilles ; a coudre] [Aiguilles ; à coudre] [Aiguilles A coudres] [Aiguilles a coudre] [Aiguilles a coudres] [Aiguilles à coudre],no,
aiguilles à ralingue,6j,,new,,,no,
aiguilles à tabac,6j,,ambiguous,,[Eguilles à tabac],no,
aiguilles à toile,6j,,ambiguous,,[Aiguille A Toile],no,
aiguilles à voile,6j,,new,,,no,
aiguilles d'emballage,6j,,ambiguous,,[Eguilles d'emballage] [aiguilles d'embaleur],no,
aiguilles epars de sapin,2,,ambiguous,,[eguilles Epars de Sapin],no,
aiguilles et épingles,6j,,new,,,no,
aiguilles grosses,6j,,new,,,no,
ail,0a,,existing,,,yes,
ail blanc à casser,0a,,existing,,,yes,
ailes,6h,,ambiguous,,[Ailer] [Ailes] [ailles],no,
ailes de fléaux,6h,,new,,,yes,
ailes de moulins,6h,,new,,,yes,
ailor,0a,,ambiguous,,[Ailor],no,
ails,0a,,ambiguous,,[Ails] [Aulx] [ails] [aulx] [Ail],no,
ails à fauches,???,,ambiguous,,[aux à fauxhes],no,
ails blancs à casser,0a,,ambiguous,,[ail blanc à casé],no,
aimant,6j,,new,,,no,
ain à pêcher,8,,existing,,,yes,
ains à pêcher,8,,ambiguous,,[ains a pecher] [Ains à pescher] [Ains a pêcher] [Ains ; à pescher] [Ains ; a pêcher] [Ains a percher] [Ains à pêcher] [Ains à pecher] [Ains a pecher],no,
ains et lignes à pêcher,8,,new,,,no,
airain,6j,,ambiguous,[Airain] [Airain ; non ouvré],[Airain],no,
airain ; en batterie,6j,,existing,,,yes,
airain ; ouvré,6j,,existing,,,yes,
airain non ouvré,6j,,ambiguous,,[Airain ; non ouvré],no,
ajami,6g,,existing,,,yes,
ajustement,8,,existing,,,yes,
ajustement ; de femme,8,,existing,,,yes,
ajustements,8,,ambiguous,,[Ajustemens] [Ajustement] [Ajustements],no,
ajustements de femme,8,,ambiguous,,[Ajustement ; de femme] [Ajustements ; de femme] [Ajustements de femmes],no,
ajustements de soie,8,,new,,,no,
alambic,6k,,existing,,,yes,
