ÊÈCode","Description"
"0","Produits alimentaires et animaux vivants"
"2","Matières brutes non comestibles, à l'exception des carburants"
"24","Liege et bois"
"244","Liege naturel brut et dechets (y compris le liege naturel en blocs ou en feuilles)"
"244.0","Liège naturel brut et déchets (y compris le liège naturel en blocs ou en feuilles)"
"244.02","Liège naturel, écroûté ou simplement équarri, ou en cubes, plaques, feuilles ou bandes de forme carrée ou rectangulaire, y compris les ébauches à arêtes vives pour bouchons"
"244.03","Liège naturel brut ou simplement préparé"
"244.04","Déchets de liège; liège concassé, granulé ou pulvérisé"
"245","Bois de chauffage (a l'exclusion des dechets de bois) et charbon de bois"
"245.0","Bois de chauffage (à l'exclusion des déchets de bois) et charbon de bois"
"245.01","Bois de chauffage en rondins, bûches, ramilles, fagots ou sous formes similaires (à l'exclusion des déchets de bois)"
"245.02","Charbon de bois (y compris le charbon de coques ou de noix), même aggloméré"
"246","Bois en plaquettes ou en particules et dechets de bois"
"246.1","Bois en plaquettes ou particules"
"246.11","Bois en copeaux ou particules, de conifères"
"246.15","Bois en copeaux ou particules, autres que de conifères"
"246.2","Sciure, déchets et débris de bois, même agglomérés en rondins, briquettes, boulettes ou formes similaires"
"247","Bois bruts ou equarris"
"247.3","Bois bruts (même écorcés ou désaubiérés) ou équarris, traités à la peinture, à la teinture ou avec d'autres agents de conservation"
"247.4","Bois de conifères, bruts (même écorcés ou désaubiérés) ou simplement équarris, mais non traités à la peinture, à la teinture ou avec d'autres agents de conservation"
"247.5","Bois autres que de conifères, bruts (même écorcés ou désaubiérés) ou équarris, mais non traités à la peinture, à la teinture ou avec d'autres agents de conservation"
"247.51","Bois des essences tropicales ci-après :"
"247.52","Bois d'autres espèces non conifères, bruts (même écorcés ou désaubiérés) ou simplement équarris, mais non traités à la peinture, à la teinture ou au moyen d'autres agents de conservation"
"248","Bois simplement travailles; et traverses en bois pour voies ferrees"
"248.1","Traverses en bois pour voies ferrées ou similaires"
"248.11","Traverses en bois pour voies ferrées ou similaires, non imprégnées"
"248.19","Traverses en bois pour voies ferrées ou similaires, imprégnées"
"248.2","Bois de conifères, sciés ou désossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par jointure digitale, d'une épaisseur excédant 6 mm"
"248.3","Bois de conifères (y compris les lames et frises à parquets non assemblées), profilés (languetés, rainés, bouvetés, feuillurés, chanfreinés, joints en V, moulurés, arrondis ou similaires) tout au long d'une ou plusieurs rives ou faces, même rabotés, poncés ou collés par jointure digitale"
"248.4","Bois autres que de conifères, sciés ou désossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par jointure digitale, d'une épaisseur excédant 6 mm"
"248.5","Bois autres que de conifères (y compris les lames et frises pour parquets non assemblées), profilés (languetés, rainés, bouvetés, feuillurés, chanfreinés, joints en V, moulurés, arrondis ou similaires) tout au long d'une ou plusieurs rives ou faces, même rabotés, poncés ou collés par jointure digitale"
"25","Pates a papier et dechets de papier"
"251","Pates a papier et dechets de papier"
"251.1","Déchets et rebuts de papier ou de carton"
"251.11","Déchets et rebuts de papiers ou cartons kraft écrus, ou de papiers ou cartons ondulés"
"251.12","Déchets et rebuts d'autres papiers ou cartons, obtenus principalement à partir de pâte chimique blanchie, non colorés dans la masse"
"251.13","Déchets et rebuts de papiers ou cartons obtenus principalement à partir de pâte mécanique (journaux, périodiques et imprimés similaires, p. Ex.)"
"251.19","Autres déchets et rebuts de papiers ou de cartons (y compris les déchets et rebuts non triés)"
"251.2","Pâtes mécaniques de bois"
"251.3","Pâtes chimiques de bois, à dissoudre"
"251.4","Pâtes chimiques de bpos, à la soude ou au sulfate, autres que les pâtes à dissoudre, écrues"
"251.41","Pâtes chimiques de bois, à la soude ou au sulfate, autres que les pâtes à dissoudre, non blanchies, de conifères"
"251.42","Pâtes chimiques de bois, à la soude ou au sulfate, autres que les pâtes à dissoudre, non blanchies, d'essences non conifères"
"251.5","Pâtes chimiques de bois, à la soude ou au sulfate, mi-blanchies ou blanchies (autre que les pâtes à dissoudre)"
"251.51","Pâtes chimiques de bois, à la soude ou au sulfate, mi-blanchies ou blanchies (autres que les pâtes à dissoudre), de conifères"
"251.52","Pâtes de bois chimiques, à la soude ou au sulfate, mi-blanchies ou blanchies (autres que les pâtes à dissoudre), d'essences non conifères"
"251.6","Pâtes chimiques de bois, au bisulfite (autres que les pâtes à dissoudre)"
"251.61","Pâtes de bois chimiques au bisulfite, autres que les pâtes à dissoudre, non blanchies"
"251.62","Pâtes de bois chimiques au bisulfite, autres que les pâtes à dissoudre, mi-blanchies ou blanchies"
"251.9","Pâtes mi-chimiques de bois et pâtes d'autres matières fibreuses cellulosiques"
"251.91","Pâtes de bois mi-chimiques"
"251.92","Pâtes d'autres matières fibreuses cellulosiques"
"26","Fibres textiles (a l'exception des laines en ruban (tops) et autres laines peignees) et leurs dechets (non transformes en fils ou en tissus)"
"261","Soie"
"261.3","Soies grèges (non moulinées)"
"261.4","Cocons de ver à soie et déchets de soie"
"261.41","Cocons de vers à soie propres au dévidage"
"261.42","Déchets de soie (y compris les cocons de vers à soie non dévidables, les déchets de fils et les effilochés), non cardés ni peignés"
"261.49","Autres déchets de soie"
"263","Coton"
"263.1","Coton (à l'exclusion des linters), non cardé ni peigné"
"263.2","Linters de coton"
"263.3","Déchets de coton (y compris les décets de fils et les effilochés)"
"263.31","Déchets de fils de coton"
"263.32","Effilochés de coton, non cardés ni peignés"
"263.39","Déchets de coton (compris les chiffons effilochés), non cardés ni peignés"
"263.4","Coton, cardé ou peigné"
"264","Jute et autres fibres textiles liberiennes, n.d.a., bruts, decortiques ou autrement traites, mais non files; etoupes et dechets de ces fibres (y compris les dechets de fils et les effiloches)"
"264.1","Jute et autres fibres textiles libériennes, bruts ou rouis"
"264.9","Jute et autres fibres textiles libériennes, autres que bruts ou rouis, décortiqués ou autrement traités, mais non filés; étoupes et déchets de ces fibres (y compris les déchets de fibres et les effilochés)"
"265","Fibres textiles vegetales (autres que le coton ou le jute), brutes ou travaillees, mais non filees; dechets de ces fibres"
"265.1","Lin brut ou travaillé, mais non filé; étoupes et déchets de lin (y compris les déchets de fils et les effilochés)"
"265.11","Lin, brut ou roui"
"265.12","Lin brisé, teillé, peigné ou autrement travaillé, mais non filé"
"265.13","Etoupes et déchets de lin (y compris les déchets de fils et les effilochés)"
"265.2","Chanvre )Cannabis sativa L.) brut ou travaillé, mais non filé; étoupes et déchets de chanvre (y compris les déchets de fils et les effilochés)"
"265.21","Chanvre (Cannabis sativa L.), brut ou roui"
"265.29","Chanvre (Cannabis sativa L.), travaillé, mais non filé; étoupes et déchets de chanvre (y compris les déchets de fils et les effilochés)"
"265.4","Sisal et autres fibres textiles du genre Agave, bruts ou travaillés, mais non filés; étoupes et déchets de ces fibres (y compris les déchets de fils et les effilochés)"
"265.41","Sisal et autres fibres de la famille des agaves, bruts"
"265.49","Sisal et autres textiles du genre agave, travaillés mais non filés; étoupes et déchets de ces fibres (y compris les déchets de fils et les effilochés)"
"265.5","Abaca (chanvre de Manille ou Musa textilis nee), brut ou travaillé, mais non filé; étoupes et déches de chanvre de Manille (y compris les déchets de fils et les effilochés)"
"265.51","Abaca (chanvre de Manille ou Musa textilis Née), brut"
"265.59","Abaca (chanvre de Manille ou Musa textilis Née), travaillé mais non filé; étoupes et déchets d'abaca (y compris les déchets de fils et les effilochés)"
"265.7","Fibres de coco (coir) et déchets de ces fibres (y compris les déchets de fils et les effilochés)"
"265.71","Fibres de coco (coir), brutes"
"265.79","Fibres de coco (coir), travaillées mais non filées; étoupes et déchets de ces fibres (y compris les déchets de fils et les effilochés)"
"265.8","Autres fibres textiles végétales, n.d.a., brutes ou travaillées, mais non filées; déchets de ces fibres (y compris les déchets de fils et les effilochés)"
"265.81","Fibres textiles végétales, n.d.a., brutes"
"265.89","Fibres textiles végétales, n.d.a., autres que brutes, travaillées mais non filées; étoupes et déchets de ces fibres (y compris les déchets de fils et les effilochés)"
"266","Fibres synthetiques de longueur suffisante pour pouvoir etre filees"
"266.5","Fibres synthétiques discontinues, non cardées ni peignées ni autrement transformées pour la filature"
"266.51","Fibres synthétiques discontinues, non cardées ni peignées, ni autrement transformées pour la filature, de nylon ou d'autres polyamides"
"266.52","Fibres textiles synthétiques discontinues de polyesters, non cardées ni peignées, ni autrement transformées pour la filature"
"266.53","Fibres synthétiques acryliques ou modacryliques discontinues, non cardées ni peignées ni autrement transformées pour la filature"
"266.59","Fibres synthétiques discontinues, n.d.a., non transformées pour la filature"
"266.6","Câbles de filaments synthétiques"
"266.61","Câbles de filaments synthétiques de nylon ou d'autres polyamides"
"266.62","Câbles de filaments synthétiques de polyesters"
"266.63","Câbles de filaments synthétiques acryliques ou modacryliques"
"266.69","Câbles de filaments synthétiques, n.d.a."
"266.7","Fibres synthétiques discontinues, cardées, peignées ou autrement transformées pour la filature"
"266.71","Fibres synthétiques discontinues de nylon ou d'autres polyamides, cardées, peignées ou autrement transformées pour la filature"
"266.72","Fibres synthétiques discontinues de polyesters, cardées, peignées ou autrement transformées pour la filature"
"266.73","Fibres synthétiques discontinues, acryliques ou modacryliques, cardées, peignées ou autrement transformées pour la filature"
"266.79","Fibres synthétiques discontinues transformées pour la filature, n.d.a."
"267","Autres fibres textiles synthetiques et artificielles de longueur suffisante pour pouvoir etre filees et dechets de fibres textiles synthetiques et artificielles"
"267.1","Fibres textiles artificielles de longueur suffisante pour pouvoir être filées"
"267.11","Fibres artificielles discontinues, non cardées ni peignées ni autrement transformées pour la filature"
"267.12","Câbles de filaments artificiels"
"267.13","Fibres artificielles discontinues, cardées, peignées ou autrement transformées pour la filature"
"267.2","Déchets de fibres synthétiques ou artificielles (y compris les blousses, les déchets de fils et les effilochés)"
"267.21","Déchets de fibres synthétiques (y compris les blousses, les déchets de fils et les effilochés)"
"267.22","Déchets de fibres artificielles (y compris les blousses, les déchets de fils et les effilochés)"
"268","Laines et autres poils (y compris les rubans de laine)"
"268.1","Laines en suint (y compris les laines lavées à dos)"
"268.11","Laines de tonte, en suint"
"268.19","Autres laines en suint"
"268.2","Autres laines non cardées ni peignées"
"268.21","Autres laines, dégraissées, non carbonisées, non cardées ni peignées"
"268.29","Autres laines carbonisées, non cardées ni peignées"
"268.3","Poils fins, non cardés ni peignés"
"268.5","Crins et autres poils grossiers, non cardés ni peignés"
"268.51","Crins et déchets de crins, même en nappes, avec ou sans supports en d'autres matières"
"268.59","Autres poils grossiers, non cardés ni peignés"
"268.6","Déchets de laine et de poils fins ou grossiers, autres que les crins (y compris les déchets de fils, et les effilochés)"
"268.62","Effilochés de laine ou de poils fins ou grossiers"
"268.63","Blousses de laine ou de poils fins, non effilochées"
"268.69","Autres déchets de laine ou de poils fins ou grossiers (autres que de crins)"
"268.7","Laines ou atures poils fins ou grossiers, cardés ou peignés"
"268.71","Laines cardées; laines peignées en fragments"
"268.73","Rubans de laine enroulés en boules (tops) et autres laines peignées"
"268.77","Poils fins ou grossiers, cardés ou peignés"
"269","Friperie, drilles et chiffons"
"269.0","Friperie, drilles et chiffons"
"269.01","Articles et accessoires d'habillement, couvertures, linge de maison et articles d'ameublement (autres que les articles du No 658.91, du groupe 659 et du groupe 821), en matières textiles; chaussures et coiffures en matières autres que l'amiante, portant des traces appréciables d'usage et présentées en vrac ou en balles, sacs ou conditionnements similaires"
"269.02","Chiffons, ficelles, cordes et cordages, en matières textiles, sous forme de déchets ou d'articles hors d'usage"
"27","Engrais bruts, autres que ceux de la division 56, et mineraux bruts (a l'exclusion du charbon, du petrole et des pierres precieuses)"
"272","Engrais bruts, autres que ceux de la division 56"
"272.1","Engrais d'origine animale ou végétale, même mélangés entre eux ou traités chimiquement; engrais résultant du mélange ou du traitement chimique de produits d'origine animale ou végétale"
"272.2","Nitrate de sodium"
"272.3","Phosphates de calcium naturels, phosphates alumino-calciques naturels et craies phosphatées"
"272.31","Phosphates naturels de calcium, phosphates alumino-calciques naturels et craies phosphatées"
"272.32","Phosphates de calcium naturels, phosphates alumino-calciques naturels et craies phosphatées, concassés"
"272.4","Carnallite, sylvinite et autres sels de potassium naturels bruts"
"273","Pierres, sables et graviers"
"273.1","Pierres de taille et de construction (pierre d'échantillon), dégrossies ou simplement débitées par sciage ou autrement, en blocs ou en dalles de forme carrée ou rectangulaire"
"273.11","Ardoises, même dégrossies ou simplement débitées par sciage ou autrement, en blocs ou en dalles de forme carrée ou rectangulaire"
"273.12","Marbres, travertins, écaussines et autres pierres calcaires de taille ou de construction, d'une densité apparente égale ou supérieure à 2,5, et albâtre, même dégrossis ou simplement débités par sciage ou autrement en blocs, plaques ou dalles de forme carrée ou rectangulaire"
"273.13","Granit, porphyre, basalte, grès et autres pierres de taille ou de construction, n.d.a., même dégrossis ou simplement débités par sciage ou autrement en blocs, plaques ou dalles de forme carrée ou rectangulaire"
"273.2","Gypse, plâtres, castines et pierres à chaux ou à ciment"
"273.22","Castines et pierres à chaux ou à ciment"
"273.23","Gypse et anhydrite"
"273.24","Plâtre, même colorés ou additionnés de faibles quantités d'accélérateurs ou de retardateurs (y compris les plâtres spécialement préparés pour l'art dentaire)"
"273.3","Sables naturels de toutes espèces, même colorés (à l'exclusion des sables métallifères de la division 28)"
"273.31","Sables siliceux et sables quartzeux"
"273.39","Autres sables"
"273.4","Cailloux, graviers, pierres concassées, des types généralement utilisés pour le bétonnage ou pour l'empierrement des routes, des voies ferrées ou autres ballasts; galets et silex, même traités thermiquement; macadam de laitier, de scories ou de déchets industriels similaires, même comprenant des matières reprises dans la première partie du libellé; tarmacadam; granules, éclats et poudres de pierres des Nos 273.12 ou 273.13, même traités thermiquement"
"274","Soufre et pyrites de fer non grillees"
"274.1","Soufres de toute espèce (à l'éxclusion du soufre sublimé, du soufre précipité et du soufre colloïdal)"
"274.11","Soufre brut ou non raffiné"
"274.19","Soufre (sauf brut ou non raffiné), autre que sublimé, précipité ou colloïdal"
"274.2","Pyrites de fer non grillées"
"277","Abrasifs naturels, n.d.a. (y compris les diamants industriels)"
"277.1","Diamants industriels triés, même travaillés"
"277.11","Diamants industriels, bruts ou simplement sciés, clivés ou débrutés"
"277.19","Diamants industriels autrement travaillés"
"277.2","Abrasifs naturels, n.d.a."
"277.21","Egrisés et poudres de pierres gemmes ou de pierres synthétiques"
"277.22","Pierre ponce; émeri; corindon naturel, grenat naturel et autres abrasifs naturels, bruts ou en morceaux irréguliers, y compris la pierre ponce concassée (graviers de pierre ponce ou ""bimskies"")"
"277.29","Pierre ponce; émeri; corindon naturel, grenat naturel et autres abrasifs naturels, autres que bruts, même traités thermiquement"
"278","Autres mineraux bruts"
"278.2","Argiles et autres minéraux réfractaires, n.d.a."
"278.22","Graphite naturel"
"278.23","Dolomie, même frittée ou calcinée; dolomie dégrossie ou simplement débitée, par sciage ou autrement, en blocs, plaques ou dalles de forme carrée ou rectangulaire; pisé de dolomie"
"278.24","Carbonate de magnésium naturel (magnésite)"
"278.25","Magnésie électrofondue; magnésie calcinée à mort (frittée); autres oxydes de magnésium, même purs"
"278.26","Kaolin et autres argiles kaoliniques, même calcinés"
"278.27","Bentonite, même calcinée"
"278.29","Autres argiles, à l'exclusion des argiles expansées du sous-groupe 663.5; andalousite, cyanite, sillimanite, même calcinées; mullite; terres de chamotte ou de dinas"
"278.3","Chlorure de sodium pur et sel commun (y compris le sel préparé pour la table et le sel dénaturé), même en solution aqueuse ou additionnés d'hydrofuges; eau de mer"
"278.4","Amiante (asbeste)"
"278.5","Quartz, mica, feldspath, spath fluor, cryolite et chiolite"
"278.51","Quartz (autres que les sables naturels); quartzites, même dégrossis ou simplement débités par sciage ou autrement, en blocs ou en plaques de forme carrée ou rectangulaire"
"278.52","Mica (y compris le mica clivé en lamelles irrégulières (""splittings"")); déchets de mica"
"278.53","Feldspath; leucite; néphéline et néphéline syénite"
"278.54","Spath fluor"
"278.55","Cryolite et chiolite naturelles"
"278.6","Scories, laitiers, battitures et autres déchets similaires, n.d.a."
"278.61","Laitier granulé (sable-laitier) provenant de la fabrication du fer ou de l'acier"
"278.62","Scories, laitiers (autres que le laitier granulé), battitures et autres déchets de la fabrication du fer ou de l'acier"
"278.69","Scories et cendres, n.d.a., y compris les cendres de varech"
"278.9","Minéraux bruts, n.d.a."
"278.91","Craie"
"278.92","Sulfates de baryum naturels (barytines); carbonate de baryum naturel (withérite), même calciné (à l'exclusion de l'oxyde de baryum du No 522.65)"
"278.93","Stéatite naturelle, même dégrossie ou simplement débitée, par sciage ou autrement, en blocs ou en plaques de forme carrée ou rectangulaire; talc"
"278.94","Borates naturels et leurs concentrés (calcinés ou non), à l'exclusion des borates extraits des saumures naturelles; acide borique naturel titrant au maximum 85 % de BO3H3 sur produit sec"
"278.95","Farines siliceuses fossiles (kieselguhr, tripolite et diatomite p. Ex.) Et autres terres siliceuses analogues, d'une densité apparente n'excédant pas 1, même calcinées"
"278.96","Schistes et sables bitumineux"
"278.97","Bitumes et asphaltes naturels, asphaltites et roches asphaltiques"
"278.98","Vermiculite, perlite et chlorites, non expansés"
"278.99","Matières minérales, n.d.a."
"28","Minerais metalliferes et dechets de metaux"
"281","Minerais de fer et leurs concentres"
"281.4","Pyrites de fer grillées (cendres de pyrite), même agglomérées"
"281.5","Minerais de fer et leurs concentrés, non agglomérés moins 20% en poids de manganèse et pyrites de fer grillées)"
"281.6","Minerais de fer agglomérés (sinters, ""pellets"", briquettes, etc.)"
"282","Dechets et debris de fonte, de fer ou d'acier (ferrailles), dechets lingotes en fer ou en acier"
"282.1","Déchets et débris de fonte"
"282.2","Déchets et débris d'aciers alliés"
"282.21","Déchets et débris d'acier inoxydable"
"282.29","Déchets et débris d'autres aciers alliés"
"282.3","Autres déchets et débris ferreux"
"282.31","Déchets et débris de fer ou d'acier étamé"
"282.32","Tournures, frisons, copeaux, déchets d'usinage, sciures, limailles et chutes d'estampage ou de découpage, même en paquets"
"282.33","Déchets lingotés de fer ou d'acier"
