marchandises_simplification,code,sitc18_rev3,v3,imprimatur,status,beforeitems,afteritems,obsolete
???,999,???,,,ambiguous,"[?] [? ; blanc] [? ; brun] [? ; diverses] [??] [?? (le douzaine)] [???] [Etc.] [G,,,?] [Origine Inconnue] [Nom flou] [Non indiqué]",[Not a product] [Drogues ; Medecinales en plantes ; ***] [?] [??] [???] [Etc.] [Origine Inconnue] [Nom flou] [Non indiqué] [??? Ferre en carte],non
??? blanc,999,???,,,ambiguous,,[? ; blanc],non
??? brun,999,???,,,,,,non
??? d'Anjou et de Touraine,999,???,,,new,,,non
??? d'une valeur moindre de deux mille francs chacun,999,???,,,ambiguous,,"[D'une valeur moindre de 2 000 Fr chacun] [D'une valeur moindre de 2 000 chacun] [D'une valeur moindre de 2 000 francs chacun] [D'une valeur moindre de 2,000 fr chacun] [D'une valeur moindre de 2,000 fr. chacun] [D'une valeur moindre de 2,000 francs chacun] [D'une valeur moindre de 2000 fr chacun] [D'une valeur moindre de 2000 francs chacun]",non
??? des ci-devant provinces d'Alsace,999,???,,,new,,,non
??? des ci-devant provinces de Bourgogne,999,???,,,new,,,non
??? des ci-devant provinces de Provence,999,???,,,new,,,non
??? des ci-devant provinces du Languedoc,999,???,,,new,,,non
??? diverses,999,???,,,ambiguous,,[? ; diverses],non
??? Tanabare,999,???,,,ambiguous,[Tanabare [?]],[Tanabare [?]],non
???? particulièrement en cheval,,,,,,,,non
abafine,,,,,,,,non
abassis,910,9a,,,new,,,non
abats,110,0a,,,new,,,non
abattis de morue,110,0a,,,new,,,non
abricots confits,110,0a,,,new,,,non
absinthe,100,1,Boissons et tabac,x,new,,,non
acacia,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Acacia] [Accacia] [Agacia] [acacia],non
acacia germanica,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Acacia ; germanica],non
acétates de plomb,500,5,,,new,,,non
achia,120,0b,,,ambiguous,[Achia],[Akia ; espèce de salade] [Akia] [Achia],non
acide vitrioliques et huile de vitriol,500,5,,,new,,,non
acier,670,6j,,,ambiguous,[Acier] [Aciers] [Assié] [acier],[Fers ; aciers] [Fers aciers] [Acier] [Aciers] [Assié] [acier],non
acier brun,670,6j,,,ambiguous,,[Acier brun],non
