numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Armes à feu fusils de munition,,28800,3600,Nantes,,livres,,,,,,,0
2,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Armes blanches sabres,,5740,,Nantes,,,,,,,,Pas de quantité indiquée,0
3,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Artillerie canons de différents calibres,,8520,24,,,en nombre,,,,,,,0
4,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Bierre,,80,1,Hollande,,muids,,,,,,,1
5,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Bierre,,80,212,Hollande,,pintes,,,,,,,2
6,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,63,Bonneterie diverse,,78,,,,,,,,,,,0
7,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Bonneterie diverse,,408,,,,,,,,,,,0
8,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Caves et leurs flacons,,2172,362,Hollande,,en nombre,,,,,,,0
9,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Cauris,,147600,140572,Lorient,,livres,,,,,,,0
10,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Chair salée bœuf salé,,594,1980,Angleterre,,livres,,,,,,,0
11,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Chairs salée jambon,,702,702,St Malo,,livres,,,,,,,0
12,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Chair salée lard salé,,18415,48460,St Malo,,livres,,,,,,,0
13,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Chair salée lard salé,,5009,15480,Angleterre,,livres,,,,,,,0
14,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Chapeaux à nègres,,722,722,,,en nombre,,,,,,,0
15,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,63,Cire en bougie,,350,140,Bretagne,,livres,,,,,,,0
16,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Corail ouvré,,8440,50,Marseille,,livres,,,,,,,1
17,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Corail ouvré,,8440,3,Marseille,,onces,,,,,,,2
18,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,63,Cordages dit filain assorti,,22500,50000,Bretagne,,livres,,,,,,,0
19,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Coutellerie commune,,972,,Hollande,,,,,,,,,0
20,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Cuivre en feuilles,,4045,3678,Hambourg,,livres,,,,,,,0
21,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Cuivre en feuilles,,8050,6708,Angleterre,,livres,,,,,,,0
22,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Cuivre en clous,,3328,2219,Angleterre,,livres,,,,,,,0
23,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Cuivre en batterie de cuisine,,2727,,,,,,,,,,,0
24,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,63,Cuivre en planches,,1200,600,,,livres,,,,,,,0
25,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Drap de laine,,1267,51,Carcassonne,,aunes,,,,,,,1
26,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Drap de laine,,1267,55,Carcassonne,,livres,,,,,,,2
27,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Eau de vie simple,,8182,45,Provence,,muids,,,,,,,1
28,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Eau de vie simple,,8182,136,Provence,,pintes,,,,,,,2
29,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,63,Eau de vie simple,,69472,374,Bordeaux,,muids,,,,,,,1
