numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,remarks
1,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,1,1725,Exports,Anchois,Marseille,Hollande,"3,00",barrils,"4,0000000",
2,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,1,1725,Exports,Amandes cassées,Marseille,Hollande,"745 875,00",livres,"0,1700000",
3,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,1,1725,Exports,Amandes en coques,Marseille,Hollande,"58 860,00",livres,"0,1200000",
4,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,1,1725,Exports,Anis,Marseille,Hollande,"1 500,00",livres,"0,2500000",
5,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,1,1725,Exports,Capres,Marseille,Hollande,"505 700,00",livres,"0,1500000",
6,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,1,1725,Exports,Chataignes fraiches,Marseille,Hollande,"4,00",charges,"8,0000000",
7,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,1,1725,Exports,Chataignes fraiches,Marseille,Hollande,"160 650,00",livres,"0,0350000",
8,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,1,1725,Exports,Esprit de vin,Marseille,Hollande,"1 030,00",livres,"0,1400000",
9,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,1,1725,Exports,Eau de vie,Marseille,Hollande,"1 855 800,00",livres,"0,0900000",
10,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,1,1725,Exports,Figues,Marseille,Hollande,"11 050,00",livres,"0,0500000",
11,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,1,1725,Exports,Grenades,Marseille,Hollande,"600,00",en nombre,"0,0250000",
12,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,1,1725,Exports,Huille d'olive,Marseille,Hollande,"269 580,00",livres,"0,2600000",
13,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,1,1725,Exports,Liqueurs à boire,Marseille,Hollande,"28 975,00",livres,"1,0000000",
