dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,value,quantit,total,quantity_unit,prix_unitaire
Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,285,Acétates ; de plomb,184110,108300,184110,Kilo,1.7
Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,125,Aloès,2521,1146,2521,Kilo,2.2
Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,121,Baume ; Benjoin,5991,1997,5991,Kilo,3
Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,123,Baume ; Copahu,12078,6039,12078,Kilo,2
Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,123,Baume ; Storax liquide,1424,963,1424,Kilo,1.48
Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,125,Camphre ; raffiné,17927,2109,17927,Kilo,8.5
Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,57,Cantharides,36900,3690,36900,Kilo,10
Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,59,Cornes de cerf et de snack ; en morceaux,415,593,415,Kilo,0.7
Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,59,Cornes de cerf et de snack ; en râpures,1286,1837,1286,Kilo,0.7
Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,145,Ecorces ; autres,3956,4945,3956,Kilo,0.8
Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,145,Ecorces ; de Quinquina,1609288,201161,1609288,Kilo,8
Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,143,"Ecorces de citron, d'orange, et de leurs variétés",13700,27400,13700,Kilo,0.5
Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,59,Eponges ; communes,93222,15537,93222,Kilo,6
Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,59,Eponges ; fines,55140,2757,55140,Kilo,20
Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,147,Feuilles ; d'Oranger,451,451,451,Kilo,1
Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,147,Feuilles ; de Séné,71046,20299,71046,Kilo,3.5
Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,149,Feuilles non dénommées,21085,21085,21085,Kilo,1
