Pavillons des puissances,Noms des puissances d'où Venoiem en ou cloiem les Batiments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Totaux des batiments pav,,,,,,Total général des batiments,,
,L'Espagne,,,Le Portugal,,,Piémon et Sardaigne,,,Genes,,,Toscane et lucque,,,Etat ecclésiastique,,,Naples et sicile,,,Venise,,,Levant statas du grand,,,L'empereur,,,L'angleterre,,,la Hollande,,,Les 4 villes anséatiques ,,,Danemark et Norwege,,,La Suede,,,La Prusse,,,Russie en Tourlande,,,Etats unis de l'amérique,,,Entrée,,,Exports,,,,,
,Batiments,Tourneau de Mer,Valeur total du fret,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret ,Batiments,Tourneau de Mer,Valeur total du fret 
La France ,393,32 215,878 840,110,11 876,499 931,193,4 980,84 660,233,10 473,195 745,45,3 918,66 606,32,3 517,84 408,111,11 767,400 969,,,,342,45 813,1 832 520,44,2 418,65 186,284,13 156,290 650,74,5 431,98 302,3,570,22 800,13,1 272,36 078,,,,2,420,11 220,22,4 567,236 270,14,2 790,196 620,1 915,155 183,5 000 805,2 404,174 021,4 468 579,4 319,329 204,9 469 384
l'Espagne,638,18 840,376 150,,,,4,102,1 734,2,18,306,1,25,425,1,30,510,,,,,,,4,568,19 880,,,,8,795,18 015,1,120,1 200,,,,3,490,6 860,2,450,8 100,,,,,,,,,,664,21 438,433 180,805,22 154,416 554,1 469,43 592,849 734
Le Portual,4,380,14 280,4,308,14 784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,2 376,9,724,31 440,8,806,28 496,17,1 530,59 936
Piémon,,,,,,,140,3 188,54 196,24,396,6 732,1,50,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,3 634,61 778,183,5 315,90 355,348,8 949,152 133
Genes,5,451,6 314,,,,12,430,7 310,471,9 900,168 300,49,2 347,39 899,2,200,3 400,47,4 597,133 313,,,,1,120,4 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,587,18 045,362 736,512,12 660,215 322,1 099,30 705,578 058
Toscane,,,,,,,,,,13,327,5 559,28,1 262,21 454,,,,1,85,2 465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1 674,29 478,65,2 159,42 365,107,3 833,71 843
Etats ecelésiastique,,,,,,,32,893,15 181,15,458,7 786,5,415,7 055,46,5 733,97 461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,7 499,127 483,16,394,6 698,114,7 893,134 181
Naples,3,460,6 440,,,,7,135,2 295,10,268,4 556,1,18,306,12,1 725,29 325,147,18 864,547 056,,,,1,108,3 780,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,21 578,593 758,331,10 573,205 273,512,32 151,799 031
Venise,1,140,3 360,,,,,,,,,,,,,,,,3,485,14 065,2,300,14 100,6,1 530,53 550,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2 455,85 075,8,1 825,70 295,20,4 280,155 370
Le Levant,3,435,6 090,,,,1,200,3 400,,,,2,215,3 655,,,,5,735,21 315,,,,14,1 886,66 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3 471,100 470,21,3 321,56 951,46,6 792,157 421
L'empereur,5,800,24 000,,,,,,,,,,,,,,,,1,75,2 175,,,,,,,60,3 679,48 526,2,344,7 880,2,190,5 320,,,,,,,,,,,,,,,,,,,70,5 088,87 901,105,8 771,175 741,175,13 859,263 642
L'Angleterre,12,1 327,47 988,1,100,4 800,,,,3,220,6 160,,,,4,720,12 240,,,,,,,,,,8,480,8 000,1 799,134 766,2 976 792,28,2 852,61 900,3,343,3 934,,,,7,1 128,55 534,1,60,1 860,8,1 351,42 725,5,1 099,73 360,1 879,144 446,3 295 293,3 442,92 222,2 302 787,5 321,236 668,5 598 080
la hollande,14,2 550,97 940,4,390,16 400,,,,3,450,12 600,,,,3,670,10 490,2,450,13 050,,,,,,,11,1 055,25 800,7,600,12 720,450,33 679,766 845,28,3 382,81 828,6,816,12 024,5,866,49 330,25,2 680,81 060,45,9 200,394 022,2,220,14 740,605,57 008,1 588 849,550,66 391,1 879 681,1 155,123 399,3 468 530
les 4 villes,3,540,19 080,1,200,3 800,,,,,,,,,,,,,,,,,,,,,,14,1 929,34 210,7,1 028,27 644,24,2 350,43 520,136,22 361,387 524,4,620,10 540,2,270,4 720,21,3 120,87 300,43,7 190,242 110,,,,255,39 608,860 448,312,56 554,1 389 802,567,96 162,2 250 250
 Danemarck,13,2 300,70 180,2,540,17 820,,,,3,550,15 400,5,900,19 850,1,350,4 900,,,,,,,,,,5,550,10 900,4,380,10 640,6,592,12 436,14,1 476,47 148,386,45 850,1 006 606,12,1 260,24 020,7,1 100,31 620,11,2 080,88 470,2,550,36 850,471,58 478,1 396 840,313,40 290,1 318 463,784,98 768,2 715 303
Suede,7,1 002,36 616,1,110,5 280,,,,7,1 430,41 290,1,300,5 100,5,930,15 810,,,,,,,,,,1,100,2 000,2,360,7 560,,,,2,200,3 600,2,344,4 816,107,15 089,653 933,1,100,2 100,,,,,,,136,19 965,778 105,91,14 359,519 645,227,34 324,1 297 750
Prusse ,,,,,,,,,,1,170,4 760,,,,,,,,,,,,,,,,2,175,3 750,7,696,18 880,21,2 027,45 164,51,10 125,339 720,1,130,1 820,4,540,9 540,76,11 810,318 590,21,2 852,109 322,,,,184,28 525,851 546,162,26 235,723 303,346,54 760,1 574 849
Russie,1,100,3 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,470,11 360,2,280,2 800,,,,,,,2,260,5 460,14,2 975,105 125,,,,23,4 085,127 745,28,5 185,170 965,51,9 270,298 710
Etats unis des ,2,720,14 880,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,675,14 200,,,,1,250,10 000,,,,,,,,,,,,,65,10 620,802 170,71,12 265,841 250,89,12 917,802 031,160,25 182,1 643 281
Totaux des entrées,1 104,62 260,1 605 158,123,13 524,562 815,389,9 925,168 776,785,24 660,469 194,138,9 450,165 200,106,13 875,258 544,317,37 058,1 134 408,2,300,14 100,368,50 025,1 979 940,145,10 386,198 372,2 123,152 800,3 384 981,610,47 711,1 046 047,240,38 987,899 354,415,49 522,1 078 744,139,19 603,805 177,135,19 550,539 210,164,30 215,1 218 044,89,15 315,1 126 116,7 392,605 169,16 654 180,9 445,556 152,14 883 306,16 837,1 161 321,31 537 486
Total général,2 468,123 841,3 088 884,270,29 201,1 009 611,1 091,32 625,554 625,1 652,51 452,926 098,312,18 488,325 156,150,18 948,370 545,471,51 591,1 441 001,24,3 723,198 405,734,96 907,3 037 330,461,43 995,1 277 379,5 742,243 729,5 566 378,1 341,133 967,3 350 891,531,93 773,2 322 638,740,82 543,2 036 870,196,26 957,1 082 427,246,39 764,1 203 562,221,40 994,1 675 446,187,28 823,2 070 240,,,,,,,,,
