Pavillons des puissances,"Navigation dans les mers de France , ou le prix du fers pour varie sensiblement",,,,,,,,,,,,,,,,,,,,,,,,Total de la navigation à l'entrée du Royaume,,
,Ports de la mancho,,,Ports dans la mer de Bretagne,,,Ports dans la mer de Poiton,,,Ports dans la mer de guyenne et de gascogne,,,Ports dans la mer de poiton,,,ports dans la mer de gascogne,,,ports dans la mer de sidcaye,,,Ports dans la mer meditérannée,,,Nombre de batiments,Tonneau de mer,valeure totale de fret
,Nombre de batiments,Tonneau de mer,valeure totale de fret,Nombre de batiments,Tonneau de mer,valeure totale de fret,Nombre de batiments,Tonneau de mer,valeure totale de fret,Nombre de batiments,Tonneau de mer,valeure totale de fret,Nombre de batiments,Tonneau de mer,valeure totale de fret,Nombre de batiments,Tonneau de mer,valeure totale de fret,Nombre de batiments,Tonneau de mer,valeure totale de fret,Nombre de batiments,Tonneau de mer,valeure totale de fret,,,
La France ,4 101,213 369,2 755 094,6 362,218 488,3 020 075,4 564,167 135,1 912 269,2 208,94 130,1 084 325,564,167 135,1 912 269,2 208,94 130,1 084 325,380,20 963,228 216,4 745,283 581,2 919 649,22 360,997 666,11 919 628
l'Espagne,,,,,,,1,60,660,,,,1,60,660,,,,,,,17,302,2 114,18,362,2 774
piémons en sardaigne,,,,,,,,,,,,,,,,,,,,,,8,35,245,8,35,245
Genes,,,,,,,,,,,,,,,,,,,,,,15,50,350,15,50,350
Toscane en lucques,,,,,,,,,,,,,,,,,,,,,,3,44,308,3,44,308
l'angleterre,1,55,1 265,1,120,1 560,2,220,1 440,1,60,600,2,220,1 440,1,60,600,1,120,1 200,1,82,574,7,657,6 639
La hollande,3,320,7 040,1,200,2 600,3,332,1 992,,,,3,332,1 992,,,,,,,,,,7,852,11 632
Danemarck en novege,1,150,3 300,1,72,936,,,,,,,,,,,,,,,,,,,2,222,4 236
Suede,1,150,3 300,,,,,,,,,,,,,,,,,,,,,,1,150,3 300
Prusse,,,,1,120,1 440,,,,,,,,,,,,,,,,,,,1,120,1 440
Russie en courlande,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etats unis de l'amérique,,,,1,250,4 250,,,,,,,,,,,,,,,,,,,1,250,4 250
Totaux des  ..,4 107,214 044,2 769 999,6 367,219 250,3 030 861,4 570,167 747,1 916 361,2 209,94 190,1 084 925,570,167 747,1 916 361,2 209,94 190,1 084 925,381,21 083,229 416,4 789,284 094,2 923 240,22 423,1 000 408,11 954 802
