Pavillons des puissances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Totaux des Batiments,,,,Total général,
,l'Espagne,,le Portugal,,Piémon et sardaigne,,Genes,,Toscane et lucque,,Etat eckésiastique,,Naples en sieile,,Venise,,Levant et Etats du grand feigneur et de Barbarie,,L'empereur,,l'angleterre,,La hollande,,les 4 villes anséatiques,,Danemark en norvege,,Suede,,Prusse,,Russie en courland,,Etats unis de l'amérique,,A l'entrée,,A la sortie,,,
,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer,Batiments,Tonneaux de Mer
l'Espagne,286,5 154,3,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,5 268,65,2 214,354,7 482
Le Portual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,86,1,86
Piémon en sardaigne,,,,,1,30,6,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,146,18,214,25,360
Genes,,,,,,,18,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,551,112,5 270,130,5 821
Toscane du luck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,398,6,398
Etats ecelésiastique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,90,2,90
Naples,,,,,10,280,5,92,4,24,,,2,59,,,,,,,,,,,,,,,,,,,,,,,21,455,111,16 568,132,17 023
Venise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1 040,4,1 040
Le Levant-Etats du grand feigneur et de barbarie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1 006,7,1 006
L'empereur,,,,,,,,,,,,,,,,,,,21,1 691,,,,,,,,,,,,,,,,,21,1 691,5,486,26,2 177
L'Angleterre,21,2 276,1,140,,,,,,,,,,,,,,,2,280,1 522,13 525,2,180,,,,,,,,,,,,,1 548,16 401,602,64 320,2 150,80 721
la hollande,15,3 545,4,580,,,,,1,300,,,,,,,,,13,1 270,5,550,66,7 109,1,70,,,,,,,,,,,105,13 424,149,9 393,254,22 817
les 4 villes enséatiques,3,370,,,,,,,,,,,,,,,,,4,520,1,160,6,1 080,5,960,,,,,,,,,,,19,3 090,9,1 410,28,4 500
 Danemarck et norvege,27,3 212,4,920,,,,,1,200,,,,,,,,,4,390,2,280,,,1,160,3,310,,,,,,,,,42,5 472,148,19 499,190,24 971
Suede,3,286,,,,,,,,,,,,,,,,,1,180,4,330,,,,,,,,,,,,,,,8,796,69,11 879,77,12 675
Prusse ,3,435,,,,,,,,,,,,,,,,,2,270,1,250,7,920,,,,,,,1,70,,,,,14,1 945,16,2 581,30,4 526
Russie en cowlande,,,,,,,,,,,,,,,,,,,1,180,,,2,280,,,,,,,,,,,,,3,460,4,885,7,1 345
Etats unis de l'amérique,21,1 712,,,,,,,,,,,,,,,,,,,5,680,,,1,140,,,1,160,,,,,4,390,32,3 082,18,3 001,50,6 083
Totaux des Batiments ,379,16 990,12,1 754,11,310,29,759,6,524,,,2,59,,,,,48,4 761,1 540,15 775,83,9 569,8,1 330,3,310,1,160,1,70,,,4,390,2 127,52 781,1 346,140 340,3 473,193 121
Total général,469,24 835,36,6 042,41,3 313,138,6 494,27,1 770,1,154,118,17 474,,,11,1 758,63,6 228,2 112,76 541,223,16 659,25,4 143,133,16 106,43,5 974,14,2 595,6,1 065,13,1 950,3 473,,193 121,,,
