Data entry by,Source,Year,Sheet,Marchandises,Quantité,Leur valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Leur Valeur (sub-total 3),Total
Fatima Zahra,,1 788,42,Bois métaux combustible et autres pructions brutes de la terre ; Bois divers,,23 300,,,,3 354 900
Fatima Zahra,,1 788,43,Objets Industrie étrangere; Mouchoirs à la V,,14 600,,,,544 200
Fatima Zahra,,1 788,43,Objets Industrie étrangere ; ouvrage d'auffe,1 840 800,157 500,,,,544 200
Fatima Zahra,,1 788,43,Objets Industrie étrangere ;           de bois en avirons,8 500,27 100,,,,544 200
Fatima Zahra,,1 788,43,Objets Industrie étrangere ;           de cordonier,,15 300,,,,544 200
Fatima Zahra,,1 788,43,Objets Industrie étrangere ; Peaux de chevre passées,9 600,48 200,,,,544 200
Fatima Zahra,,1 788,43,Objets Industrie étrangere ; poterie en Jarre,3 800,11 400,,,,544 200
Fatima Zahra,,1 788,43,Objets Industrie étrangere ; Savon,65 300,32 700,,,,544 200
Fatima Zahra,,1 788,43,Objets Industrie étrangere ; Ustenciles de peche,,37 800,,,,544 200
Fatima Zahra,,1 788,44,Bestiaux ; divers ,,33 000,,,,100 600
Fatima Zahra,,1 788,44,Bestiaux ; bœufs ,440,56 400,,,,100 600
Fatima Zahra,,1 788,44,Bestiaux ; porcelets,2 800,11 200,,,,100 600
Fatima Zahra,,1 788,44,Comestibles ; amande,75 700,42 800,,,,8 044 900
Fatima Zahra,,1 788,44,Comestibles ; cacao,2 247 600,1 941 100,,,,8 044 900
Fatima Zahra,,1 788,44,Comestibles ; farine,47 600,20 400,,,,8 044 900
Fatima Zahra,,1 788,44,Comestibles ; fruits divers,,11 400,,,,8 044 900
Fatima Zahra,,1 788,44,Comestibles ;         crud,170 ET 1 364 400,65 500,,,,8 044 900
Fatima Zahra,,1 788,44,Comestibles ;         oranges,218 ET 8 650 900,420 700,,,,8 044 900
