"numrodeligne","dataentryby","source","sourcepath","sourcetype","year","exportsimports","sheet","marchandises","pays","direction","value","remarks"
1,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1726,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","4532304,43333333","En fait sur deux ans"
2,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1727,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","7729885,54583333","En fait sur deux ans"
3,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1728,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","8781353,475","En fait sur deux ans"
4,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1729,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","7796818,6125","En fait sur deux ans"
5,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1730,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","6109966,62083333","En fait sur deux ans"
6,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1731,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","5118231,57916667","En fait sur deux ans"
7,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1732,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","10006015,6541667","En fait sur deux ans"
8,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1733,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","9268767,05416667","En fait sur deux ans"
9,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1734,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","15341123,3291667","En fait sur deux ans"
10,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1735,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","13332561,4","En fait sur deux ans"
11,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1736,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","11964920,6583333","En fait sur deux ans"
12,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1737,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","8318888,8875","En fait sur deux ans"
13,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1738,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","11340095,6458333","En fait sur deux ans"
14,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1739,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","14692744,7375","En fait sur deux ans"
15,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1740,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","10177191,6583333","En fait sur deux ans"
16,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1741,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","17372385,9125","En fait sur deux ans"
17,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1742,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","12986489,3583333","En fait sur deux ans"
18,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1743,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","13040860,4875","En fait sur deux ans"
19,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1744,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","14483450,8083333","En fait sur deux ans"
20,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1745,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","8700577,7375","En fait sur deux ans"
21,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1746,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","3493539,23333333","En fait sur deux ans"
