numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,unit_price,value,probleme,remarks
1,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,merluche,Marseille,Danemark,"43 940,00",livres,"0,3000000","13182,00","0,00",
2,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,acier,Marseille,Espagne,"345,00",livres,"0,3500000","121,00","0,25",
3,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,alun,Marseille,Espagne,"73 565,00",livres,"0,2000000","14713,00","0,00",
4,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,amadou,Marseille,Espagne,"115,00",livres,"0,7000000","80,00","-0,50",
5,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,amandes,Marseille,Espagne,"29 536,00",livres,"0,2000000","5907,00","-0,20",
6,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,anchois,Marseille,Espagne,"15,00",barrils,"7,0000000","105,00","0,00",
7,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,anis,Marseille,Espagne,"29 436,00",livres,"0,2000000","5887,00","-0,20",
8,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,arquifou,Marseille,Espagne,"196 510,00",livres,"0,1500000","29476,00","-0,50",
9,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,avirons,Marseille,Espagne,"50,00",paires,"6,0000000","300,00","0,00",
10,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,avoine,Marseille,Espagne,"110,00",charges,"12,0000000","1320,00","0,00",
