numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantit_unit,prix_unitaire,value,probleme,remarks
39,Hasna,Archives de la CCI de Marseille - I 68,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,bourde,Marseille,Espagne,"15 589 380,00",livres,"0,0800000","1247150,00","-0,40",
40,Hasna,Archives de la CCI de Marseille - I 69,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,brun rouge,Marseille,Espagne,"478 000,00",livres,"0,0250000","11950,00","0,00",
41,Hasna,Archives de la CCI de Marseille - I 70,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,cacao,Marseille,Espagne,"9 097,00",livres,"1,3000000","11826,00","-0,10",
42,Hasna,Archives de la CCI de Marseille - I 71,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,caffé,Marseille,Espagne,"388 456,00",livres,"1,3000000","504992,00","-0,80",
43,Hasna,Archives de la CCI de Marseille - I 72,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,canefice,Marseille,Espagne,"16 560,00",livres,"0,6000000","9936,00","0,00",
44,Hasna,Archives de la CCI de Marseille - I 73,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,canons de fer,Marseille,Espagne,"52,00",livres,"300,0000000","15600,00","0,00",
45,Hasna,Archives de la CCI de Marseille - I 74,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,capres,Marseille,Espagne,"27 722,00",livres,"0,2200000","6098,00","-0,84",
46,Hasna,Archives de la CCI de Marseille - I 75,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,caruane,Marseille,Espagne,"9 200,00",livres,"0,0500000","460,00","0,00",
47,Hasna,Archives de la CCI de Marseille - I 76,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,cartes a joüer,Marseille,Espagne,"1 800,00",livres,"1,5000000","2700,00","0,00",
48,Hasna,Archives de la CCI de Marseille - I 77,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,cascarilles,Marseille,Espagne,"8 300,00",livres,"4,0000000","33200,00","0,00",
49,Hasna,Archives de la CCI de Marseille - I 78,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,cendre,Marseille,Espagne,"1 895 700,00",livres,"0,1200000","227484,00","0,00",
50,Hasna,Archives de la CCI de Marseille - I 79,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,cire jaune,Marseille,Espagne,"2 170,00",livres,"1,5000000","3255,00","0,00",
51,Hasna,Archives de la CCI de Marseille - I 80,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,civadilles,Marseille,Espagne,"300,00",livres,"1,2500000","375,00","0,00",
52,Hasna,Archives de la CCI de Marseille - I 81,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,cochenille,Marseille,Espagne,"73 500,00",livres,"17,0000000","1249500,00","0,00",
