numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantit_unit,prix_unitaire,value,probleme,remarks
111,Hasna,Archives de la CCI de Marseille - I 140,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,peaux de chagrin,Marseille,Espagne,"50,00",douzaines,"30,0000000","1500,00","0,00",
112,Hasna,Archives de la CCI de Marseille - I 141,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,peaux de chagrin,Marseille,Espagne,"2 000,00",livres,"2,0000000","4000,00","0,00",
113,Hasna,Archives de la CCI de Marseille - I 142,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,peaux de lapin,Marseille,Espagne,"14 000,00",livres,"1,5000000","21000,00","0,00",
114,Hasna,Archives de la CCI de Marseille - I 143,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,peaux de lievre,Marseille,Espagne,"5 324,00",livres,"1,0000000","5324,00","0,00",
115,Hasna,Archives de la CCI de Marseille - I 144,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,peaux de marroquin,Marseille,Espagne,"6,00",nombre,"1,5000000","9,00","0,00",
116,Hasna,Archives de la CCI de Marseille - I 145,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,peaux de mouton,Marseille,Espagne,"615,00",nombre,"1,0000000","615,00","0,00",
117,Hasna,Archives de la CCI de Marseille - I 146,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,peaux de mouton,Marseille,Espagne,"600,00",livres,"0,7500000","450,00","0,00",
118,Hasna,Archives de la CCI de Marseille - I 147,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,pierres a eguiser,Marseille,Espagne,"50,00",nombre,"2,0000000","100,00","0,00",
119,Hasna,Archives de la CCI de Marseille - I 148,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,pignons d'epine,Marseille,Espagne,"16 775,00",livres,"0,3000000","5032,00","-0,50",
120,Hasna,Archives de la CCI de Marseille - I 149,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,plomb en saumon,Marseille,Espagne,"514 388,00",livres,"0,2000000","102877,00","-0,60",
121,Hasna,Archives de la CCI de Marseille - I 150,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,poil de lapin,Marseille,Espagne,"2 258,00",livres,"8,0000000","18064,00","0,00",
122,Hasna,Archives de la CCI de Marseille - I 151,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,poisson salé,Marseille,Espagne,"231 840,00",livres,"0,2500000","57960,00","0,00",
123,Hasna,Archives de la CCI de Marseille - I 152,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,pois raisine,Marseille,Espagne,"5 795,00",livres,"0,0900000","521,00","-0,55",
124,Hasna,Archives de la CCI de Marseille - I 153,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,poussiere de tartre,Marseille,Espagne,"960,00",livres,"0,1500000","144,00","0,00",
125,Hasna,Archives de la CCI de Marseille - I 154,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,quinquina,Marseille,Espagne,"5 678,00",livres,"4,0000000","22712,00","0,00",
