,"Entré par","Source",,,"Page","Année","Export/Import","Nom Marchandise","Direction","Pays/Région","Quantité","Unité de poids/quantité","Prix unitaire en  Lt (décimale)","Valeur en décimales de livres tournois","Différence","Remarques"
1,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","arquifou","Marseille","Angleterre","28 000,00","livres","0,1500000","4200,00","0,00",
2,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","beuf salé","Marseille","Angleterre","207 000,00","livres","0,3500000","72450,00","0,00",
3,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","beuf salé","Marseille","Angleterre","622,00","barils","35,0000000","21770,00","0,00",
4,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","bled froment","Marseille","Angleterre","30 831,00","charges","20,0000000","616620,00","0,00",
5,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","chanvre cru","Marseille","Angleterre","461 400,00","livres","0,1800000","83052,00","0,00",
6,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","charbon de terre","Marseille","Angleterre","7 884,00","chapeaux","0,5000000","3942,00","0,00",
7,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","cire jaune","Marseille","Angleterre","44 000,00","livres","1,5000000","66000,00","0,00",
8,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","cornes de mouton","Marseille","Angleterre","1 000,00","paires","0,0500000","50,00","0,00",
9,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","cuirs de beuf en poil","Marseille","Angleterre","400,00","nombre","14,0000000","5600,00","0,00",
10,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","cuivre vieux","Marseille","Angleterre","205,00","livres","1,0000000","205,00","0,00",
11,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","fer en barres","Marseille","Angleterre","8 400,00","livres","0,1450000","1218,00","0,00",
12,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","harangs fumes","Marseille","Angleterre","2 147,00","barils","24,0000000","51528,00","0,00",
