numrodesource,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Amidon,Marseille,Holande,"2 500,00",livres,"0,2000000","500,00","0,00",
2,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Arquifou,Marseille,Holande,"84 600,00",livres,"0,1500000","12690,00","0,00",
3,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Azur commun,Marseille,Holande,"11 390,00",livres,"0,6000000","6834,00","0,00",
4,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Baleine coupée,Marseille,Holande,"8 800,00",livres,"4,7500000","41800,00","0,00",
5,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Beurre,Marseille,Holande,"3 300,00",livres,"0,3000000","990,00","0,00",
6,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Biere,Marseille,Holande,"203 000,00",livres,"0,0500000","10150,00","0,00",
7,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Bled froment,Marseille,Holande,"3 118,00",charges,"25,0000000","77950,00","0,00",
8,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Bois de Brezil,Marseille,Holande,"14 500,00",livres,"0,2500000","3625,00","0,00",
9,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Bois de campech,Marseille,Holande,"37 000,00",livres,"0,1500000","5550,00","0,00",
10,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Bois de fernambourg,Marseille,Holande,"6 000,00",livres,"0,4500000","2700,00","0,00",
