numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,remarks
1,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,1,Alun,Angleterre,"242687,1",808957,Livres,"0,3",
2,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,1,Arquifou,Angleterre,"1162,5",11625,Livres,"0,1",
3,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,1,Avirons,Angleterre,"82,5",33,En nombre,"2,5",
4,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,1,Bas de laine,Angleterre,100,50,Livres,2,
5,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,1,Beuf salé,Angleterre,531080,13277,Barils,40,
6,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,1,Beurre,Angleterre,"225188,8",562972,Livres,"0,4",
7,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,1,Bierre,Angleterre,475,1900,Bouteilles,"0,25",
8,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,1,Bois ; de campeche,Angleterre,"24528,75",163525,Livres,"0,15",
9,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,1,Bois ; merrain a barils,Angleterre,350,3500,Douelles,"0,1",
10,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,1,Bouteilles de verre,Angleterre,92,460,Livres,"0,2",
11,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,1,Chandelles,Angleterre,"16256,25",36125,Livres,"0,45",
12,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,1,Charbon de terre,Angleterre,500,1,Grenies,500,
13,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,1,Charbon de terre,Angleterre,"121012,5",2305,Tonneaux,"52,5",
14,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,1,Charbon de terre,Angleterre,880,176,Barils,5,
15,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,1,Charbon de terre,Angleterre,"13,85",554,Livres,"0,025",
16,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,1,Chevaux,Angleterre,600,2,En nombre,300,
