numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,remarks
1,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,1,Bazin,Allemagne la Loraine et le pays de Liege,744,186,Livres,4,
2,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,1,Bois ; de marqueterie,Allemagne la Loraine et le pays de Liege,1242,4140,Livres,"0,3",
3,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,1,Bois ; de pallisandre,Allemagne la Loraine et le pays de Liege,"52,5",525,Livres,"0,1",
4,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,1,Caffé,Allemagne la Loraine et le pays de Liege,"4057,2",4508,Livres,"0,9",
5,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,1,Camelot de laine,Allemagne la Loraine et le pays de Liege,2352,392,Livres,6,
6,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,1,Confitures,Allemagne la Loraine et le pays de Liege,193,193,Livres,1,
7,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,1,Coton filé,Allemagne la Loraine et le pays de Liege,390,78,Livres,5,
8,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,1,Coutil,Allemagne la Loraine et le pays de Liege,1190,595,Livres,2,
9,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,1,Couvertures de laine,Allemagne la Loraine et le pays de Liege,308,154,Livres,2,
10,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,1,Drap ; d'Elbeuf,Allemagne la Loraine et le pays de Liege,"111044,5","7931,75",Aulnes,14,
11,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,1,Drap ; d'Arnetal,Allemagne la Loraine et le pays de Liege,259,"18,5",Aulnes,14,
12,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,1,Drap ; de Lodève,Allemagne la Loraine et le pays de Liege,910,130,Aulnes,7,
13,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,1,Drap ; de Louviers,Allemagne la Loraine et le pays de Liege,41355,"2297,5",Aulnes,18,
14,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,1,Drap ; de Sedan,Allemagne la Loraine et le pays de Liege,"335,5","15,25",Aulnes,22,
15,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,1,Epingles,Allemagne la Loraine et le pays de Liege,1870,1,Valeur,1870,
16,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,1,Etamines du mans,Allemagne la Loraine et le pays de Liege,432,72,Livres,6,
17,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,2,Espagnolette ; croisée,Allemagne la Loraine et le pays de Liege,22267,3181,Livres,7,
18,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,2,Espagnolette ; simple,Allemagne la Loraine et le pays de Liege,4506,751,Livres,6,
19,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Sorties - 1767-69-74.csv,Local,1767,Exports,Rouen,2,Etoffe ; au quart,Allemagne la Loraine et le pays de Liege,47620,2381,Livres,20,
