line number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1753,Rennes,,Angleterre,Imports,bierre,,,,,30,bouteilles,0.5,sources/Local/AD44_C716_Rennes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
2,Local,1753,Rennes,,Angleterre,Imports,bled fromen,,,,,237,tonneaux,100,sources/Local/AD44_C716_Rennes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
3,Local,1753,Rennes,,Angleterre,Imports,bled fromen,,,,,1800,sacs,13,sources/Local/AD44_C716_Rennes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
4,Local,1753,Rennes,,Angleterre,Imports,bled fromen,,,,,10264,boisseaux,5,sources/Local/AD44_C716_Rennes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
5,Local,1753,Rennes,,Angleterre,Imports,bled seigle,,,,,165,quarter,16,sources/Local/AD44_C716_Rennes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
6,Local,1753,Rennes,,Angleterre,Imports,canons de fer,,,,,65,livres,200,sources/Local/AD44_C716_Rennes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
7,Local,1753,Rennes,,Angleterre,Imports,charbons de terre,,,,,763,tonneaux,40,sources/Local/AD44_C716_Rennes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
8,Local,1753,Rennes,,Angleterre,Imports,charbons de terre,,,,,4182,bariques,10,sources/Local/AD44_C716_Rennes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
9,Local,1753,Rennes,,Angleterre,Imports,charbons de terre,,,,,1474,barils ,6,sources/Local/AD44_C716_Rennes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
10,Local,1753,Rennes,,Angleterre,Imports,charbons de terre,,,,,1789,jattes,10,sources/Local/AD44_C716_Rennes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
11,Local,1753,Rennes,,Angleterre,Imports,charbons de terre,,,,,431000,livres,0.02,sources/Local/AD44_C716_Rennes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
12,Local,1753,Rennes,,Angleterre,Imports,chevaux harnachés,,,,,2,pièces,800,sources/Local/AD44_C716_Rennes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
13,Local,1753,Rennes,,Angleterre,Imports,cire jaune,,,,,108,livres,1.5,sources/Local/AD44_C716_Rennes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
14,Local,1753,Rennes,,Angleterre,Imports,cordages,,,,,135576,livres,0.4,sources/Local/AD44_C716_Rennes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
