source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Local,1759,La Rochelle,,Angleterre,Imports,Beurre,,,"22655,5",0,45311,livres,"0,5",sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,AD17 41 ETP 270/9423,2,11260,,,,,Demba,,,0,,,,,,,,
Local,1759,La Rochelle,,Danemarck,Imports,Bœuf Sallé,,,8000,0,400,barrils,20,sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,AD17 41 ETP 270/9423,2,11261,,,,,Demba,,,0,,,,,,,,
Local,1759,La Rochelle,,Danemarck,Imports,Bois ; merrin a Barrique,,,1458,0,9720,douelles,"0,15",sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,AD17 41 ETP 270/9423,2,11262,,,,,Demba,,,0,,,,,,,,
Local,1759,La Rochelle,,Danemarck,Imports,Bois ; merrin a Fonds,,,54,0,540,douelles,"0,1",sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,AD17 41 ETP 270/9423,2,11263,,,,,Demba,,,0,,,,,,,,
Local,1759,La Rochelle,,Danemarck,Imports,Bois ; merrin a Pipes,,,4180,0,20900,douelles,"0,2",sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,AD17 41 ETP 270/9423,2,11264,,,,,Demba,,,0,,,,,,,,
Local,1759,La Rochelle,,Danemarck,Imports,Cabillauds,,,26500,0,530,barils,50,sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,AD17 41 ETP 270/9423,2,11265,,,,,Demba,,,0,,,,,,,,
Local,1759,La Rochelle,,Danemarck,Imports,Cabillauds,,,1125,0,1500,nombre,"0,75",sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,AD17 41 ETP 270/9423,2,11266,,,,,Demba,,,0,,,,,,,,
Local,1759,La Rochelle,,Danemarck,Imports,Cabillauds,,,2700,0,9000,livres,"0,3",sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,AD17 41 ETP 270/9423,2,11267,,,,,Demba,,,0,,,,,,,,
Local,1759,La Rochelle,,Danemarck,Imports,Charbon de Terre,,,7176,0,1196,bailler,6,sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,AD17 41 ETP 270/9423,2,11268,,,,,Demba,,,0,,,,,,,,
Local,1759,La Rochelle,,Danemarck,Imports,Espard,,,117,0,39,livres,3,sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,AD17 41 ETP 270/9423,2,11269,,,,,Demba,,,0,,,,,,,,
Local,1759,La Rochelle,,Danemarck,Imports,Fer en barres,,,1575,0,9000,livres,"0,175",sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,AD17 41 ETP 270/9423,2,11270,,,,,Demba,,,0,,,,,,,,
Local,1759,La Rochelle,,Danemarck,Imports,Gaudron,,,216,0,12,barils,18,sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,AD17 41 ETP 270/9423,2,11271,,,,,Demba,,,0,,,,,,,,
Local,1759,La Rochelle,,Danemarck,Imports,Manches de gaffe,,,110,0,110,nombre,1,sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,AD17 41 ETP 270/9423,3,11272,,,,,Demba,,,0,,,,,,,,
Local,1759,La Rochelle,,Danemarck,Imports,Macqueraux Salés,,,800,0,40,barils,20,sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,AD17 41 ETP 270/9423,3,11273,,,,,Demba,,,0,,,,,,,,
Local,1759,La Rochelle,,Danemarck,Imports,Morue; verte,,,3780,0,12600,livres,"0,3",sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,AD17 41 ETP 270/9423,3,11274,,,,,Demba,,,0,,,,,,,,
Local,1759,La Rochelle,,Danemarck,Imports,Planches de Sapin ; 12 pieds,,,9000,0,6000,nombre,"1,5",sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,AD17 41 ETP 270/9423,3,11275,,,,,Demba,,,0,,,,,,,,
Local,1759,La Rochelle,,Danemarck,Imports,Planches de Sapin ; 10 a 11 pieds,,,6710,0,6100,nombre,"1,1",sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,AD17 41 ETP 270/9423,3,11276,,,,,Demba,,,0,,,,,,,,
Local,1759,La Rochelle,,Danemarck,Imports,Planches de Sapin ; 9 a 10 pieds,,,22900,0,22900,nombre,1,sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,AD17 41 ETP 270/9423,3,11277,,,,,Demba,,,0,,,,,,,,
