line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1758,Marseille,,Angleterre,Imports,arquifou,,,13440,,89600,livres,"0,15",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,
2,Local,1758,Marseille,,Angleterre,Imports,bœuf salé,,,2275,,65,barils,35,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,
3,Local,1758,Marseille,,Angleterre,Imports,caffé,,,11700,,9000,livres,"1,3",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,
4,Local,1758,Marseille,,Angleterre,Imports,cuirs de beuf en poil,,,28000,,2000,en nombre,14,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,
5,Local,1758,Marseille,,Angleterre,Imports,cuirs de beuf tannés,,,4800,,200,en nombre,24,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,
6,Local,1758,Marseille,,Angleterre,Imports,eau de vie,,,60,,300,livres,"0,2",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,
7,Local,1758,Marseille,,Angleterre,Imports,etain,,,400,,400,livres,1,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,
8,Local,1758,Marseille,,Angleterre,Imports,etoffe de soye,,,27000,,90,pieces,300,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,
9,Local,1758,Marseille,,Angleterre,Imports,figues,,,15,,150,livres,"0,1",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,
10,Local,1758,Marseille,,Angleterre,Imports,gigembre,,,1680,,2800,livres,"0,6",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,
11,Local,1758,Marseille,,Angleterre,Imports,pipes a fumer,,,480,,120,grosses,4,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,
12,Local,1758,Marseille,,Angleterre,Imports,plomp en saumon,,,72280,,361400,livres,"0,2",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,
13,Local,1758,Marseille,,Angleterre,Imports,sucre blanc,,,39375,,52500,livres,"0,75",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,
14,Local,1758,Marseille,,Angleterre,Imports,vermillon,,,4000,,800,livres,5,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,
15,Local,1758,Marseille,,Angleterre,Imports,vin de malaga,,,160,,4,barils,40,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,
16,Local,1758,Marseille,,Danemark,Imports,merluche,,,4280,,21400,livres,"0,2",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,2,,,,,Hasna,,,0,,,,,,,,
17,Local,1758,Marseille,,Espagne,Imports,alun,,,28858,,240488,livres,"0,12",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,2,,,,,Hasna,,,"-0,56",,,,,,,,
18,Local,1758,Marseille,,Espagne,Imports,amandes,,,7995,,39976,livres,"0,2",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,2,,,,,Hasna,,,"-0,2",,,,,,,,
19,Local,1758,Marseille,,Espagne,Imports,anis,,,2513,,12569,livres,"0,2",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,2,,,,,Hasna,,,"-0,8",,,,,,,,
20,Local,1758,Marseille,,Espagne,Imports,arquifou,,,36795,,245300,livres,"0,15",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,2,,,,,Hasna,,,0,,,,,,,,
21,Local,1758,Marseille,,Espagne,Imports,auf,,,60,,1200,livres,"0,05",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,2,,,,,Hasna,,,0,,,,,,,,
22,Local,1758,Marseille,,Espagne,Imports,avoine,,,1440,,120,charges,12,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,2,,,,,Hasna,,,0,,,,,,,,
23,Local,1758,Marseille,,Espagne,Imports,balets de palmes,,,14192,,15769,douzaines,"0,9",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,2,,,,,Hasna,,,"-0,1",,,,,,,,
24,Local,1758,Marseille,,Espagne,Imports,barres de bois,,,150,,300,pieces,"0,5",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,2,,,,,Hasna,,,0,,,,,,,,
25,Local,1758,Marseille,,Espagne,Imports,beurre,,,160,,400,livres,"0,4",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,2,,,,,Hasna,,,0,,,,,,,,
26,Local,1758,Marseille,,Espagne,Imports,bled froment,,,57250,,2290,charges,25,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,2,,,,,Hasna,,,0,,,,,,,,
27,Local,1758,Marseille,,Espagne,Imports,bois de brezil,,,1437,,2875,livres,"0,5",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,2,,,,,Hasna,,,"-0,5",,,,,,,,
28,Local,1758,Marseille,,Espagne,Imports,bois a bruler,,,108,,14400,livres,"0,0075",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,2,,,,,Hasna,,,0,,,,,,,,
29,Local,1758,Marseille,,Espagne,Imports,bois de campeche,,,39387,,157550,livres,"0,25",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,2,,,,,Hasna,,,"-0,5",,,,,,,,
30,Local,1758,Marseille,,Espagne,Imports,boras,,,8797,,1955,livres,"4,5",sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1758.csv,Archives de la CCI de Marseille - I 29,2,,,,,Hasna,,,"-0,5",,,,,,,,
