line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_value,absurd_quantity,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1742,Bordeaux,,Angleterre,Imports,Argent vif,,,720,,160,livres,4.5,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,,0,,,,,,,,,,
2,Local,1742,Bordeaux,,Angleterre,Imports,Bœuf salé,,,410895,,2739300,livres,.15,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,,0,,,,,,,,,,
3,Local,1742,Bordeaux,,Angleterre,Imports,Beurre salé,,,303371.25,,866775,livres,.35,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,,0,,,,,,,,,,
4,Local,1742,Bordeaux,,Angleterre,Imports,Cochon salé,,,3300,,15000,livres,.22,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,,0,,,,,,,,,,
5,Local,1742,Bordeaux,,Angleterre,Imports,Cire jaune,,,861,,615,livres,1.4,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,,0,,,,,,,,,,
6,Local,1742,Bordeaux,,Angleterre,Imports,Chandelle,,,46392,,115980,livres,.4,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,,0,,,,,,,,,,
7,Local,1742,Bordeaux,,Angleterre,Imports,Colle forte,,,40,,100,livres,.4,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,,0,,,,,,,,,,
8,Local,1742,Bordeaux,,Angleterre,Imports,Charbon de terre,,,119340,,443,Tonneaux,270,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,erreur de calcul,-270,,,,,,,,,,
9,Local,1742,Bordeaux,,Angleterre,Imports,Etain en bloc,,,13813.2,,12790,livres,1.08,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,,0,,,,,,,,,,
10,Local,1742,Bordeaux,,Angleterre,Imports,Fromage de chesler,,,2669.7,,8090,livres,.33,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,doute sur la marchandise,0,,,,,,,,,,
11,Local,1742,Bordeaux,,Angleterre,Imports,Langues de bœuf,,,597,,1990,livres,.3,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,,0,,,,,,,,,,
12,Local,1742,Bordeaux,,Angleterre,Imports,Lard,,,29920,,74800,livres,.4,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,,0,,,,,,,,,,
13,Local,1742,Bordeaux,,Angleterre,Imports,Mercerie grossiere,,,405,,270,livres,1.5,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,,0,,,,,,,,,,
14,Local,1742,Bordeaux,,Angleterre,Imports,Plomb en saumon,,,23724.75,,112975,livres,.21,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,,0,,,,,,,,,,
15,Local,1742,Bordeaux,,Angleterre,Imports,Planche de sapin;,,,1125,,7.5,cent,150,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,,0,,,,,,,,,,
16,Local,1742,Bordeaux,,Angleterre,Imports,Quincaille de fer,,,282,,470,livres,.6,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,,0,,,,,,,,,,
17,Local,1742,Bordeaux,,Angleterre,Imports,Saumon salé,,,7070,,101,Barils,70,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,,0,,,,,,,,,,
18,Local,1742,Bordeaux,,Angleterre,Imports,Saumon salé,,,34765.5,,158025,Livres,.22,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,,0,,,,,,,,,,
19,Local,1742,Bordeaux,,Angleterre,Imports,Suif,,,140787.5,,402250,Livres,.35,sources/Local/AD33_C4389_Bordeaux_Imports_1742.csv,AD33 C4389,1,,,,,Demba,,,0,,,,,,,,,,
