line number,source_type,year,customs_region,customs_office,partner,Export_Import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,value_minus_unit_val_x_qty,filepath,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
,Local,1717,Bordeaux,,Angleterre,Export,Bray sec,,,4340,,62000,quintal,"0,07",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,2,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Angleterre,Export,Chanvre,,,400,,2000,quintal,"0,2",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,2,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Angleterre,Export,Feuillards,,,150,,200,faix,"0,75",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,2,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Angleterre,Export,Fer en barres,,,2625,,21000,livres,125,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,2,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Angleterre,Export,Goudron,,,"202,1",1,27,baril,"7,5","-0,400000000000006",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,2,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Angleterre,Export,goudron,,,276,2,6900,quintal,"0,04",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,2,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Angleterre,Export,Galipot,,,110,,1000,livres,"0,11",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,2,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Angleterre,Export,Huile de terebenthine,,,209,,1900,livres,"0,11",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,2,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Angleterre,Export,Liege,,,4200,,14000,quintal,"0,3",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,2,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Angleterre,Export,Membrures de Noyer de 10 pieds de long et d’un pied en carré,,,144,,8,douzaine,18,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,2,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Angleterre,Export,Merrain ganivelles,,,600,,4000,pieces,"0,15",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,2,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Angleterre,Export,Peaux de chevreaux,,,"42304,1",,9954,douzaine,"4,25","-0,400000000001455",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,2,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Angleterre,Export,Planches de noyer de six pieds de long et de deux pieds d’épaisseur,,,6600,,527,pieces,"12,5","12,5",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,3,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Angleterre,Export,Cartes à jouer,,,1080,,72,grosse,15,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,3,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Angleterre,Export,Papier blanc,,,"7661,1",,1393,rames,"5,5","-0,399999999999636",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,3,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Angleterre,Export,Savon,,,190,,500,livres,"0,38",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,3,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Angleterre,Export,Toile de saintonge commune,,,240,,400,aulne,"0,6",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,3,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Angleterre,Export,Tables d'ardoise,,,108,,18,pieces,6,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,3,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Amandes,,,"2041,12",,6380,livres,"0,3","127,12",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,3,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Bled seigle,,,2200,,800,noisseaux,"2,75",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,3,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Cacao,,,12260,,24520,livres,"0,5",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,3,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Chataignes,,,4428,,984,boisseaux,"4,5",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,3,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Capres,,,240,,1000,livres,"0,24",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,3,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Huitres marrinées,,,135,,900,livres,"0,15",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,3,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Jambon,,,54,,180,livres,"0,3",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,3,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Miel,,,9828,,72800,livres,135,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,3,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Prunes de brignoles,,,378,,1050,livres,"0,36",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,3,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Pruneaux,,,152726,,2545445,livres,"0,06","-0,699999999982538",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,3,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Raisin Sec,,,133,,900,livres,"0,15",-2,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,3,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Sucre blanc,,,31839,,93645,livres,"0,34","-0,30000000000291",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Sucre terré,,,"11737,12",,36645,livres,"0,32","10,7200000000012",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Sucre brut,,,"147474,5",,242710,livres,"0,6","1848,5",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Sirops de sucres,,,"43477,1",,579700,livres,75,"-0,400000000001455",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Eau de vie,,,704470,,10838,barriques,65,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Eau de la Reine de Hongrie,,,429,,660,livres,"0,65",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Liqueurs,,,360,,600,livres,"0,6",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Vin de ville,,,1571640,,18710,tonneaux,84,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Vin de haut,,,1347030,,14967,tonneaux,90,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Vin de Blaye,,,17910,,398,tonneaux,54,-3582,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Vinaigre,,,15480,,172,tonneaux,90,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Bray sec,,,"13868,15",,198125,livres,"0,07","-0,600000000002183",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Barres de buy,,,1000,,4000,livres,"0,25",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Écailles de tortue,,,1700,,400,livres,"4,25",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,graine de jardin,,,"25043,15",,20035,livres,"1,25","-0,599999999998545",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,graine de moutarde,,,"84,1",,13,boisseaux,"6,5","-0,400000000000006",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,graine de Lin,,,56290,1,433,tonneaux,130,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,,,,,Hollande,,graine de lin,,,3575,2,550,boisseaux,"6,1",220,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,graine de genievre,,,200,,25,boisseaux,8,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,galipot,,,195,1,13,barils,15,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,,,,,Hollande,,galipot,,,1500,2,12500,livres,"0,12",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,huile de Noix,,,90,,600,livres,"0,15",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,huile de Terebantine,,,220,,2000,livres,"0,11",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,4,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Indigo,,,"4410,5",,1537,livres,"3,25","-584,75",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,5,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Lie de vin seiche,,,"99,15",,13300,livres,"0,0071","4,72",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,5,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Liège,,,8998,,32100,livres,"0,28",10,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,5,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,madrier de noyer de 12 pied de long et de 4 pouce d'epaisseur,,,3475,,139,pièces,300,-38225,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,5,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Planches de noyer de 10 pied de long et de 6 pouce d'epaisseur,,,1050,,60,pièces,210,-11550,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,5,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Planches de noyer de 8 pied de long et de 2 pouce d'epaisseur,,,259380,,2882,pièces,90,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,5,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,poil de sanglier,,,2400,,4000,livres,"0,6",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,5,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,pains de gaines de lin pressés,,,"2,5",,3,pièces,"0,75","0,25",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,5,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Plumes à lit,,,715,,1300,livres,"0,55",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,5,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Sperme de baleine,,,1500,,300,livres,5,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,5,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Térébenthine,,,1800,,10,tonneaux,180,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,5,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Verdet,,,1800,,2000,livres,"0,9",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,5,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Cartes a jouer,,,480,,40,grosses,12,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,5,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Chandelles,,,438,,1460,livres,"0,3",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,5,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,papier blanc,,,134502,,22417,rames,6,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,5,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,peau de marroquin rouge,,,952,,28,douzaine,34,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,5,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,tabac en cordes,,,"1250,6",,9620,livres,"0,13",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,5,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Verres à vitre,,,132,,6,paniers,22,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,5,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Citrons confits,,,"1050,1",,935,livres,"1,1","21,5999999999999",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Huitres marinées,,,13,,2,barrils ,"6,5",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Prunaux,,,10272,,171200,livres,"0,06",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,reglisses,,,240,,1100,livres,"0,2",20,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Sucre blanc,,,"14703,6",,43245,livres,"0,34","0,299999999999272",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Sucre tête de forme,,,"9795,4",,30610,livres,"0,32","0,199999999998909",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Sucre terré,,,468,,2400,livres,"0,32",-300,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Sucre brun,,,"92580,6",,544590,livres,175,"-2722,64999999999",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Sirop de Sucre,,,6615,,88200,livres,75,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Eau de vie,,,115200,,1920,barriques,60,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Eau de la Reine de Hongrie,,,"10,1",,72,fioles,"0,15","-0,699999999999999",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Liqueurs,,,135,,150,pots,"0,9",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Vin de ville,,,487200,,5800,tonneaux,84,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Vin de haut,,,57510,,639,tonneaux,90,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Vin de Blaye,,,1080,,24,tonneaux,45,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Vinaigre,,,4500,,50,tonneaux,90,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Bray sec,,,182,,2600,livres,"0,07",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Bouchons de liège,,,140,,400,livres,"0,35",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,huile de Terebentine,,,900,,5,tonneaux,180,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Indigo,,,2275,,700,livres,"3,25",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Liege,,,1680,,6000,livres,"0,28",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,papier blanc,,,17550,,3191,rames,5,1595,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,6,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Peaux d’agneau,,,1984,,441,douzaines,"4,5","-0,5",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,7,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Planches de noyer de 8 pied de long et de 2 pouce d'epaisseur,,,"693,6",,164,nombre,6666,-399624,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,7,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Thérébentine,,,6270,,11400,livres ,"0,65",-1140,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,7,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Pour le Nord,Export,Verdet,,,810,,900,livres,"0,9",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,7,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Espagne,Export,Eau de vie,,,240,,4,barriques,60,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,7,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Espagne,Export,Vin de haut,,,1395,,"15,5",tonneaux,90,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,7,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Isles françaises de l'Amerique,Export,Anchois,,,48,1,8,barils,6,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,7,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,,,,,Isles françaises de l'Amerique,,anchois,,,48,2,24,pots,2,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,7,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,,,,,Isles françaises de l'Amerique,,anchois,,,48,3,1535,livres,"0,4",-566,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,7,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Isles françaises de l'Amerique,Export,Artichaux confits,,,288,,1440,livres,"0,2",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,7,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Isles françaises de l'Amerique,Export,Artichaux secs,,,30,,100,livres,"0,3",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,7,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Isles françaises de l'Amerique,Export,Andouilles,,,25,,100,livres,"0,25",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,7,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Isles françaises de l'Amerique,Export,Amandes cassées,,,"4858,15",,7475,livres,"0,65","-0,600000000000364",Bordeaux -- 1717 -- Export – AD33_C_4268.csv,7,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Isles françaises de l'Amerique,Export,Amandes en coques,,,990,,2750,livres,"0,36",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,7,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Isles françaises de l'Amerique,Export,Anis,,,24,,80,livres,"0,3",0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,7,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Isles françaises de l'Amerique,Export,Bœuf salé,,,115248,,7203,barils,16,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,7,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Isles françaises de l'Amerique,Export,Bled d'Espagne,,,45,,15,boisseaux,3,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,7,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
,Local,1717,Bordeaux,,Isles françaises de l'Amerique,Export,Biscuit,,,9060,,120800,livres,75,0,Bordeaux -- 1717 -- Export – AD33_C_4268.csv,7,,,,,Teklia-Jules Oudot,,,,,,,,,,,,
