line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1738,Narbonne,,Espagne,Imports,Anchois,,,243,,81,barils ,3,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,,0,,,,,,,,,
2,Local,1738,Narbonne,,Espagne,Imports,Amandes cassées,,,52,,200,livres,0.25,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,erreur confirmée,2,,,,,,,,,
3,Local,1738,Narbonne,,Espagne,Imports,Anelines,,,18.75,,300,livres,0.0625,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,,0,,,,,,,,,
4,Local,1738,Narbonne,,Espagne,Imports,Aulx,,,6451,,12902,fours,0.5,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,,0,,,,,,,,,
5,Local,1738,Narbonne,,Espagne,Imports,Beurre  ,,,120,,400,livres,0.3,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,,0,,,,,,,,,
6,Local,1738,Narbonne,,Espagne,Imports,Bas de coton,,,24,,24,paires,1,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,,0,,,,,,,,,
7,Local,1738,Narbonne,,Espagne,Imports,Bas de laine,,,29,,29,paires,1,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,,0,,,,,,,,,
8,Local,1738,Narbonne,,Espagne,Imports,Bas de fil et laine,,,28.8,,16,paires,1.8,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,,0,,,,,,,,,
9,Local,1738,Narbonne,,Espagne,Imports,Bas de fil  ,,,168,,10.5,douzaines,16,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,,0,,,,,,,,,
10,Local,1738,Narbonne,,Espagne,Imports,Bourre de beuf,,,33,,550,livres,0.06,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,,0,,,,,,,,,
11,Local,1738,Narbonne,,Espagne,Imports,Balais de palme,,,1,,2,douzaines,0.5,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,,0,,,,,,,,,
12,Local,1738,Narbonne,,Espagne,Imports,Balais de palme,,,1041.95,,2977,douzaines,0.35,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,,0,,,,,,,,,
13,Local,1738,Narbonne,,Espagne,Imports,Balais de jong,,,75,,150,douzaines,0.5,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,,0,,,,,,,,,
14,Local,1738,Narbonne,,Espagne,Imports,Bois a bruler,,,3.9,,13,quintaux,0.3,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,,0,,,,,,,,,
15,Local,1738,Narbonne,,Espagne,Imports,Citrons,,,35,,7000,en nombre,0.005,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,,0,,,,,,,,,
16,Local,1738,Narbonne,,Espagne,Imports,Chocolats,,,136.5,,91,livres,1.5,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,,0,,,,,,,,,
17,Local,1738,Narbonne,,Espagne,Imports,Crasse d'huile,,,957.375,,12765,livres,0.075,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,,0,,,,,,,,,
18,Local,1738,Narbonne,,Espagne,Imports,Cheveux,,,10,,8,onces,1.25,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,prix 20 lt la livres (de 16 onces),0,,,,,,,,,
19,Local,1738,Narbonne,,Espagne,Imports,Chanvre cru,,,5.2,,26,livres,0.2,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,,0,,,,,,,,,
20,Local,1738,Narbonne,,Espagne,Imports,Callemande,,,1.75,,1.5,livres,,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,Pas de prix unitaire,,,,,,,,,,
21,Local,1738,Narbonne,,Espagne,Imports,Cordeillat,,,24.75,,9,cannes,2.75,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,1,,,,,Pascal Fontaine,,,0,,,,,,,,,
22,Local,1738,Narbonne,,Espagne,Imports,Cordes de jonc,,,648,,3240,livres,0.2,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,2,,,,,Pascal Fontaine,,,0,,,,,,,,,
23,Local,1738,Narbonne,,Espagne,Imports,Cabas de joncs,,,215,,860,livres,0.25,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,2,,,,,Pascal Fontaine,,,0,,,,,,,,,
24,Local,1738,Narbonne,,Espagne,Imports,Cabas de mesure,,,308,,77,caps,4,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,2,,,,,Pascal Fontaine,,,0,,,,,,,,,
25,Local,1738,Narbonne,,Espagne,Imports,Cabas petits,,,54,,27,caps,2,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,2,,,,,Pascal Fontaine,,,0,,,,,,,,,
26,Local,1738,Narbonne,,Espagne,Imports,Ciseaux,,,12,,24,pièces,0.5,sources/Local/AD67_C1047_Narbonne_Imports_1738.csv,AD67 C1047,2,,,,,Pascal Fontaine,,,0,,,,,,,,,
