line number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks,,,,,,,,,,,,
23,Local,1747,Nantes,,D'Espagne,Imports,avirons,,,327,,218,traques,1.5,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
24,Local,1747,Nantes,,D'Espagne,Imports,beuf salé,,,4800,,160,Baril,30,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
25,Local,1747,Nantes,,D'Espagne,Imports,bois de gayac,,,200,,2000,livres,0.1,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
26,Local,1747,Nantes,,D'Espagne,Imports,bois de grenadille,,,,,11390,livres,,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,2,,,,,Marion Merville & Jules Oudot,,pas de prix ni de valeur mentionnés,0,,,,,,,,,,,,,,,,,,,,,
27,Local,1747,Nantes,,D'Espagne,Imports,bray sec,,,84,,1200,livres,0.07,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
28,Local,1747,Nantes,,D'Espagne,Imports,citrons,,,1,,30.5,milliers,0.006,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,2,,,,,Marion Merville & Jules Oudot,,,0.817,,,,,,,,,,,,,,,,,,,,,
29,Local,1747,Nantes,,D'Espagne,Imports,fer en barres,,,68601,,623650,livres,0.11,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,2,,,,,Marion Merville & Jules Oudot,,,-0.5,,,,,,,,,,,,,,,,,,,,,
30,Local,1747,Nantes,,D'Espagne,Imports,fer en feuillards,,,1518,,10125,livres,0.15,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,2,,,,,Marion Merville & Jules Oudot,,,-0.75,,,,,,,,,,,,,,,,,,,,,
31,Local,1747,Nantes,,D'Espagne,Imports,fer pla en quarré,,,54114,,491950,livres,0.11,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,2,,,,,Marion Merville & Jules Oudot,,,-0.5,,,,,,,,,,,,,,,,,,,,,
32,Local,1747,Nantes,,D'Espagne,Imports,huille d’olive,,,119833,,239666,livres,0.5,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
